Coursename,Coursecode,Hours,Classification
Ethics in Artificial Intelligence,A I 380E,3,Graduate
Artificial Intelligence in Healthcare,A I 380H,3,Graduate
Natural Language Processing,A I 388,3,Graduate
Optimization,A I 388J,3,Graduate
Online Learning and Optimization,A I 388K,3,Graduate
"Planning, Search, and Reasoning Under Uncertainty",A I 388U,3,Graduate
Automated Logical Reasoning,A I 389L,3,Graduate
Machine Learning,A I 391L,3,Graduate
Case Studies in Machine Learning,A I 391M,3,Graduate
Deep Learning,A I 394D,3,Graduate
Reinforcement Learning: Theory and Practice,A I 394R,3,Graduate
Topics in Artificial Intelligence,A I 395T,3,Graduate
,,Total Hours: 36
DegreeView
