Coursename,Coursecode,Hours,Classification
Introduction to Asian American Studies,AAS 301,3,Lower Division
Immigration and Ethnicity,AAS 302,3,Lower Division
Introductory Topics in Asian American Studies,AAS 310,3,Lower Division
Introduction to Asian American History,AAS 312,3,Lower Division
Asian American Literature and Culture,AAS 314,3,Lower Division
"Race, Deportation, and Diaspora",AAS 316D,3,Lower Division
Supervised Research,AAS 318Q,3,Lower Division
Topics in Asian American Studies,"AAS 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Contemporary Asian American Novels,AAS 320C,3,Upper Division
Asian American Media Cultures,AAS 320D,3,Upper Division
Documenting Difference,AAS 320F,3,Upper Division
"Race, Internet, and Social Media",AAS 320G,3,Upper Division
"Japanese Popular Culture: Anime, Manga, and the Otaku",AAS 320J,3,Upper Division
Theorizing the Human,AAS 320K,3,Upper Division
The Chinese in Diaspora,AAS 325C,3,Upper Division
The Chinese in the United States,AAS 325D,3,Upper Division
"Taiwan: Colonization, Migration, and Identity",AAS 325E,3,Upper Division
The Two Koreas and the United States,AAS 325F,3,Upper Division
History of the Southeast Asian Diaspora in the United States,AAS 325G,3,Upper Division
South Asian Migration to the United States,AAS 325J,3,Upper Division
Refugees in Twentieth-Century United States,AAS 325K,3,Upper Division
Global Economies: Asia and the United States,AAS 325L,3,Upper Division
Political Economy of Development in Postwar Korea,AAS 325M,3,Upper Division
Asian American Jurisprudence,AAS 325N,3,Upper Division
Greater China and United States Economic Relations,AAS 325O,3,Upper Division
Topics in Asian American Studies,AAS 381,3,Graduate
Racism and Antiracism,AAS 330C,3,Upper Division
Blacks and Asians: Race and Social Movements,AAS 330D,3,Upper Division
The Sociology of Race and Work,AAS 330E,3,Upper Division
Transnational Korea,AAS 330F,3,Upper Division
Urban Unrest,AAS 330G,3,Upper Division
Asian Diaspora on Indigenous Lands,AAS 330I,3,Upper Division
Asian Mobilities,AAS 330J,3,Upper Division
Asian Americans in the South,AAS 330K,3,Upper Division
Anthropology of the Himalayas,AAS 330L,3,Upper Division
Reproductive Justice and Race,AAS 330M,3,Upper Division
Migration Crisis,AAS 330N,3,Upper Division
Supervised Research,AAS 358Q,3,Upper Division
Capstone Seminar,AAS 377,3,Upper Division
Community Internship,AAS 378,3,Upper Division
Conference Course in Asian American Studies,AAS 379,3,Upper Division
Honors Tutorial Course,AAS 679H,6,Upper Division
Conference Course,AAS 391C,3,Graduate
,,Total Hours: 132
DegreeView
