Coursename,Coursecode,Hours,Classification
Advertising and Popular Culture,ADV 303,3,Lower Division
Fundamentals of Advertising,ADV 305,3,Lower Division
Introduction to Integrated Communication for Sports,ADV 305S,3,Lower Division
Introduction to Advertising and Public Relations Research,ADV 309R,3,Lower Division
Social and Ethical Issues,ADV 314,3,Lower Division
History and Development of Advertising,ADV 315,3,Lower Division
Creativity and American Culture,ADV 316,3,Lower Division
Introduction to Integrated Brand Communication,ADV 318J,3,Lower Division
Psychology of Advertising,ADV 319,3,Lower Division
Topics in Advertising,"ADV 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Integrated Communication for Nonprofit Organizations,ADV 320,3,Upper Division
Leadership and Ethics,ADV 321,3,Upper Division
"Health Communication: Messages, Campaigns, and the Media",ADV 322,3,Upper Division
Public Communication of Science and Technology,ADV 323,3,Upper Division
Communicating Sustainability,ADV 324,3,Upper Division
Introduction to Advertising Creativity,ADV 325,3,Upper Division
Account Planning,ADV 327,3,Upper Division
Psychology of Video Game Advertising,ADV 328,3,Upper Division
Topics in Advertising,"ADV 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Strategic Science Communication,ADV 330,3,Upper Division
Environmental Communication Campaigns,ADV 331,3,Upper Division
Technology Marketing and Advertising,ADV 332,3,Upper Division
New Media Entrepreneurialism,ADV 332C,3,Upper Division
Entrepreneurialism in Communication,ADV 332D,3,Upper Division
International Advertising,ADV 334,3,Upper Division
Topics in Multicultural Issues in Advertising and Public Relations,ADV 336,3,Upper Division
Digital Creative Portfolio,ADV 338K,3,Upper Division
Copywriting,ADV 338L,3,Upper Division
Digital Graphic Communication,ADV 339K,3,Upper Division
Brand Storytelling,ADV 339L,3,Upper Division
Research in Sports Communication and Media,ADV 341S,3,Upper Division
Portfolio I,ADV 343K,3,Upper Division
Advertising and Public Relations Research,ADV 344K,3,Upper Division
Advertising and Public Relations Media Planning,ADV 345J,3,Upper Division
Art Direction,ADV 447C,4,Upper Division
The Business of Sports Media,ADV 348S,3,Upper Division
Advertising Internship,"ADV 350, 650","3, 6",Upper Division
Internship in Sports Media,ADV 350S,3,Upper Division
Advertising Practicum,ADV 151,1,Upper Division
Advertising and Public Relations Law and Ethics,ADV 353,3,Upper Division
Creativity in Artificial Intelligence,ADV 361,3,Upper Division
Immersive Media Lab,ADV 363,3,Upper Division
Immersive Experiences,ADV 364,3,Upper Division
Audience Development and Engagement,ADV 365,3,Upper Division
Special Topics in Advertising,ADV 366,3,Upper Division
Experimental Storytelling,ADV 367,3,Upper Division
Topics in Advertising Senior Seminar,ADV 368C,3,Upper Division
Portfolio II,"ADV 368K, 468K","3, 4",Upper Division
Portfolio III,"ADV 368L, 468L","3, 4",Upper Division
Social Media,ADV 369,3,Upper Division
Integrated Communications Management,ADV 370J,3,Upper Division
Integrated Communications Campaigns,ADV 373,3,Upper Division
Portfolio IV,"ADV 375, 475","3, 4",Upper Division
Advertising Media Topics,ADV 377,3,Upper Division
Topics in Media Studies,ADV 377M,3,Upper Division
Advanced Topics in Advertising,ADV 378,3,Upper Division
Special Topics in Sports Media,ADV 378S,3,Upper Division
Integrated Communication for Sports and Entertainment,ADV 379,3,Upper Division
Honors Tutorial Course,ADV 379H,3,Upper Division
Topics in Advertising Problems,"ADV 179J, 279J, 379J, 479J","1, 2, 3, 4",Upper Division
Consumer Behavior,ADV 381,3,Graduate
Quantitative and Qualitative Research,ADV 382,3,Graduate
Topics in Theories of Persuasive Communication and Consumer Decision Making,ADV 382J,3,Graduate
Topics in Supervised Individual Creative Studies,ADV 483,4,Graduate
Topics in International Advertising,ADV 385,3,Graduate
Experimental Storytelling,ADV 386,3,Graduate
Creative Strategies,ADV 387,3,Graduate
Research Problems: Doctoral Examination Preparation,ADV 388C,3,Graduate
Principles of Advertising Management,ADV 388J,3,Graduate
Integrated Communications Management,ADV 388K,3,Graduate
Topics in Problems in Specialized Fields of Advertising,"ADV 189, 389, 489","1, 3, 4",Graduate
Topics in Seminar in Advertising,ADV 391K,3,Graduate
Invisible Global Market,ADV 391L,3,Graduate
Topics in Advertising Theory and Research,ADV 392,3,Graduate
Advertising Internship,ADV 395,3,Graduate
Thesis,ADV 698,6,Graduate
Master's Report,ADV 398R,3,Graduate
Student Teaching in Advertising,ADV 398T,3,Graduate
Dissertation,"ADV 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 240
DegreeView
