Coursename,Coursecode,Hours,Classification
Topics in Art Education,"AED 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
"Exploring Objects, Spaces, and Meaning",AED 320,3,Upper Division
Children's Artistic Development,AED 321C,3,Upper Division
Topics in Art Education,AED 371C,3,Upper Division
Introduction to Art Education,AED 330,3,Upper Division
Learners and Instructional Sites,AED 341C,3,Upper Division
"Art Materials, Techniques, and Processes",AED 351C,3,Upper Division
Criticism and Conversation about Art,AED 361C,3,Upper Division
"Art, Resilience, and Trauma",AED 372,3,Upper Division
"Public Art, Civic Engagement, and Responsive Communities",AED 373,3,Upper Division
Independent Study,AED 376C,3,Upper Division
Advanced Topics in Art Education,AED 379S,3,Upper Division
Foundations of Art Education,AED 381G,3,Graduate
Contemporary Issues in Art Education,AED 381K,3,Graduate
Introduction to Research in Art Education,AED 382G,3,Graduate
Thesis Proposal and Preparation,AED 382H,3,Graduate
Applied Project in Art Education,AED 382L,3,Graduate
Museum Education: History and Theory,AED 383J,3,Graduate
Museum Education: Practice and Application,AED 383K,3,Graduate
Issues in Museum Studies,AED 383L,3,Graduate
Special Topics in Art Education,AED 384,3,Graduate
Independent Study in Art Education,AED 385,3,Graduate
Internship and Field Study,AED 386,3,Graduate
Case Studies in Community-Based Art Education,AED 387C,3,Graduate
Program Development in Community-Based Art Education,AED 387D,3,Graduate
Art Instruction through Arts-Based Research,AED 388C,3,Graduate
Art and the Creation of Meaning,AED 388D,3,Graduate
Art and Critical Discourse,AED 388E,3,Graduate
Curriculum Development in Art Education,AED 388F,3,Graduate
Art in Public Places,AED 388G,3,Graduate
"Objects, Spaces, and Meanings",AED 388H,3,Graduate
"Art, Resilience, and Trauma",AED 388I,3,Graduate
Thesis,AED 698,6,Graduate
Supervised Teaching in Art Education,AED 398T,3,Graduate
,,Total Hours: 105
DegreeView
