Coursename,Coursecode,Hours,Classification
Foundations of Arts and Entertainment Technologies,AET 304,3,Lower Division
Foundations of Creative Coding,AET 310,3,Lower Division
Topics in Innovative Design,"AET 110T, 310T","1, 3",Lower Division
Media and Motion,AET 311,3,Lower Division
Games and Interactivity,AET 312,3,Lower Division
Code and Fabrication,AET 313,3,Lower Division
Sound and Space,AET 314,3,Lower Division
Topics in Arts and Entertainment Technologies,"AET 119, 219, 319","1, 2, 3",Lower Division
Topics in Arts and Entertainment Technologies,"AET 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Immersive Audio,AET 320F,3,Upper Division
Generative Music,AET 320L,3,Upper Division
Live Music Coding,AET 320M,3,Upper Division
Sound Design,AET 320P,3,Upper Division
Audio Processing,AET 321C,3,Upper Division
Introduction To Game Audio,AET 321J,3,Upper Division
Advanced Game Audio,AET 321K,3,Upper Division
Introduction To Audio Coding,AET 322K,3,Upper Division
Advanced Audio Coding,AET 322L,3,Upper Division
Interactive Music,AET 323D,3,Upper Division
Generative Audio Programming,AET 323G,3,Upper Division
Themed Entertainment Design,AET 324,3,Upper Division
Principles of Animation,AET 324D,3,Upper Division
Visual Storytelling,AET 324J,3,Upper Division
Advanced Production Laboratory,"AET 124P, 224P, 324P","1, 2, 3",Upper Division
3D Animation and Rigging,AET 326E,3,Upper Division
Realtime VFX,AET 326G,3,Upper Division
Digital Fabrication,AET 329J,3,Upper Division
Business of Entertainment,AET 330C,3,Upper Division
Topics in Innovative Design,"AET 130T, 330T","1, 3",Upper Division
Topics in Video Game Development,"AET 133, 333","1, 3",Upper Division
Video Game Production,AET 333D,3,Upper Division
Video Game Character Animation,AET 334,3,Upper Division
Level Design,AET 334C,3,Upper Division
Video Game Art Pipeline,AET 334E,3,Upper Division
Video Game Scripting I,AET 334F,3,Upper Division
Multiplayer Video Game Design,AET 334J,3,Upper Division
Video Game Prototyping,AET 334K,3,Upper Division
User Interface/User Experience for Video Games,"AET 134L, 334L","1, 3",Upper Division
Video Game Systems Design,AET 334M,3,Upper Division
Interactive Storytelling,AET 334N,3,Upper Division
User Interfaces,AET 334P,3,Upper Division
Technical Art I,AET 334R,3,Upper Division
Technical Art II,AET 334S,3,Upper Division
Realtime Visualization,AET 335D,3,Upper Division
Video Game Scripting II,AET 335F,3,Upper Division
Live Video Game Design,"AET 135J, 335J","1, 3",Upper Division
Virtual Reality for Video Games,AET 335K,3,Upper Division
2D Animation For Games,AET 335M,3,Upper Division
Introduction to Mixed Reality,AET 335V,3,Upper Division
Video Game History and Culture,AET 336C,3,Upper Division
Writing for Interactive Games,AET 337,3,Upper Division
Narrative Design,AET 337D,3,Upper Division
Introduction To Narrative,AET 337N,3,Upper Division
Advanced Topics in Arts and Entertainment Technologies,"AET 139, 239, 339, 439","1, 2, 3, 4",Upper Division
Interactive Installation Design,AET 340D,3,Upper Division
Digital Musicianship,AET 341D,3,Upper Division
3D Modeling and Texturing,AET 342C,3,Upper Division
3D Materials And Lighting,AET 342D,3,Upper Division
3D Previsualization for Live Entertainment,AET 344D,3,Upper Division
Design Skills: Projection,AET 344F,3,Upper Division
Video Game Modding,AET 346C,3,Upper Division
Video Game Design Challenges,AET 346F,3,Upper Division
Concert and Event Lighting,AET 348,3,Upper Division
Media Design and Technology,AET 348G,3,Upper Division
3D Projection Mapping,AET 348K,3,Upper Division
Advanced System Engineering,AET 348L,3,Upper Division
Advanced Creative Coding,AET 350C,3,Upper Division
Audio Production Lab,AET 351C,3,Upper Division
Do It Yourself Synthesizer Lab,AET 351E,3,Upper Division
Advanced Topics in Video Game Development,"AET 153, 353","1, 3",Upper Division
Cross Platform Storytelling,AET 354C,3,Upper Division
Mobile Game Design,AET 355D,3,Upper Division
Solo Studio,AET 357,3,Upper Division
Topics in Collaborative Studio,AET 358,3,Upper Division
Physical Computing,AET 361C,3,Upper Division
Research Methods Proseminar,AET 170,1,Upper Division
Independent Study,AET 374,3,Upper Division
Portfolio,AET 375,3,Upper Division
Game Capstone: 2-D,AET 376,3,Upper Division
Game Capstone: 3-D,AET 377,3,Upper Division
Honors Senior Thesis,AET 378H,3,Upper Division
,,Total Hours: 241
DegreeView
