Coursename,Coursecode,Hours,Classification
African American Culture,AFR 301,3,Lower Division
Numbering Race,AFR 302M,3,Lower Division
Introduction to Black Studies,AFR 303,3,Lower Division
Introduction to the Study of Africa,AFR 304,3,Lower Division
Introductory Topics in African and African Diaspora Studies,AFR 310,3,Lower Division
Introduction to Modern Africa,AFR 310K,3,Lower Division
Introduction to Traditional Africa,AFR 310L,3,Lower Division
"Performance, Feminism, and Social Change",AFR 311C,3,Lower Division
Afro-Brazilian Diaspora,AFR 315,3,Lower Division
Introduction to East Austin Ethnography,AFR 315C,3,Lower Division
Performing Blackness,AFR 315D,3,Lower Division
The Revolution Will Be Dramatized,AFR 315E,3,Lower Division
Toni Morrison and August Wilson,AFR 315F,3,Lower Division
The United States and Africa,AFR 315G,3,Lower Division
Introduction to African American Women's History,AFR 315I,3,Lower Division
Introduction to Ancient Egypt,AFR 315J,3,Lower Division
Introduction to African American History,AFR 315K,3,Lower Division
Anthropology of Race and Ethnicity: An Introduction,AFR 315L,3,Lower Division
Students of Color Leadership Issues,AFR 315M,3,Lower Division
The Black Power Movement,AFR 315N,3,Lower Division
The Politics of Black Identity,AFR 315O,3,Lower Division
Introduction to Black Women's Studies,AFR 315P,3,Lower Division
Black Queer Art Worlds,AFR 315Q,3,Lower Division
"Diaspora: Race, Nation, and Resistance",AFR 315R,3,Lower Division
Liberation in the African Diaspora,AFR 315S,3,Lower Division
African American Literature and Culture,AFR 315T,3,Lower Division
Music of African Americans,AFR 315U,3,Lower Division
African Diaspora Archaeology,AFR 315V,3,Lower Division
"Race, Sex, and Tourism",AFR 315W,3,Lower Division
Rights in Modern America,AFR 316C,3,Lower Division
"Race, Deportation, and Diaspora",AFR 316D,3,Lower Division
Blackness and Comics,AFR 316E,3,Lower Division
Black and Latinx Intersections,AFR 316F,3,Lower Division
Introduction to Religions of Latin America,AFR 316K,3,Lower Division
Topics in African and African Diaspora Studies,"AFR 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Power and Place: Making Texas History,AFR 320C,3,Upper Division
The African Diaspora in the Americas,AFR 321,3,Upper Division
African American Family,AFR 321K,3,Upper Division
Sociology of Education,AFR 321L,3,Upper Division
Introduction to African Prehistory,AFR 322,3,Upper Division
Race and the Digital,AFR 322D,3,Upper Division
Critical Race Theory and the Novel,AFR 323N,3,Upper Division
Racism and Antiracism,AFR 324E,3,Upper Division
Latinx Sexualities,AFR 325C,3,Upper Division
Gender and Translation in the Arab World,AFR 325D,3,Upper Division
Afro-Caribbean Politics and Culture in Central America,AFR 326,3,Upper Division
Topics in African and African Diaspora Studies,AFR 370,3,Upper Division
Beyonce Feminism and Rihanna Womanism,AFR 330,3,Upper Division
Fashion And Desire,AFR 330C,3,Upper Division
Literature of the Harlem Renaissance,AFR 330D,3,Upper Division
Gwendolyn Brooks,AFR 330E,3,Upper Division
Writing for Black Performance,AFR 330F,3,Upper Division
The Arts of Hip Hop,AFR 330I,3,Upper Division
Toni Morrison,AFR 330J,3,Upper Division
African American Literature through the Harlem Renaissance,AFR 330K,3,Upper Division
African American Literature since the Harlem Renaissance,AFR 330L,3,Upper Division
Contemporary African American Women's Fiction,AFR 330M,3,Upper Division
Self-Revelation in Women's Writing,AFR 330N,3,Upper Division
Black Film at the Oscars,AFR 330O,3,Upper Division
Writing Slavery,AFR 330P,3,Upper Division
Caribbean Literature,AFR 330Q,3,Upper Division
Literature of Black Politics,AFR 330R,3,Upper Division
Danticat and Diaz,AFR 330S,3,Upper Division
Diasporic Magic: Literature and Performance,AFR 330T,3,Upper Division
Home in Contemporary Black Fiction,AFR 330U,3,Upper Division
Greek Tragedies and Postcolonial Dramas,AFR 330V,3,Upper Division
Black Queer Literature and Film,AFR 330W,3,Upper Division
Early Black Atlantic,AFR 331,3,Upper Division
Expressive Arts of Global Africa,AFR 331C,3,Upper Division
Drugs in African American Popular Culture,AFR 331D,3,Upper Division
Black Cops in African American Popular Culture,AFR 331E,3,Upper Division
Black Horror and Psychoanalysis,AFR 331F,3,Upper Division
Contemporary African Writing in English,AFR 331G,3,Upper Division
Africana Women's Art,AFR 335C,3,Upper Division
Visual Cultures of Africa,AFR 335D,3,Upper Division
Introduction to African Art,AFR 335E,3,Upper Division
Visual Arts of the Caribbean,AFR 335F,3,Upper Division
Diaspora Visions,AFR 335G,3,Upper Division
Contemporary British Artists of the African Diaspora,AFR 335I,3,Upper Division
Contemporary Artists of the African Diaspora,AFR 335J,3,Upper Division
Twentieth-Century African American Art,AFR 335K,3,Upper Division
Art of the Harlem Renaissance,AFR 335M,3,Upper Division
"Black Art, Brown Art",AFR 335N,3,Upper Division
Blackness in the Contemporary Art Museum,AFR 335Q,3,Upper Division
Black Perspectives in Jazz,AFR 338C,3,Upper Division
Music of Latin America,AFR 338D,3,Upper Division
The Music of the African Diaspora,AFR 338E,3,Upper Division
Music of Mexico and the Caribbean,AFR 338F,3,Upper Division
Contemporary African Popular Culture,AFR 340,3,Upper Division
Mandela: The Man and His Politics,AFR 340C,3,Upper Division
Apartheid: South African History,AFR 340D,3,Upper Division
African Women's History,AFR 340E,3,Upper Division
African History in Films and Photographs,AFR 340F,3,Upper Division
Ancient Egypt,AFR 340G,3,Upper Division
Modern Egypt in Film and Fiction,AFR 340I,3,Upper Division
African Travel Narratives,AFR 340J,3,Upper Division
Medicine in African History,AFR 340K,3,Upper Division
Historical Imagining of Africa in Films,AFR 340L,3,Upper Division
Geographies of International Development in Africa,AFR 340M,3,Upper Division
African Queer Studies,AFR 340N,3,Upper Division
History of Southern Africa,AFR 340O,3,Upper Division
Egyptian Hieroglyphics in Cultural Context,AFR 340P,3,Upper Division
Daily Life in Ancient Egypt,AFR 340Q,3,Upper Division
Archaeology of African Thought,AFR 340R,3,Upper Division
Gender in North and West Africa,AFR 340S,3,Upper Division
African Religious Culture and Creativity,AFR 340T,3,Upper Division
Africa and Rome,AFR 340U,3,Upper Division
Sociology of Africa,AFR 340V,3,Upper Division
Coloniality in West Africa,AFR 340W,3,Upper Division
African Cities Since 1500,AFR 341,3,Upper Division
Fashion in Africa,AFR 341C,3,Upper Division
History of East Africa,AFR 345,3,Upper Division
History of West Africa,AFR 345C,3,Upper Division
Afro-Luso-Brazilian Worlds,AFR 345D,3,Upper Division
Afro-Latin America,AFR 345E,3,Upper Division
Sex and Power in the African Diaspora,AFR 345F,3,Upper Division
Religions of the Caribbean,AFR 345G,3,Upper Division
Nationalisms in the Caribbean,AFR 345I,3,Upper Division
"Race, Rebellion and Revolution in the Caribbean",AFR 345J,3,Upper Division
Race Against Empire: Americas,AFR 345K,3,Upper Division
The Politics of Race and Violence in Brazil,AFR 345L,3,Upper Division
"Reimagining Cuba, 1868-Present",AFR 345M,3,Upper Division
Afro-Caribbean Diasporas,AFR 345N,3,Upper Division
Debt and Colonialism in the Caribbean,AFR 345O,3,Upper Division
African Religion in the New World,AFR 345P,3,Upper Division
Mediascapes: Literature and Media in the Caribbean,AFR 345Q,3,Upper Division
Racism and Inequality in Latin America,AFR 345R,3,Upper Division
"Afro-Latinos: Memory, Literature, Culture",AFR 345S,3,Upper Division
Afro-Latinidades in the United States and Latin America,AFR 345T,3,Upper Division
Race Politics and Caribbeans,AFR 345U,3,Upper Division
Literature of AIDS in Africa,AFR 345V,3,Upper Division
Global Black Feminisms,AFR 345W,3,Upper Division
Cuba in Question,AFR 346C,3,Upper Division
Measuring Racial Inequality,AFR 350,3,Upper Division
Black Middle Class,AFR 350C,3,Upper Division
Politics of Black Life,AFR 350D,3,Upper Division
"Race, Empire, And Modernity",AFR 350E,3,Upper Division
Black Women on Trial,AFR 350F,3,Upper Division
"Women, Gender, and Black Power",AFR 350G,3,Upper Division
HIV and AIDS Activism and the Healing Arts,AFR 350J,3,Upper Division
Puerto Rico In Crisis,AFR 350K,3,Upper Division
Race And Place,AFR 350L,3,Upper Division
Rethinking Blackness,AFR 350M,3,Upper Division
Barack Obama and American Democracy,AFR 350N,3,Upper Division
Urban Slavery in the Americas,AFR 350P,3,Upper Division
African-American Politics,AFR 350Q,3,Upper Division
Global History of Disease,AFR 350R,3,Upper Division
The Black Church in African American Politics,AFR 350S,3,Upper Division
Domestic Slave Trade,AFR 350T,3,Upper Division
The Civil Rights Movement from a Comparative Perspective,AFR 350U,3,Upper Division
Gender and Slavery in the United States,AFR 350V,3,Upper Division
Property in American Culture,AFR 350W,3,Upper Division
The Global City,AFR 351,3,Upper Division
Women and Social Movements in the Twentieth-Century United States,AFR 351C,3,Upper Division
The Tragicomedy of American Democracy,AFR 351D,3,Upper Division
History of Black Entrepreneurship in the United States,AFR 351E,3,Upper Division
Black Americans and the South,AFR 351F,3,Upper Division
Black Women in America,AFR 351G,3,Upper Division
Texas Black History,AFR 351J,3,Upper Division
Antebellum Slavery,AFR 351K,3,Upper Division
The United States in the Civil Rights Era,AFR 351L,3,Upper Division
African American Social and Political Thought,AFR 351M,3,Upper Division
Black Political Thought,AFR 351N,3,Upper Division
Slavery across Genres,AFR 351O,3,Upper Division
Atlantic Slavery: History and Memory,AFR 351P,3,Upper Division
Slavery and Its Legacies,AFR 351Q,3,Upper Division
African American Family in Historical and Contemporary Contexts,AFR 351R,3,Upper Division
"Science, Magic, and Religion",AFR 351S,3,Upper Division
Anthropology for Liberation,AFR 351T,3,Upper Division
"Race, Capitalism, and the Environment",AFR 351U,3,Upper Division
Black Slavery in the Atlantic,AFR 351V,3,Upper Division
Psychology of Race and Racism,AFR 352C,3,Upper Division
Psychology of the African American Experience,AFR 352D,3,Upper Division
African Americans in Sports,AFR 352E,3,Upper Division
Sociocultural Influences on Learning,AFR 352F,3,Upper Division
African American Religions,AFR 352G,3,Upper Division
Black Lives in the Archives,AFR 352J,3,Upper Division
African-American Women's Political Activism,AFR 352K,3,Upper Division
Africa and Indian Ocean World,AFR 352L,3,Upper Division
"Race, Gender, Sex, and Religion",AFR 352M,3,Upper Division
Technologies of United States Empire,AFR 352N,3,Upper Division
Queering Black Religions,AFR 352O,3,Upper Division
Food in the Racialized City,AFR 352P,3,Upper Division
Black Geographies,AFR 352Q,3,Upper Division
African American Theatre History: Precolonial West African Performance to 1950,AFR 356C,3,Upper Division
African American Theatre History: 1950 to Present,AFR 356D,3,Upper Division
Black Women and Dance,AFR 356E,3,Upper Division
African American History to 1860,AFR 357C,3,Upper Division
African American History since 1860,AFR 357D,3,Upper Division
History of Africa since 1800,AFR 359N,3,Upper Division
"Race, Law, and United States Society",AFR 360,3,Upper Division
Social Media for Social Impact,AFR 360C,3,Upper Division
"Race, Gender, and Surveillance",AFR 360D,3,Upper Division
Black Women and the State,AFR 360E,3,Upper Division
Urban Unrest,AFR 360F,3,Upper Division
Blacks and Asians: Race and Social Movements,AFR 360G,3,Upper Division
Black Freedom Movement,AFR 360I,3,Upper Division
Migration Crisis,AFR 360J,3,Upper Division
Race and Ethnicity Politics,AFR 360K,3,Upper Division
Race and United States Social Policy,AFR 360L,3,Upper Division
Abolition Medicine,AFR 360M,3,Upper Division
Displacement and Resistance,AFR 360N,3,Upper Division
Race and Migration: The Mediterranean,AFR 360P,3,Upper Division
Black Women and Mass Incarceration,AFR 360Q,3,Upper Division
Crime and Capitalism in African American Popular Culture,AFR 360R,3,Upper Division
Performing Race: African American Literary Performance,AFR 361K,3,Upper Division
Central Americans in the United States,AFR 364O,3,Upper Division
African American Language,AFR 365C,3,Upper Division
Independent Research,AFR 373,3,Upper Division
Community Internship,AFR 375,3,Upper Division
Senior Seminar,AFR 376,3,Upper Division
Honors Tutorial Course,AFR 679H,6,Upper Division
Introduction to Policy Research,AFR 380,3,Graduate
Marginalized Communities and Policy Development,AFR 380C,3,Graduate
"Race, Ethnicity, and Gender Policies",AFR 380D,3,Graduate
Race and the Urban Crisis,AFR 382,3,Graduate
Topics in Black Studies Humanities,AFR 385C,3,Graduate
Topics in Black Studies Social Sciences,AFR 386C,3,Graduate
Topics in Black Studies Fine Arts and Expressive Culture,AFR 387C,3,Graduate
Academic Writing for Graduates,AFR 389,3,Graduate
Black Studies Theory I,AFR 390,3,Graduate
Black Studies Methods,AFR 391,3,Graduate
Special Subjects in Professionalization in African and African Diaspora Studies,"AFR 195P, 395P","1, 3",Graduate
Qualifying Examination Preparation,AFR 395Q,3,Graduate
Conference Course in Black Studies,AFR 396,3,Graduate
Literature Review,AFR 397R,3,Graduate
Thesis,AFR 698,6,Graduate
Master's Report,AFR 398R,3,Graduate
Supervised Teaching in African and African Diaspora Studies,AFR 398T,3,Graduate
Dissertation,"AFR 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 696
DegreeView
