Coursename,Coursecode,Hours,Classification
Leadership Laboratory,AFS 100,1,Lower Division
The Foundations of the United States Air Force I,AFS 102K,1,Lower Division
The Foundations of the United States Air Force II,AFS 102L,1,Lower Division
The Evolution of USAF Air and Space Power I,AFS 111K,1,Lower Division
The Evolution of USAF Air and Space Power II,AFS 111L,1,Lower Division
Topics in Air Force Science,"AFS 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Leadership Laboratory,AFS 120L,1,Upper Division
Air Force Leadership Studies I,AFS 321,3,Upper Division
Air Force Leadership Studies II,AFS 322,3,Upper Division
Topics in Air Force Science,"AFS 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Senior Air Force Studies I,AFS 333,3,Upper Division
Senior Air Force Studies II,AFS 335,3,Upper Division
,,Total Hours: 24
DegreeView
