Coursename,Coursecode,Hours,Classification
Introduction to American Studies,AMS 310,3,Lower Division
Jewish American Literature and Culture,AMS 310C,3,Lower Division
Topics in Introductory Seminar in American Studies,AMS 311S,3,Lower Division
Blackness and Comics,AMS 312C,3,Lower Division
Topics in American Life,AMS 315,3,Lower Division
Movies Go To War,AMS 315C,3,Lower Division
Anthropology of Race and Ethnicity: An Introduction,AMS 315D,3,Lower Division
Native American Literature and Culture,AMS 315F,3,Lower Division
Introduction to East Austin Ethnography,AMS 315G,3,Lower Division
Rights in Modern America,AMS 315J,3,Lower Division
The Revolution Will Be Dramatized,AMS 315K,3,Lower Division
Toni Morrison and August Wilson,AMS 315L,3,Lower Division
Performing Blackness,AMS 315M,3,Lower Division
Latina and Latino Media and Popular Culture,AMS 315N,3,Lower Division
Introduction to Native American Histories,AMS 315O,3,Lower Division
"Building America: Engineering, Society, and Culture, 1868-1980",AMS 315P,3,Lower Division
American Jewish History,AMS 315Q,3,Lower Division
"Race, Deportation, and Diaspora",AMS 315R,3,Lower Division
Latinx Digital Worlds,AMS 319,3,Lower Division
Topics in American Studies,"AMS 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
"Jews of the United States, Canada, and Latin America",AMS 320C,3,Upper Division
Topics in American Societies,AMS 321,3,Upper Division
African American History to 1860,AMS 321E,3,Upper Division
African American History since 1860,AMS 321F,3,Upper Division
Native Americans in Texas,AMS 321G,3,Upper Division
Central Europe Goes to Hollywood,AMS 321I,3,Upper Division
African American Social and Political Thought,AMS 321J,3,Upper Division
European Immigration to Texas in the Nineteenth Century,AMS 321K,3,Upper Division
German Scholars: US Exile,AMS 321L,3,Upper Division
Radical Chic: Revolutions from Europe,AMS 321M,3,Upper Division
Rethinking Blackness,AMS 321N,3,Upper Division
Debt and Colonialism in the Caribbean,AMS 321O,3,Upper Division
Race And Place,AMS 321P,3,Upper Division
Writing for Black Performance,AMS 321Q,3,Upper Division
Politics of Memory: Germany and the United States,AMS 321R,3,Upper Division
Cultural Heritage on Display,AMS 321S,3,Upper Division
Asian American Jurisprudence,AMS 321T,3,Upper Division
Native American Cultures of the Southwest,AMS 321U,3,Upper Division
Religion and Film,AMS 321V,3,Upper Division
Memories of War,AMS 321W,3,Upper Division
Mexican American Studies at UT,AMS 322D,3,Upper Division
American Dante,AMS 323C,3,Upper Division
Black Middle Class,AMS 324C,3,Upper Division
Black Freedom Movement,AMS 324D,3,Upper Division
The Global City,AMS 324E,3,Upper Division
Asian Americans in the South,AMS 324F,3,Upper Division
Policing Latinidad,AMS 324G,3,Upper Division
Chicana Feminisms,AMS 324I,3,Upper Division
Austin Jews in the Civil Rights Era,AMS 324J,3,Upper Division
Mapping Indigenous Austin,AMS 324L,3,Upper Division
Popular Music in the United States,AMS 325C,3,Upper Division
Music and Religious Identities in the US,AMS 325E,3,Upper Division
Painting in America to 1860,AMS 325F,3,Upper Division
"Painting in the United States, 1860-1913",AMS 325G,3,Upper Division
The Arts of Hip Hop,AMS 325I,3,Upper Division
Russia Through American Eyes,AMS 325M,3,Upper Division
"Thomas Paine, Liberalism, and the Enlightenment",AMS 325P,3,Upper Division
Crime and Capitalism in African American Popular Culture,AMS 326C,3,Upper Division
Native American Religions,AMS 327C,3,Upper Division
United States Catholic History,AMS 327D,3,Upper Division
Evangelical Christianity,AMS 327E,3,Upper Division
Religion in the American South,AMS 327F,3,Upper Division
Religion in the American West,AMS 327G,3,Upper Division
Religion and Social Justice in United States,AMS 327I,3,Upper Division
Debating the Bible in the Twenty-First Century,AMS 327J,3,Upper Division
"Science, Magic, and Religion",AMS 327K,3,Upper Division
Environmental History of North America,AMS 329,3,Upper Division
Topics in American Studies,"AMS 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Modernism in American Design and Architecture,AMS 330,3,Upper Division
Jewish Stereotypes in American Literature and Culture,AMS 331C,3,Upper Division
Black Cops in African American Popular Culture,AMS 331E,3,Upper Division
Blackness in the Contemporary Art Museum,AMS 333,3,Upper Division
Drugs in African American Popular Culture,AMS 334,3,Upper Division
Queering Black Religions,AMS 335,3,Upper Division
Latinx Sexualities,AMS 337J,3,Upper Division
"American Art, 1958-1985",AMS 339M,3,Upper Division
Americans in Paris,AMS 341C,3,Upper Division
Black Slavery in the Atlantic,AMS 344F,3,Upper Division
Eastern Europe on American TV,AMS 345C,3,Upper Division
Latinx Legend Tripping,AMS 345F,3,Upper Division
Religion and Food,AMS 346O,3,Upper Division
Race and Migration: The Mediterranean,AMS 347R,3,Upper Division
Main Currents of American Culture to 1865,AMS 355,3,Upper Division
Main Currents of American Culture since 1865,AMS 356,3,Upper Division
"The United States, 1920-1941",AMS 358,3,Upper Division
German-American Immigration and Ethnicity,AMS 360D,3,Upper Division
Memory and Place After the Holocaust,AMS 362N,3,Upper Division
Transatlantic Memory Cultures,AMS 362P,3,Upper Division
Black Women and Mass Incarceration,AMS 365G,3,Upper Division
Slavery and Its Legacies,AMS 366G,3,Upper Division
Topics in Seminar in American Culture,AMS 370,3,Upper Division
Food in the Racialized City,AMS 371C,3,Upper Division
Black Geographies,AMS 371D,3,Upper Division
Conference Course,AMS 372,3,Upper Division
"Race, Gender, Sex, and Religion",AMS 373I,3,Upper Division
Contemporary Latinx Visual and Performance Art,AMS 374C,3,Upper Division
Honors Tutorial Course,AMS 679H,6,Upper Division
