Coursename,Coursecode,Hours,Classification
Introductory Topics in Asian Studies,ANS 301M,3,Lower Division
History of the Religions of Asia,ANS 301R,3,Lower Division
Introduction to China,ANS 302C,3,Lower Division
Introduction to Korean Culture and History,ANS 302D,3,Lower Division
Female Voices in China,ANS 302E,3,Lower Division
Introduction to Japan,ANS 302J,3,Lower Division
Introduction to South Asia,ANS 302K,3,Lower Division
Popular Culture in Modern Japan,ANS 304C,3,Lower Division
Korean Literature and Film,ANS 305C,3,Lower Division
Introduction to the History of India,ANS 307C,3,Lower Division
Yoga Past and Present,ANS 307D,3,Lower Division
"Bangladesh: History, Culture and Politics",ANS 307E,3,Lower Division
Gods and Goddesses of India,ANS 307F,3,Lower Division
Topics in Asian Studies,"ANS 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Genji to Godzilla: Adaptations of the Japanese Classics,ANS 320C,3,Upper Division
Classical Indian Literature in Translation,ANS 320D,3,Upper Division
"Myth, Legend, and Folklore in China",ANS 320E,3,Upper Division
Classical Chinese Philosophy,ANS 320F,3,Upper Division
Chinese Language Cinemas from People's Republic of China and Taiwan,ANS 320G,3,Upper Division
The Bhagavad Gita: Interpretation and Ethics,ANS 320J,3,Upper Division
Korean Cinema,ANS 320K,3,Upper Division
Representing Disaster in Japan,ANS 321C,3,Upper Division
The Environment and East Asia,ANS 321D,3,Upper Division
Arts of the Avant-Garde in Modern Japan,ANS 321E,3,Upper Division
Politics in Japan,ANS 321M,3,Upper Division
Politics in China,ANS 322M,3,Upper Division
"Biomedicine, Ethics, and Culture",ANS 323C,3,Upper Division
Musics of India,ANS 324C,3,Upper Division
The Chinese in Diaspora,ANS 325C,3,Upper Division
Greater China and United States Economic Relations,ANS 325D,3,Upper Division
Global Economies: Asia and the United States,ANS 325E,3,Upper Division
Cultures of Southeast Asia,ANS 326C,3,Upper Division
Topics in Asian Studies,ANS 390,3,Graduate
Anthropology of Travel and Tourism,ANS 330C,3,Upper Division
Global Markets and Local Cultures,ANS 330D,3,Upper Division
Tourism and Place in the Global South,ANS 330E,3,Upper Division
Development And Its Critics,ANS 330F,3,Upper Division
Asian Mobilities,ANS 330J,3,Upper Division
"Culture, Medicine, and Society in Asia",ANS 330K,3,Upper Division
Animals in Asia,ANS 335,3,Upper Division
Central Asian Politics and Economies,ANS 336C,3,Upper Division
East Asian International Relations,ANS 338L,3,Upper Division
Japanese Religion and Western Imagination,ANS 340C,3,Upper Division
History of Hindu Religious Traditions,ANS 340D,3,Upper Division
History of Indian Buddhism,ANS 340E,3,Upper Division
Goddesses in World Religions and Cultures,ANS 340F,3,Upper Division
Ritual and Religion in Korea,ANS 340G,3,Upper Division
Saints and Shrines in Islam,ANS 340I,3,Upper Division
Jainism: Religion of Non-Violence,ANS 340J,3,Upper Division
Post-Mao China: Change and Transformation,ANS 340L,3,Upper Division
Modern China,ANS 340M,3,Upper Division
European Expansion in Asia,ANS 340P,3,Upper Division
Sufism: Islamic Thought and Spirituality,ANS 340Q,3,Upper Division
European Empires in Asia,ANS 340R,3,Upper Division
The Chinese in the United States,ANS 340S,3,Upper Division
"Taiwan: Colonization, Migration, and Identity",ANS 340T,3,Upper Division
Devotional Literature of India,ANS 340U,3,Upper Division
Religions in Contact,ANS 340V,3,Upper Division
Shia Islam,ANS 340W,3,Upper Division
Piracy in East Asia,ANS 341C,3,Upper Division
Origins of Modern Japan,ANS 341K,3,Upper Division
Imperial Japan,ANS 341M,3,Upper Division
Postwar Japan,ANS 341N,3,Upper Division
Shamanism and the Primitive,ANS 341P,3,Upper Division
Religion and Family in Japanese Society,ANS 341R,3,Upper Division
Political Economy of Japan,ANS 342D,3,Upper Division
Gender and Translation in the Arab World,ANS 343C,3,Upper Division
Muslim Travelers and Traders,ANS 343D,3,Upper Division
Cultures of Revolution in the Middle East,ANS 343E,3,Upper Division
Food History of Asia and the Middle East,ANS 343F,3,Upper Division
Ancient India,ANS 346C,3,Upper Division
Medieval India,ANS 346D,3,Upper Division
Partition of India in History and Memory,ANS 346E,3,Upper Division
Gandhi and Gandhism,ANS 346F,3,Upper Division
Gender and Modern India,ANS 346G,3,Upper Division
Mughal India in History and Memory,ANS 346J,3,Upper Division
Slavery and South Asian History,ANS 346K,3,Upper Division
Early Modern India,ANS 346M,3,Upper Division
"The Indian Subcontinent, 1750-1950",ANS 346N,3,Upper Division
Indian Philosophies,ANS 346P,3,Upper Division
Business and Society in South Asia,ANS 347C,3,Upper Division
Governments and Politics of South Asia,ANS 347K,3,Upper Division
Anthropology of the Himalayas,ANS 348D,3,Upper Division
A Linguistic History of India,ANS 348E,3,Upper Division
Formation of Indian Art,ANS 348F,3,Upper Division
Why Chinese Has No Alphabet,ANS 350C,3,Upper Division
The History of Chinese Language and Translation,ANS 350E,3,Upper Division
Banned in Japan: Censored Art,ANS 351C,3,Upper Division
Japanese Foreign Policy,ANS 355C,3,Upper Division
International Relations of East and Southeast Asia,ANS 355D,3,Upper Division
Political Economy of Asia,ANS 355E,3,Upper Division
Asian Regionalism and Multilateral Cooperation,ANS 355F,3,Upper Division
Monarchies and Mini-States,ANS 355G,3,Upper Division
"War and Peace: China, Japan, and Taiwan",ANS 355I,3,Upper Division
Modernization in East Asia,ANS 356C,3,Upper Division
The Two Koreas and the United States,ANS 358F,3,Upper Division
"Capitalism, Consumption, and Civil Society in Korea",ANS 358G,3,Upper Division
Political Economy of Development in Postwar Korea,ANS 361C,3,Upper Division
History of Food and Healing in China and Taiwan,ANS 361D,3,Upper Division
Urban Experiences In East Asia,ANS 361E,3,Upper Division
Ethnic Politics in Taiwan and Asia,ANS 361F,3,Upper Division
State Building in China and Taiwan,ANS 361G,3,Upper Division
Development and Social Movement in East and Southeast Asia,ANS 361J,3,Upper Division
The Indian Republic Since 1947,ANS 361K,3,Upper Division
Global Commodities: Asia and the World,ANS 361L,3,Upper Division
Big Asian Histories,ANS 361M,3,Upper Division
Self and Culture in North Korea,ANS 361N,3,Upper Division
Africa and Indian Ocean World,ANS 361P,3,Upper Division
The Age of the Samurai,ANS 361Q,3,Upper Division
Transnational Asia: From the Middle East to the Far East,ANS 361R,3,Upper Division
Research in Asian Studies,ANS 362,3,Upper Division
A Tale of Five Chinese Cities,ANS 372D,3,Upper Division
Globalizing East Asian Popular Culture,ANS 372E,3,Upper Division
Veiling in the Muslim World,ANS 372F,3,Upper Division
"Precolonial India, 1200-1750",ANS 372G,3,Upper Division
Women and Gender in China,ANS 372J,3,Upper Division
"Gender, Sexuality, and the Family in Indian Religions and Cultures",ANS 372K,3,Upper Division
Confucianism,ANS 372L,3,Upper Division
Taiwan: From Coloniality to Postcoloniality,ANS 372M,3,Upper Division
Japanese Concepts of Body and Self,ANS 372N,3,Upper Division
South Asian Migration to the United States,ANS 372P,3,Upper Division
Women and Wealth in South Asia,ANS 372Q,3,Upper Division
"Japanese Popular Culture: Anime, Manga, and the Otaku",ANS 372R,3,Upper Division
Decoding Classical Chinese Poetry,ANS 373C,3,Upper Division
Popular Literature and Culture in Modern China,ANS 373D,3,Upper Division
Modern Japanese Literature in Translation,ANS 373E,3,Upper Division
Suicide in Japanese Fiction,ANS 373F,3,Upper Division
Epics and Heroes of India,ANS 373G,3,Upper Division
Chinese Film and Literature,ANS 373J,3,Upper Division
Buddhist Art,ANS 374C,3,Upper Division
Gender and Art in the Muslim World,ANS 374D,3,Upper Division
Chinese Literati Art,ANS 374E,3,Upper Division
Chinese Ethics and Political Philosophy,ANS 375D,3,Upper Division
Honors Tutorial Course,ANS 678H,6,Upper Division
Topics in Capstone Seminars in Asian Studies,ANS 379,3,Upper Division
Conference Course in Asian Studies,"ANS 180C, 380C","1, 3",Graduate
Topics in Chinese Culture and Society,ANS 381,3,Graduate
Topics in Korean Culture and Society,ANS 382K,3,Graduate
Topics in Japanese Culture and Society,ANS 383,3,Graduate
Topics in South Asian Culture and Society,ANS 384,3,Graduate
Core Studies in South Asia,ANS 384C,3,Graduate
Asceticism,ANS 384E,3,Graduate
Folklore and Oral Performance in South Asia,ANS 384F,3,Graduate
Gender and the Body in South Asian Text and Practice,ANS 384G,3,Graduate
"Theatre, Gender, and Performance in South Asia",ANS 384P,3,Graduate
Topics in Chinese Language and Literature,ANS 385,3,Graduate
Development of the Literary Field in Modern China,ANS 385D,3,Graduate
High and Popular Culture in Modern Chinese Societies,ANS 385H,3,Graduate
Modern and Postmodern Chinese Literary Culture,ANS 385M,3,Graduate
Critical Scholarship on Modern Chinese Literature,ANS 385S,3,Graduate
Topics in Japanese Language and Literature,ANS 386,3,Graduate
Topics in Korean Language and Literature,ANS 387K,3,Graduate
Topics in South Asian Language and Literature,ANS 388,3,Graduate
Critical Approaches to the Study of South Asian Texts,ANS 388C,3,Graduate
Translating India,ANS 388M,3,Graduate
Topics in Asian History,ANS 389C,3,Graduate
Core Readings in Modern East Asia,ANS 390C,3,Graduate
The Arabic Humanities,ANS 390D,3,Graduate
Middle Eastern Modernities,ANS 390E,3,Graduate
Aesthetic Modernism in East Asia,ANS 390M,3,Graduate
Topics in Asia and the World,ANS 391,3,Graduate
The Ideas of the East,ANS 391C,3,Graduate
Ethnographies of Global Asia,ANS 391H,3,Graduate
