Coursename,Coursecode,Hours,Classification
Biological Anthropology,ANT 301 (TCCN: ANTH 2301),3,Lower Division
Cultural Anthropology,ANT 302 (TCCN: ANTH 2351),3,Lower Division
Cultural Anthropology: Honors,ANT 302H,3,Lower Division
Introduction to Archaeological Studies: Prehistoric Archaeology,ANT 304 (TCCN: ANTH 2302),3,Lower Division
Introduction to Texas Archaeology,ANT 304T,3,Lower Division
Expressive Culture,ANT 305,3,Lower Division
Culture and Communication,ANT 307,3,Lower Division
Primate Cognition,ANT 310C,3,Lower Division
Introduction to Black Studies,ANT 310D,3,Lower Division
Introduction to East Austin Ethnography,ANT 310E,3,Lower Division
African Diaspora Archaeology,ANT 310F,3,Lower Division
Ethics of Space Exploration,ANT 310G,3,Lower Division
Early Mesoamerican Religions,ANT 310I,3,Lower Division
The New Latinas/os/xs,ANT 310J,3,Lower Division
Introductory Topics in Anthropology,ANT 310L,3,Lower Division
Mexican American and Latina/o Folkore Across the United States,ANT 310M,3,Lower Division
"Race, Sex, and Tourism",ANT 310R,3,Lower Division
Introduction to Jewish Studies,ANT 311D,3,Lower Division
Introduction to Jewish Latin America,ANT 311E,3,Lower Division
Introduction to Mesoamerican Archaeology,ANT 314C,3,Lower Division
Mexican American Culture,ANT 318L,3,Lower Division
Topics in Anthropology,"ANT 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
American Indian Languages and Cultures,ANT 320C,3,Upper Division
Speech Play and Verbal Art,ANT 320D,3,Upper Division
Invented Languages,ANT 320E,3,Upper Division
"Politics, Polity, and the Power of Words",ANT 320F,3,Upper Division
Endangered Languages,ANT 320G,3,Upper Division
"Talk, Text, and God",ANT 320I,3,Upper Division
The German Language: Historical Perspectives,ANT 320J,3,Upper Division
New Media and Communication,ANT 320O,3,Upper Division
Classical Archaeology: Practice and Ethics,ANT 320P,3,Upper Division
Contemporary African Popular Culture,ANT 322C,3,Upper Division
Multicultural Israel,ANT 322D,3,Upper Division
Self and Culture in North Korea,ANT 322E,3,Upper Division
Big Asian Histories,ANT 322F,3,Upper Division
Cultural Geographies of Israel,ANT 322G,3,Upper Division
Native American Cultures of the Southwest,ANT 322I,3,Upper Division
Goddesses in World Religions and Cultures,ANT 322J,3,Upper Division
History of Hindu Religious Traditions,ANT 322N,3,Upper Division
"Gender, Sexuality, and the Family in Indian Religions and Cultures",ANT 322O,3,Upper Division
Mexican Immigration Cultural History,ANT 322P,3,Upper Division
Mexican American Indigenous Heritage,ANT 322Q,3,Upper Division
Russian Myths and Folktales,ANT 322T,3,Upper Division
Anthropology of Travel and Tourism,ANT 322U,3,Upper Division
Architecture and Sculpture in the Maya World,ANT 322V,3,Upper Division
Power and Resistance in Putin's Russia,ANT 322W,3,Upper Division
"Sport, Religion, and Society",ANT 323C,3,Upper Division
Religions of the Caribbean,ANT 323D,3,Upper Division
Politics and Performance,ANT 323E,3,Upper Division
Comparative White Nationalisms,ANT 323I,3,Upper Division
"Biomedicine, Ethics, and Culture",ANT 323N,3,Upper Division
Black Geographies,ANT 323O,3,Upper Division
Anthropology of the Himalayas,ANT 323P,3,Upper Division
Contemporary Jerusalem,ANT 323Q,3,Upper Division
Anthropology of Infrastructure,ANT 323R,3,Upper Division
Anthropology of Food,ANT 323S,3,Upper Division
Colonial Encounters in Mesoamerica,ANT 323T,3,Upper Division
Sensing: Elemental Media,ANT 323U,3,Upper Division
Maya Art and Architecture,ANT 323V,3,Upper Division
Race and Indigeneity in the Pacific,ANT 323W,3,Upper Division
"Science, Magic, and Religion",ANT 324C,3,Upper Division
Japanese Religion and Western Imagination,ANT 324D,3,Upper Division
Culture and Health,ANT 324E,3,Upper Division
Anthropology Of Religion,ANT 324F,3,Upper Division
Environmental Anthropology,ANT 324G,3,Upper Division
Sounding the City,ANT 324I,3,Upper Division
HIV and AIDS Activism and the Healing Arts,ANT 324J,3,Upper Division
Topics in Anthropology,"ANT 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Muslim Women in Politics,ANT 324N,3,Upper Division
Globalization in Latin America,ANT 324O,3,Upper Division
Gender and Labor in Global Asia,ANT 324P,3,Upper Division
"Global Perspectives of Health, Illness, and Inequality",ANT 324Q,3,Upper Division
Daily Life in Mesoamerica,ANT 324R,3,Upper Division
The Global City,ANT 324S,3,Upper Division
Socialism's Past and Futures,ANT 324U,3,Upper Division
Sexuality in Global Perspective,ANT 324V,3,Upper Division
Mapping Indigenous Austin,ANT 324W,3,Upper Division
Cultures of Sustainability,ANT 325C,3,Upper Division
Representation of Jews in the American Public Sphere,ANT 325D,3,Upper Division
Ethnographies of Emotion,ANT 325E,3,Upper Division
Cultural Heritage on Display,ANT 325F,3,Upper Division
Technoculture,ANT 325G,3,Upper Division
