Coursename,Coursecode,Hours,Classification
Intensive Arabic I,ARA 601C,6,Lower Division
Arabic Tutorial,ARA 305,3,Lower Division
First-Year Arabic I,ARA 506,5,Lower Division
Conversation for First-Year Arabic I,ARA 106C,1,Lower Division
First-Year Arabic II,ARA 507,5,Lower Division
Conversation for First-Year Arabic II,ARA 107C,1,Lower Division
Modern Standard Arabic I,ARA 508,5,Lower Division
Modern Standard Arabic II,ARA 509,5,Lower Division
Intensive Arabic II,ARA 611C,6,Lower Division
Conversation for Second-Year Arabic I,ARA 112C,1,Lower Division
Conversation for Second-Year Arabic II,ARA 112D,1,Lower Division
Second-Year Arabic I,ARA 512K,5,Lower Division
Second-Year Arabic II,ARA 512L,5,Lower Division
Topics in Arabic,"ARA 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Introduction to Arabic Dialects,ARA 321,3,Upper Division
Intensive Arabic III,ARA 621K,6,Upper Division
Intensive Arabic IV,ARA 621L,6,Upper Division
Levantine Arabic,ARA 322K,3,Upper Division
Egyptian Arabic,ARA 325K,3,Upper Division
Advanced Spoken Media Arabic I,ARA 327K,3,Upper Division
Advanced Spoken Media Arabic II,ARA 327L,3,Upper Division
Topics in Arabic,"ARA 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Arabic across Disciplines,ARA 130D,1,Upper Division
Intensive Arabic V,ARA 531K,5,Upper Division
Intensive Arabic VI,ARA 531L,5,Upper Division
Arabic Readings in Classical Islamic Texts,ARA 360C,3,Upper Division
Quranic Arabic,ARA 360D,3,Upper Division
Contemporary World Challenges,ARA 360E,3,Upper Division
Modern Arab Cultures,ARA 360F,3,Upper Division
"Topics in Arabic Language, Literature, and Culture",ARA 360L,3,Upper Division
Arabs and Modernity,ARA 360M,3,Upper Division
Arts and Literature in Arab Societies,ARA 360S,3,Upper Division
Conference Course in Arabic Language and Literature,ARA 369,3,Upper Division
Topics in Arabic Language,ARA 380C,3,Graduate
Intensive Graduate Language Instruction I,ARA 381H,3,Graduate
Intensive Graduate Language Instruction II,ARA 381J,3,Graduate
Intensive Graduate Language Instruction III,ARA 381K,3,Graduate
Intensive Graduate Language Instruction IV,ARA 381L,3,Graduate
Intensive Graduate Language Instruction V,ARA 381M,3,Graduate
Intensive Graduate Language Instruction VI,ARA 381N,3,Graduate
Topics in Arabic Linguistics and Philology,ARA 382C,3,Graduate
"Topics in Arabic Language Teaching, Pedagogy, and Applied Linguistics",ARA 383C,3,Graduate
Topics in Arabic Literature,ARA 384C,3,Graduate
Advanced Spoken Media Arabic I,ARA 386K,3,Graduate
Advanced Spoken Media Arabic II,ARA 386L,3,Graduate
Topics in Arab Culture,ARA 387,3,Graduate
Research Methods and Bibliography in Arabic Studies,ARA 388,3,Graduate
Conference Course in Arabic Studies,ARA 389,3,Graduate
Arabic in Focus: Areas and Skills,ARA 097,0,Graduate
Thesis,ARA 698,6,Graduate
Master's Report,ARA 398R,3,Graduate
Dissertation,"ARA 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 174
DegreeView
