Coursename,Coursecode,Hours,Classification
First-Year Interest Group Seminar,ARC 001F,0,Lower Division
Architecture and Society,ARC 308 (TCCN: ARCH 1311),3,Lower Division
Design I,ARC 310K,3,Lower Division
Design II,ARC 310L,3,Lower Division
Visual Communication I,ARC 311K,3,Lower Division
Visual Communication II,ARC 311L,3,Lower Division
Appropriate Materials,ARC 312C,3,Lower Division
Topics in Introductory Design Studies,ARC 312R,3,Lower Division
Construction I,ARC 415K,4,Lower Division
Construction II,ARC 415L,4,Lower Division
World Architecture: Origins to 1750,ARC 318K (TCCN: ARCH 1301),3,Lower Division
World Architecture: The Industrial Revolution to the Present,ARC 318L (TCCN: ARCH 1302),3,Lower Division
Topics in Architecture,"ARC 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Design VI Intermediate,ARC 521G,5,Upper Division
Visual Communication III,ARC 221K,2,Upper Division
Design III Intermediate Studio,ARC 323D,3,Upper Division
Design IV Intermediate Studio,ARC 523E,5,Upper Division
Design V Intermediate Studio,ARC 523F,5,Upper Division
Topics in Design and Practice,ARC 326R,3,Upper Division
"Urban Design History, Theory, and Criticism",ARC 327C,3,Upper Division
Alternative Real Estate Action,ARC 327E,3,Upper Division
American Dream: Status Quo and Alternatives,ARC 327F,3,Upper Division
Regenerative Architecture,ARC 327G,3,Upper Division
Theory of Architecture I,ARC 327J,3,Upper Division
Productions,ARC 327P,3,Upper Division
Topics in Architectural Theory,ARC 327R,3,Upper Division
Technology/Technique Sustainable Design,ARC 327U,3,Upper Division
Advanced Drawing,ARC 328D,3,Upper Division
Digital Drawing and Fabrication,ARC 328F,3,Upper Division
Design Logics: Projection and Proportion in Architecture,ARC 328G,3,Upper Division
Prototype,ARC 328P,3,Upper Division
Rendering and Animation for the Built Environment,ARC 328Q,3,Upper Division
Topics in Visualization and Fabrication,ARC 328R,3,Upper Division
Global Visual Communication,"ARC 328S, 428S","3, 4",Upper Division
Wood Design,ARC 328W,3,Upper Division
Topics in Architecture,"ARC 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Site Design,ARC 333,3,Upper Division
Environmental Controls I,ARC 334K,3,Upper Division
Environmental Controls II,ARC 334L,3,Upper Division
Structures I,ARC 435R,4,Upper Division
Structures II,ARC 435S,4,Upper Division
Architectural Details and Materials,ARC 335T,3,Upper Division
Mexican Architecture and Urbanism: From Pre-Columbian to Contemporary,ARC 342C,3,Upper Division
History and Theories of Landscape Architecture I,ARC 342E,3,Upper Division
History and Theories of Landscape Architecture II,ARC 342F,3,Upper Division
Topics in the History of Architecture,ARC 342R,3,Upper Division
Modern European Architecture,ARC 342S,3,Upper Division
Advanced Architecture History,ARC 342T,3,Upper Division
Modern History of Sustainable Architecture,ARC 342U,3,Upper Division
Topics in Design Theory,ARC 350R,3,Upper Division
Topics in Visual Communication,ARC 351R,3,Upper Division
Comprehensive Studio,ARC 561C,5,Upper Division
Topics in Advanced Design,"ARC 561R, 661R","5, 6",Upper Division
Professional Residency Program Internship,ARC 361S,3,Upper Division
Technical Communication,ARC 361T,3,Upper Division
Professional Practice,ARC 362,3,Upper Division
Topics in the History of Architecture,ARC 368R,3,Upper Division
City Architecture,ARC 369J,3,Upper Division
Topics in Digital Technology and Fabrication,"ARC 170V, 370V","1, 3",Upper Division
Topics in Disaster Recovery,"ARC 170W, 370W","1, 3",Upper Division
"Bachelor Design Study, Part I",ARC 378R,3,Upper Division
"Bachelor Design Study, Part II",ARC 578S,5,Upper Division
Architectural Research,"ARC 279, 379, 479, 579","2, 3, 4, 5",Upper Division
Topics in Visualization and Fabrication,ARC 380C,3,Graduate
Topics in Design and Practice,ARC 380D,3,Graduate
Proseminar in Architecture,ARC 180R,1,Graduate
Topics in Digital Technology and Fabrication,"ARC 180V, 380V","1, 3",Graduate
Topics in Disaster Recovery,"ARC 180W, 380W","1, 3",Graduate
Architectural Drawing,ARC 381D,3,Graduate
Digital Drawing and Fabrication,ARC 381F,3,Graduate
Technical Communication,ARC 381T,3,Graduate
Visual Communication Workshop,ARC 381W,3,Graduate
Professional Practice,ARC 382,3,Graduate
Professional Residency Program Internship Portfolio,ARC 382P,3,Graduate
Professional Residency Program Internship Paper,ARC 382R,3,Graduate
Site Design,ARC 383S,3,Graduate
"Topics in Site, Landscape, and Urban Studies",ARC 383T,3,Graduate
"Environmental Control: Heat, Air, and Water",ARC 384F,3,Graduate
"Environmental Control: Light, Sound, and Electricity",ARC 384G,3,Graduate
Topics in Building and Environment Studies,ARC 384T,3,Graduate
Construction,ARC 385Q,3,Graduate
Structures I,ARC 385R,3,Graduate
Structures II,ARC 385S,3,Graduate
Topics in Building Construction and Conservation,ARC 385T,3,Graduate
Architectural Theory: Contemporary Issues,ARC 386C,3,Graduate
Architectural Theory: Historical Overview,ARC 386D,3,Graduate
Topics in Architectural Theory,ARC 386M,3,Graduate
World Architecture: Origins to 1750,ARC 387F,3,Graduate
World Architecture: The Industrial Revolution to the Present,ARC 387G,3,Graduate
Topics in the History of Architecture and Historic Preservation,ARC 388R,3,Graduate
Research in Architecture,"ARC 389, 689","3, 6",Graduate
Architectural Research,ARC 189R,1,Graduate
Architecture Practicum,"ARC 190C, 390C","1, 3",Graduate
Master's Design Studio--Dual Degree,ARC 690H,6,Graduate
"Urban Design History, Theory, and Criticism",ARC 391C,3,Graduate
Productions,ARC 391P,3,Graduate
Advanced Drawing,ARC 392D,3,Graduate
Historic Preservation Studio,ARC 692K,6,Graduate
Prototype,ARC 392P,3,Graduate
Digital Visualization and the Built Environment,ARC 392V,3,Graduate
Wood Design,ARC 392W,3,Graduate
Architectural Design: Vertical Studio,ARC 694,6,Graduate
Horizontal Studio,"ARC 394S, 694S","3, 6",Graduate
Mexican Architecture and Urbanism: From Pre-Columbian to Contemporary,ARC 395C,3,Graduate
"Frank Lloyd Wright: Design, Method, Theory",ARC 395D,3,Graduate
History and Theories of Landscape Architecture I,ARC 395E,3,Graduate
History and Theories of Landscape Architecture II,ARC 395F,3,Graduate
"The American Home: Identity, Process, and Marketing",ARC 395G,3,Graduate
Originality & Tradition in Baroque Rome: Borromini,ARC 395J,3,Graduate
Advanced Architectural Design: Integrative Studio,ARC 695S,6,Graduate
Topics in Advanced Architectural Design,ARC 696,6,Graduate
Topics in Master's Design Studio,ARC 697,6,Graduate
Topics in Doctoral Research in Architecture,ARC 397K,3,Graduate
Thesis,ARC 698,6,Graduate
Departmental Report,ARC 398D,3,Graduate
Master's Report,ARC 398R,3,Graduate
Supervised Teaching in Architecture,ARC 398T,3,Graduate
Dissertation,"ARC 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 381
DegreeView
