Coursename,Coursecode,Hours,Classification
Introduction to Architectural Engineering,ARE 102,1,Lower Division
Computer-Aided Design and Graphics,ARE 217,2,Lower Division
Topics in Architectural Engineering,"ARE 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Introduction to Design I,ARE 320K,3,Upper Division
Introduction to Design II,ARE 320L,3,Upper Division
Project Management and Economics,ARE 323K,3,Upper Division
Topics in Architectural Engineering,"ARE 177K, 277K, 377K","1, 2, 3",Upper Division
Materials and Methods of Building Construction,ARE 335,3,Upper Division
Masonry Engineering,ARE 345K,3,Upper Division
Building Environmental Systems,ARE 346N,3,Upper Division
HVAC Design,ARE 346P,3,Upper Division
Cost Estimating in Building Construction,ARE 358,3,Upper Division
Structural Design in Wood,ARE 362L,3,Upper Division
Integrated Design Project,ARE 465,4,Upper Division
"Contracts, Liability, and Ethics",ARE 366,3,Upper Division
Design of Energy Efficient and Healthy Buildings,ARE 370,3,Upper Division
Energy Simulation in Building Design,ARE 371,3,Upper Division
Modeling of Air and Pollutant Flows in Buildings,ARE 372,3,Upper Division
Building Information Modeling for Capital Projects,ARE 376,3,Upper Division
Internship,ARE 177R,1,Upper Division
Emerging Technology: Survey,ARE 377S,3,Upper Division
Emerging Technologies: Technical Elective,ARE 377T,3,Upper Division
Undergraduate Honors Thesis,ARE 679H,6,Upper Division
Design of Energy Efficient and Healthy Buildings,ARE 381E,3,Graduate
Independent Topics in Architectural Engineering,ARE 382,3,Graduate
Research Topics in Architectural Engineering,ARE 383,3,Graduate
HVAC Design,ARE 389H,3,Graduate
Indoor Air Quality: Transport and Control,ARE 389T,3,Graduate
Energy Simulation in Building Design,ARE 389U,3,Graduate
Modeling of Air and Pollutant Flows in Buildings,ARE 389V,3,Graduate
Topics in Project Automation,ARE 395P,3,Graduate
Topics in Project Controls,ARE 395Q,3,Graduate
Topics in Project Information Systems,ARE 395R,3,Graduate
Topics in Project Organization,ARE 395S,3,Graduate
Topics in Project Technology,ARE 395T,3,Graduate
General Topics in Construction Engineering and Project Management,ARE 395U,3,Graduate
Thesis,ARE 698,6,Graduate
Departmental Report,ARE 398D,3,Graduate
Master's Report,ARE 398R,3,Graduate
,,Total Hours: 119
DegreeView
