Coursename,Coursecode,Hours,Classification
Introduction to the Visual Arts,ARH 301 (TCCN: ARTS 1301),3,Lower Division
Survey of Ancient through Medieval Art,ARH 302 (TCCN: ARTS 1303),3,Lower Division
Survey of Renaissance through Modern Art,ARH 303 (TCCN: ARTS 1304),3,Lower Division
Issues in Visual Culture,ARH 304,3,Lower Division
Mexico City: Aztec to Modern,ARH 314,3,Lower Division
Topics in Art History,"ARH 119Q, 219Q, 319Q, 419Q, 519Q, 619Q, 719Q, 819Q, 919Q","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Art History,"ARH 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Problems in Art Historical Research,ARH 321,3,Upper Division
Issues in Exhibitions and Collections of Visual Arts,ARH 322,3,Upper Division
Art and Archaeology of the Ancient Near East,ARH 325,3,Upper Division
The Parthenon Through the Ages,ARH 326J,3,Upper Division
Myth and Images in the Greek and Roman Mediterranean,ARH 326K,3,Upper Division
Visual Cultures of the Mediterranean Islands,ARH 326L,3,Upper Division
Art and Archaeology of Greek Sanctuaries,ARH 326M,3,Upper Division
Art and Politics in Imperial Rome,ARH 327N,3,Upper Division
Art in the Lives of Ordinary Romans,ARH 327R,3,Upper Division
Art and Politics in Republican Rome,ARH 327S,3,Upper Division
Art in the Age of Hadrian,ARH 327T,3,Upper Division
"Love, Beauty, and Protection",ARH 327U,3,Upper Division
"Arts of Islam, 650-1500",ARH 328J,3,Upper Division
Arts of Islam 1500-Present,ARH 328K,3,Upper Division
Medieval Middle East History in One Hundred Objects,ARH 328L,3,Upper Division
Modern Middle East History in One Hundred Objects,ARH 328M,3,Upper Division
Arabs and Vikings: Art and Culture,ARH 328N,3,Upper Division
Byzantine Art,ARH 329J,3,Upper Division
Art and Architecture of Late Antiquity,ARH 329N,3,Upper Division
Romanesque Art and Architecture,ARH 329R,3,Upper Division
Art in the Age of Dante and Giotto,ARH 329T,3,Upper Division
Art at Court: The Gothic Period,ARH 330G,3,Upper Division
Gothic Cathedral: Amiens,ARH 330J,3,Upper Division
Art and Experience in Central Italy,ARH 331J,3,Upper Division
Early Italian Renaissance Art to 1470,ARH 331K,3,Upper Division
"Later Quattrocento Art, 1470-1500",ARH 331N,3,Upper Division
Art and the City in Renaissance Italy,ARH 331P,3,Upper Division
Art in Medici Florence,ARH 331Q,3,Upper Division
Michelangelo and His World,ARH 331R,3,Upper Division
"Art, Geology, and Place in Italy",ARH 331S,3,Upper Division
"Northern Renaissance Art, 1350-1500",ARH 332K,3,Upper Division
"Northern Renaissance Art, 1500-1600",ARH 332L,3,Upper Division
Italian Baroque Art,ARH 333K,3,Upper Division
