Coursename,Coursecode,Hours,Classification
Design I,ARI 310K,3,Lower Division
Design II,ARI 310L,3,Lower Division
Visual Communication I,ARI 311K,3,Lower Division
Visual Communication II,ARI 311L,3,Lower Division
Interiors and Society,ARI 318K,3,Lower Division
Interior Design History,ARI 318M,3,Lower Division
Topics in Architectural Interior Design,"ARI 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Design III--Interiors,ARI 320K,3,Upper Division
Design IV--Interiors,ARI 520L,5,Upper Division
Visual Communication III,ARI 221K,2,Upper Division
Environmental Controls I,ARI 324K,3,Upper Division
Productions,ARI 327P,3,Upper Division
Prototype,ARI 328P,3,Upper Division
Topics in Architectural Interior Design,"ARI 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Interior Design Internship,ARI 130,1,Upper Division
Design V--Interiors,ARI 530K,5,Upper Division
Design VI--Interiors,ARI 530T,5,Upper Division
Construction I,ARI 434J,4,Upper Division
Construction II--Interior Materials and Assemblies,ARI 434K,4,Upper Division
Designing for Human Behavior,ARI 338,3,Upper Division
Topics in Interior Design Theory,ARI 350R,3,Upper Division
Topics in Advanced Interior Design,ARI 560R,5,Upper Division
Interior Design Practice,ARI 362,3,Upper Division
Interior Design History II,ARI 368R,3,Upper Division
Topics in the History of Architecture and Architectural Interior Design,ARI 368S,3,Upper Division
Interior Design Research,"ARI 279, 379","2, 3",Upper Division
Visual Communications,ARI 281,2,Graduate
Architectural Drawing,ARI 381D,3,Graduate
Topics in Representation,ARI 381R,3,Graduate
Topics in Emerging Technologies,ARI 381T,3,Graduate
Interior Design Practice,ARI 382,3,Graduate
Mediating Interiors,ARI 382D,3,Graduate
"Environmental Control: Heat, Air and Water",ARI 384F,3,Graduate
"Environmental Control: Light, Sound and Electricity",ARI 384G,3,Graduate
Construction I,ARI 385K,3,Graduate
Construction II: Interior Materials and Assemblies,ARI 385L,3,Graduate
Topics in Materials and Tectonics,ARI 385T,3,Graduate
Seminar in Interior Design,ARI 386K,3,Graduate
Topics in Interior Design Theory and Criticism,ARI 386M,3,Graduate
Designing for Human Behavior,ARI 388,3,Graduate
Interior Design History I,ARI 388K,3,Graduate
Interior Design History II,ARI 388L,3,Graduate
Topics in Interior Design History,ARI 388R,3,Graduate
Research in Interior Design,"ARI 389, 689","3, 6",Graduate
Productions,ARI 391P,3,Graduate
Digital Drawing and Fabrication,ARI 392F,3,Graduate
Prototype,ARI 392P,3,Graduate
Topics in Master's Design Studio,ARI 693,6,Graduate
Interior Design Core Studio I,ARI 693K,6,Graduate
Interior Design Core Studio II,ARI 693L,6,Graduate
Interior Design Core Studio III,ARI 693M,6,Graduate
Advanced Design: International Studio,ARI 694,6,Graduate
Interior Design: Technical Studio,ARI 695,6,Graduate
"Frank Lloyd Wright: Design, Method, Theory",ARI 395D,3,Graduate
"The American Home: Identity, Process, and Marketing",ARI 395G,3,Graduate
Topics in Advanced Interior Design Studio,ARI 696,6,Graduate
Interior Design Internship,ARI 197,1,Graduate
Thesis,ARI 698,6,Graduate
,,Total Hours: 202
DegreeView
