Coursename,Coursecode,Hours,Classification
Introduction to Print,ART 310P (TCCN: ARTS 2333),3,Lower Division
Core Studio: Drawing,ART 311C (TCCN: ARTS 1316),3,Lower Division
Painting I,ART 311K (TCCN: ARTS 2316),3,Lower Division
Core Studio: 2D,ART 312C (TCCN: ARTS 1311),3,Lower Division
Core Studio: 3D,ART 313C (TCCN: ARTS 1312),3,Lower Division
Beginning Sculpture,ART 313K (TCCN: ARTS 2326),3,Lower Division
Core Studio: Time and Technology,ART 314C,3,Lower Division
Beginning Drawing,ART 315K (TCCN: ARTS 1317),3,Lower Division
Beginning Life Drawing,ART 316K (TCCN: ARTS 2323),3,Lower Division
Transmedia: Expanded Media I,ART 316V,3,Lower Division
Transmedia: Performance Art I,ART 317C,3,Lower Division
Beginning Photography,ART 317K (TCCN: ARTS 2356),3,Lower Division
Transmedia: Digital Time-Art I,ART 318C,3,Lower Division
Topics in Studio Art,"ART 119Q, 219Q, 319Q, 419Q, 519Q, 619Q, 719Q, 819Q, 919Q","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Studio Art: Laboratory,ART 319T,3,Lower Division
Digital Fabrication I,ART 320F,3,Upper Division
Topics in Studio Art,"ART 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Painting II,ART 321K,3,Upper Division
Intermediate Drawing,ART 322K,3,Upper Division
Intermediate Sculpture,ART 323K,3,Upper Division
Installation Sculpture,ART 323S,3,Upper Division
Publication Studio,ART 324C,3,Upper Division
Intermediate Print: Serigraphy,ART 325G,3,Upper Division
Intermediate Print: Relief,ART 325J,3,Upper Division
Intermediate Print: Intaglio,ART 325K,3,Upper Division
Intermediate Print: Lithography,ART 325M,3,Upper Division
Intermediate Print: Monotype,ART 325T,3,Upper Division
Advanced Print Workshop,ART 330P,3,Upper Division
Intermediate Photography,ART 335K,3,Upper Division
Transmedia: Expanded Media II,ART 336V,3,Upper Division
Transmedia: Performance Art II,ART 337C,3,Upper Division
Transmedia: Digital Time-Art II,ART 338C,3,Upper Division
Digital Fabrication II,ART 340F,3,Upper Division
Painting III,ART 341K,3,Upper Division
Intermediate Life Drawing,ART 346K,3,Upper Division
"Philosophy, Theory, and Criticism",ART 350,3,Upper Division
Alternative Photographic Processes: Photography and Printmaking,ART 350D,3,Upper Division
Aesthetics of Health,ART 350E,3,Upper Division
Topics in Studio Art Practice,ART 350M,3,Upper Division
Topics in Studio Art Lecture,ART 350N,3,Upper Division
Professional Practices,ART 350P,3,Upper Division
Painting for Nonmajors,ART 352C,3,Upper Division
Drawing for Nonmajors,ART 352D,3,Upper Division
Figure Drawing for Nonmajors,ART 352E,3,Upper Division
Print for Nonmajors,ART 352F,3,Upper Division
Sculpture for Nonmajors,ART 352G,3,Upper Division
Photography for Nonmajors,ART 352J,3,Upper Division
Transmedia for Nonmajors,ART 352K,3,Upper Division
Topics in Studio Projects,ART 355,3,Upper Division
Transmedia: Expanded Media III,ART 356V,3,Upper Division
Transmedia: Performance Art III,ART 357C,3,Upper Division
Transmedia: Digital Time-Art III,ART 358C,3,Upper Division
Painting IV,ART 361K,3,Upper Division
Advanced Sculpture,ART 363K,3,Upper Division
Advanced Life Drawing,ART 366K,3,Upper Division
Advanced Drawing,ART 368N,3,Upper Division
Advanced Photography,ART 372K,3,Upper Division
Independent Study: Studio Art,ART 376,3,Upper Division
Contemporary Issues in Photography,ART 376K,3,Upper Division
Contemporary Issues in Print,ART 376P,3,Upper Division
Advanced Topics in Studio Art: Lecture,"ART 179S, 379S","1, 3",Upper Division
Advanced Topics in Studio Art: Laboratory,"ART 279T, 379T","2, 3",Upper Division
Group Critique in Studio Art,"ART 380, 480","3, 4",Graduate
Graduate Committee Study,"ART 181, 281, 381, 481, 581, 681, 781","1, 2, 3, 4, 5, 6, 7",Graduate
Seminar in Studio Art,ART 382,3,Graduate
Topics Seminar in Studio Art,ART 482T,4,Graduate
Graduate Independent Study Outside Student's Concentration,"ART 383, 483","3, 4",Graduate
Master of Fine Arts First-Year Seminar,"ART 384F, 484F","3, 4",Graduate
Master of Fine Arts Assembly,ART 384S,3,Graduate
Advanced Topics in Studio Art,ART 390,3,Graduate
Advanced Topics in Studio Art,ART 490T,4,Graduate
Professional Practices for Fine Artists,"ART 398P, 498P","3, 4",Graduate
Master's Portfolio Report,ART 398R,3,Graduate
Master's Exhibition Seminar,"ART 398S, 498S","3, 4",Graduate
Teaching Methodologies in Studio Art,ART 398T,3,Graduate
,,Total Hours: 227
DegreeView
