Coursename,Coursecode,Hours,Classification
Introduction to Aerospace Engineering,ASE 102,1,Lower Division
Topics in Aerospace Engineering,"ASE 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Low-Speed Aerodynamics,ASE 320,3,Upper Division
Low-Speed Aerodynamics Laboratory,ASE 120K,1,Upper Division
Aerospace Materials Laboratory,ASE 324L,3,Upper Division
Aerospace Engineering Projects Laboratory,ASE 128,1,Upper Division
Linear System Analysis,ASE 330M,3,Upper Division
Advanced Strength of Materials,ASE 339,3,Upper Division
Viscous Fluid Flow,ASE 346,3,Upper Division
Aeroelasticity,ASE 355,3,Upper Division
Mechanics of Composite Materials,ASE 357,3,Upper Division
Aircraft Design I,ASE 361K,3,Upper Division
Aircraft Design II,ASE 361L,3,Upper Division
Compressible Flow,ASE 362K,3,Upper Division
High-Speed Aerodynamics Laboratory,ASE 162M,1,Upper Division
Applied Aerodynamics,ASE 364,3,Upper Division
Structural Dynamics,ASE 365,3,Upper Division
Spacecraft Dynamics,ASE 366K,3,Upper Division
Applied Orbital Mechanics,ASE 366L,3,Upper Division
Spacecraft Systems Laboratory,ASE 166M,1,Upper Division
Flight Dynamics,ASE 367K,3,Upper Division
Feedback Control Systems,ASE 370C,3,Upper Division
Attitude Dynamics,ASE 372K,3,Upper Division
Satellite-Based Navigation,ASE 372N,3,Upper Division
Aerospace Systems Senior Design I,ASE 374D,3,Upper Division
Aerospace Systems Senior Design II,ASE 374E,3,Upper Division
Space Systems Engineering Design,ASE 374K,3,Upper Division
Spacecraft/Mission Design,ASE 374L,3,Upper Division
Electromechanical Systems,ASE 375,3,Upper Division
Rocket Engineering Practicum I,ASE 376C,3,Upper Division
Rocket Engineering Practicum II,ASE 376D,3,Upper Division
Rocket Fluid System Design,ASE 376F,3,Upper Division
"Rocket Guidance, Navigation, and Control",ASE 376G,3,Upper Division
Propulsion,ASE 376K,3,Upper Division
Undergraduate Honors Thesis,ASE 679H,6,Upper Division
Research in Aerospace Engineering,"ASE 179K, 279K, 379K","1, 2, 3",Upper Division
Topics in Aerospace Engineering,"ASE 189, 289, 389, 489, 589, 689","1, 2, 3, 4, 5, 6",Graduate
Aerial Robotics,ASE 479W,4,Upper Division
Topics in Mathematical Analysis for Aerospace Engineers,ASE 380P,3,Graduate
Topics in System Theory,ASE 381P,3,Graduate
Topics in Fluid Mechanics,ASE 382Q,3,Graduate
Topics in Aerodynamics,ASE 382R,3,Graduate
Topics in Structural and Solid Mechanics,ASE 384P,3,Graduate
"Topics in Flight Mechanics, Guidance, Navigation, and Control",ASE 387P,3,Graduate
Topics in Celestial Mechanics,ASE 388P,3,Graduate
Topics in Satellite Applications,ASE 389P,3,Graduate
Graduate Seminar,ASE 397,3,Graduate
Research in Aerospace Engineering,"ASE 197R, 297R, 397R, 497R, 597R, 697R, 797R, 897R, 997R","1, 2, 3, 4, 5, 6, 7, 8, 9",Graduate
Thesis,ASE 698,6,Graduate
Master's Report,ASE 398R,3,Graduate
Supervised Teaching in Aerospace Engineering,ASE 398T,3,Graduate
Dissertation,"ASE 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 153
DegreeView
