Coursename,Coursecode,Hours,Classification
Accelerated First-Year American Sign Language,ASL 601C,6,Lower Division
American Sign Language I: Beginning,ASL 601D,6,Lower Division
American Sign Language II: Beginning,ASL 610D,6,Lower Division
American Sign Language III: Intermediate,ASL 311D,3,Lower Division
Topics in American Sign Language,"ASL 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Advanced American Sign Language Conversation,ASL 320,3,Upper Division
Sign Languages and Signing Communities,ASL 326,3,Upper Division
Topics in American Sign Language,"ASL 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Introduction to Sign Interpreting,ASL 336,3,Upper Division
"Topics in American Sign Language, Deaf Studies, and Interpreting",ASL 350,3,Upper Division
Deaf Culture,ASL 352,3,Upper Division
Undergraduate Research,ASL 357,3,Upper Division
Conference Course in American Sign Language,ASL 395,3,Graduate
American Sign Language for Graduate Students I,ASL 395C,3,Graduate
American Sign Language for Graduate Students II,ASL 395D,3,Graduate
American Sign Language for Graduate Students III,ASL 395E,3,Graduate
,,Total Hours: 57
DegreeView
