Coursename,Coursecode,Hours,Classification
Introduction to Astronomy,"AST 301 (TCCN: ASTR 1303, PHYS 1303)",3,Lower Division
Astronomy Discovery Laboratory,AST 101L,1,Lower Division
Self-Paced Introduction to Astronomy,AST 302,3,Lower Division
Introduction to Astronomy with Celestial Observations,AST 303,3,Lower Division
Astronomical Observations,"AST 103L (TCCN: ASTR 1103, PHYS 1103)",1,Lower Division
Undergraduate Astronomy Seminar,AST 104,1,Lower Division
Introductory Astronomy,AST 307,3,Lower Division
Topics in Astronomy for Nonscience Students,AST 309,3,Lower Division
Birth of Stars and Planets,AST 309C,3,Lower Division
Popular Astronomy for Nonscience Students,AST 309G,3,Lower Division
Search for Extraterrestrial Life,AST 309L,3,Lower Division
Lives and Deaths of Stars,AST 309N,3,Lower Division
Astronomy in Science Fiction,AST 309P,3,Lower Division
Time and the Cosmos,AST 309Q,3,Lower Division
"Galaxies, Quasars, and the Universe",AST 309R,3,Lower Division
The Solar System,"AST 309S (TCCN: ASTR 1304, PHYS 1304)",3,Lower Division
The Milky Way Galaxy,AST 309T,3,Lower Division
Conference Course in Astronomy,"AST 110C, 210C, 310C","1, 2, 3",Lower Division
Topics in Astronomy Research,"AST 110K, 210K, 310K","1, 2, 3",Lower Division
Topics in Astronomy,"AST 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Current Problems in Astronomy,AST 321,3,Upper Division
"Origins: The Universe, Stars, Planets, and Life",AST 324,3,Upper Division
Topics in Astronomy,"AST 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
History and Philosophy of Astronomy,AST 350L,3,Upper Division
Astronomical Instrumentation,AST 351,3,Upper Division
Stellar Astronomy,AST 352K,3,Upper Division
"Positional, Dynamical, and Kinematical Astronomy",AST 352L,3,Upper Division
Stellar Astronomy Laboratory,AST 152M,1,Upper Division
Astrophysics,AST 353,3,Upper Division
Galaxies and the Universe,AST 358,3,Upper Division
Planetary Systems,AST 364P,3,Upper Division
Physical Science: Methods of Astronomy,AST 367M,3,Upper Division
Topics in Astronomy Research,"AST 175, 275, 375","1, 2, 3",Upper Division
Conference Course in Astronomy,"AST 175C, 275C, 375C","1, 2, 3",Upper Division
Special Topics in Advanced Astronomy,AST 376,3,Upper Division
Cosmology,AST 376C,3,Upper Division
A Practical Introduction to Research Methods,AST 376R,3,Upper Division
Honors Tutorial Course,AST 379H,3,Upper Division
Radiative Processes and Radiative Transfer,AST 380E,3,Graduate
Topics in Theoretical Astrophysics,AST 381,3,Graduate
Gravitational Dynamics,AST 381C,3,Graduate
Seminar in Theoretical Astrophysics,AST 381S,3,Graduate
Astrophysical Gas Dynamics,AST 382C,3,Graduate
Astronomical Data Analysis,AST 382D,3,Graduate
Topics in Stellar Astronomy,AST 383,3,Graduate
Stellar Atmospheres,AST 383C,3,Graduate
Stellar Structure and Evolution,AST 383D,3,Graduate
Order of Magnitude Astrophysics,AST 383E,3,Graduate
Seminar in Planets and Life,AST 383L,3,Graduate
Seminar in Stellar Astronomy,AST 383T,3,Graduate
Computational Astrophysics,AST 384C,3,Graduate
Current Studies in Astronomy for Teachers,AST 384T,3,Graduate
Topics in Conference Course,AST 385,3,Graduate
Conference on Modern Astronomy,AST 185C,1,Graduate
Topics in Extragalactic Astronomy,AST 386,3,Graduate
Properties of Galaxies,AST 386C,3,Graduate
Seminar in Extragalactic Astronomy,AST 386S,3,Graduate
Topics in Dynamical Astronomy,AST 389,3,Graduate
"Stars, Planets, and Interstellar Matter Seminar",AST 390F,3,Graduate
Galaxies and Cosmology Seminar,AST 390G,3,Graduate
Graduate Research in Astronomy,AST 391,3,Graduate
Mathematical Methods of Astrophysics,AST 392D,3,Graduate
Topics in Optical Techniques in Astronomy,AST 392E,3,Graduate
Observing Techniques in Astronomy,AST 392G,3,Graduate
Astronomical Instrumentation,AST 392J,3,Graduate
Survey of the Interstellar Medium,AST 393F,3,Graduate
Seminar in Interstellar Matter,AST 393S,3,Graduate
Formation of Galaxies and Large-Scale Structure,AST 394F,3,Graduate
Planetary Astrophysics,AST 394P,3,Graduate
High Redshift Galaxies,AST 395H,3,Graduate
Elements of Cosmology,AST 396C,3,Graduate
Graduate Research Project,AST 697,6,Graduate
Thesis,AST 698,6,Graduate
Master's Report,AST 398R,3,Graduate
Supervised Teaching in Astronomy,AST 398T,3,Graduate
Dissertation,"AST 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 224
DegreeView
