Coursename,Coursecode,Hours,Classification
Auditory Processing Disorders,AUD 381P,3,Graduate
Surgically Implanted Auditory Prostheses,AUD 383P,3,Graduate
Applications of Surgically Implanted Auditory Prostheses,AUD 383S,3,Graduate
Basic Clinical Practicum in Audiology,AUD 388P,3,Graduate
Intermediate Clinical Practicum in Audiology,AUD 389P,3,Graduate
Business Applications,AUD 390Q,3,Graduate
Anatomy and Physiology of the Auditory System,AUD 391P,3,Graduate
Counseling,AUD 392C,3,Graduate
Auditory Electrophysiology,AUD 394E,3,Graduate
Auditory Perception,AUD 394J,3,Graduate
Aural Habilitation,AUD 394K,3,Graduate
Amplifying Systems in Aural Rehabilitation,AUD 394P,3,Graduate
Medical Audiology,AUD 394S,3,Graduate
Topics in Audiology,AUD 394T,3,Graduate
Pediatric Audiology,AUD 395Q,3,Graduate
Vestibular Sciences I,AUD 396H,3,Graduate
Vestibular Sciences II,AUD 396J,3,Graduate
Signals and Systems in Hearing and Speech,AUD 396P,3,Graduate
Advanced Amplifying Systems,AUD 396Q,3,Graduate
Clinical Externship in Audiology,"AUD 397, 697, 997","3, 6, 9",Graduate
Audiology Research Practicum,AUD 198,1,Graduate
Research Project in Audiology,AUD 398Q,3,Graduate
,,Total Hours: 64
DegreeView
