Coursename,Coursecode,Hours,Classification
Introduction to Problem Solving and Programming,BAX 304,3,Lower Division
Programming for Data Analytics,BAX 305,3,Lower Division
Topics in Business Analytics,"BAX 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Database Management,BAX 325,3,Upper Division
Data Management,BAX 327,3,Upper Division
Topics in Business Analytics,BAX 372T,3,Upper Division
Topics in Foundations of Business Analytics,BAX 332F,3,Upper Division
Supply Chain Modeling and Optimization,BAX 338,3,Upper Division
Predictive Analytics,BAX 357,3,Upper Division
Optimization Methods and Decision Making,BAX 358,3,Upper Division
Information and Analysis,"BAX 360, 460","3, 4",Upper Division
Auditing and Control,BAX 362,3,Upper Division
Ethics of Business Analytics,BAX 365,3,Upper Division
Advanced Programming for Data Analytics,BAX 366,3,Upper Division
Business Analytics Practicum,BAX 366P,3,Upper Division
Advanced Predictive Analytics,BAX 367,3,Upper Division
Advanced Optimization Methods and Decision Making,BAX 368,3,Upper Division
Business Analytics in Practice,BAX 375,3,Upper Division
,,Total Hours: 54
DegreeView
