Coursename,Coursecode,Hours,Classification
Undergraduate Research,BCH 206K,2,Lower Division
Special Topics in Biotechnology,"BCH 115T, 215T, 315T, 415T, 515T, 615T, 715T, 815T, 915T","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Introduction to Biochemical Laboratory Practices and Skills,BCH 219L,2,Lower Division
Topics in Biochemistry,"BCH 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Biochemistry,"BCH 190C, 290C","1, 2",Graduate
Medical Biochemistry,BCH 330M,3,Upper Division
Foundations of Biochemistry,BCH 339F,3,Upper Division
Chemical and Synthetic Biology,BCH 339J,3,Upper Division
Structure and Function of Molecular Machines,BCH 339M,3,Upper Division
Systems Biology and Bioinformatics,BCH 339N,3,Upper Division
Biochemistry in Physiology and Medicine,BCH 339P,3,Upper Division
Bioinformatics,BCH 364C,3,Upper Division
Macromolecular Structure Determination,BCH 364D,3,Upper Division
Systems Biology,BCH 364E,3,Upper Division
Astrobiology,BCH 364F,3,Upper Division
Structure and Function of Proteins and Nucleic Acids,BCH 365D,3,Upper Division
Capstone Honors Research,BCH 368H,3,Upper Division
Capstone Course-Based Research Experience,BCH 368L,3,Upper Division
Capstone Experience in Biochemistry,BCH 368M,3,Upper Division
Supervised Capstone Research,BCH 368R,3,Upper Division
Biotechnology Capstone,BCH 368T,3,Upper Division
Supervised Literature Review,BCH 368W,3,Upper Division
Fundamentals of Biochemistry,BCH 369,3,Upper Division
Techniques of Research,BCH 369K,3,Upper Division
Biochemistry Laboratory,BCH 369L,3,Upper Division
Biotechnology Laboratory,BCH 369T,3,Upper Division
Physical Methods of Biochemistry,BCH 370,3,Upper Division
Biochemistry Capstone Seminar,BCH 175C,1,Upper Division
Biochemistry Honors Tutorial Course,"BCH 379H, 679H","3, 6",Upper Division
Dual MD/PhD Program with UT Medical Branch,BCH 080M,0,Graduate
Physical Methods in Biochemistry and Molecular Biology,BCH 387D,3,Graduate
Structure and Function of Proteins and Nucleic Acids,BCH 394,3,Graduate
Bioinformatics,BCH 394P,3,Graduate
Advanced Biochemistry,BCH 395F,3,Graduate
Structure and Function of Proteins and Membranes,BCH 395G,3,Graduate
"Genes, Genomes, and Gene Expression",BCH 395J,3,Graduate
Synthetic Biology,BCH 396S,3,Graduate
Advanced Study and Research in Biochemistry,"BCH 197C, 297C, 397C, 497C, 597C, 697C, 997C","1, 2, 3, 4, 5, 6, 9",Graduate
Thesis,BCH 698,6,Graduate
Professional Development for Graduate Students in Biochemistry,BCH 398T,3,Graduate
Dissertation,"BCH 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 119
DegreeView
