Coursename,Coursecode,Hours,Classification
Topics in Forum Seminar Series,"BDP 101, 201, 301","1, 2, 3",Lower Division
Fundamentals of Ethical Leadership,BDP 306,3,Lower Division
Principles of Business,BDP 306C,3,Lower Division
Connecting Internship Experience,"BDP 111, 211, 311","1, 2, 3",Lower Division
Topics in Specialized Forum Seminar Series,"BDP 119, 219, 319","1, 2, 3",Lower Division
Introduction to Digital Media Production,BDP 319D,3,Lower Division
Topics in Bridging Disciplines,"BDP 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Connecting Research Experience,"BDP 120K, 220K, 320K","1, 2, 3",Upper Division
Connecting Research Experience,BDP 320L,3,Upper Division
Connecting Research Experience: Service Learning,BDP 320M,3,Upper Division
Connecting Internship Experience: Service Learning,BDP 321M,3,Upper Division
Topics in Team-Based Research Experience,BDP 322K,3,Upper Division
Connecting Internship Experience,"BDP 125K, 225K, 325K","1, 2, 3",Upper Division
Topics in Advanced Forum Seminar Series,"BDP 126, 226, 326","1, 2, 3",Upper Division
Topics in Specialized Advanced Forum Seminar Series,"BDP 129, 229, 329","1, 2, 3",Upper Division
Topics in Bridging Disciplines,"BDP 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
,,Total Hours: 48
DegreeView
