Coursename,Coursecode,Hours,Classification
First-Year Bengali I,BEN 506,5,Lower Division
First-Year Bengali II,BEN 507,5,Lower Division
Second-Year Bengali I,BEN 312K,3,Lower Division
Second-Year Bengali II,BEN 312L,3,Lower Division
Topics in Bengali,"BEN 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Advanced Bengali I,BEN 320K,3,Upper Division
Advanced Bengali II,BEN 320L,3,Upper Division
Topics in Bengali,"BEN 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Conference Course in Bengali Language and Literature,BEN 360,3,Upper Division
Conference Course in Bengali Language and Culture,BEN 381,3,Graduate
,,Total Hours: 34
DegreeView
