Coursename,Coursecode,Hours,Classification
"Topics in Business, Government, and Society","BGS 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Social and Ethical Responsibility of Business,BGS 325,3,Upper Division
"Topics in Business, Government, and Society","BGS 180, 380","1, 3",Graduate
Strategy Beyond Markets,BGS 337,3,Upper Division
Social and Cultural Entrepreneurship,"BGS 170S, 270S, 370S","1, 2, 3",Upper Division
Corporate Political Strategy,BGS 371,3,Upper Division
Strategic Corporate Social Responsibility,BGS 372,3,Upper Division
Strategic Corporate Communication,BGS 373,3,Upper Division
Global Political Economy,BGS 374,3,Upper Division
Business and Policy in the Age of Inequality,"BGS 175, 275, 375","1, 2, 3",Upper Division
"Independent Research in Business, Government, and Society","BGS 179, 379","1, 3",Upper Division
Strategic Corporate Communication,"BGS 180C, 280C, 380C","1, 2, 3",Graduate
Strategic Corporate Social Responsibility,"BGS 180D, 280D, 380D","1, 2, 3",Graduate
Global Political Economy,"BGS 180E, 280E, 380E","1, 2, 3",Graduate
Business and Policy in the Age of Inequality,"BGS 180G, 280G, 380G","1, 2, 3",Graduate
"Law, Ethics, and Corporate Social Responsibility","BGS 281, 381","2, 3",Graduate
"Topics in Law, Ethics and Corporate Social Responsibility: Energy",BGS 381E,3,Graduate
Social and Ethical Responsibility of Business,"BGS 181M, 281M, 381M","1, 2, 3",Graduate
Social and Ethical Responsibilities of Accountants,BGS 381N,3,Graduate
Corporate Political Strategy,"BGS 182, 282, 382","1, 2, 3",Graduate
Economics of Health Care,BGS 382D,3,Graduate
Energy Economics,BGS 382E,3,Graduate
Labor Economics,BGS 382L,3,Graduate
Economic Analysis of Law,BGS 382R,3,Graduate
Economics of Sustainable Business,BGS 382S,3,Graduate
Business Ethics in the Global Market,BGS 383,3,Graduate
Global Macroeconomic Policy,BGS 384,3,Graduate
"Business, Government, and Public Policy",BGS 385,3,Graduate
"Business, Government, and Public Policy: Washington Campus",BGS 385W,3,Graduate
Market Structure and Performance,BGS 386,3,Graduate
Business Integrity,BGS 287,2,Graduate
Behavioral Economics,"BGS 188, 288, 388","1, 2, 3",Graduate
Environmental Regulation of Business,BGS 389,3,Graduate
Behavioral and Institutional Economics,BGS 390,3,Graduate
Business in the Global Political Environment,BGS 390E,3,Graduate
Federal Regulatory Policy,BGS 390F,3,Graduate
Modern Political Economy,BGS 390J,3,Graduate
"Topics in Conference Course in Business, Government, and Society","BGS 191, 291, 391, 691","1, 2, 3, 6",Graduate
,,Total Hours: 113
DegreeView
