Coursename,Coursecode,Hours,Classification
Topics in Biology,"BIO 101C, 301C, 401C, 601C","1, 3, 4, 6",Lower Division
Problems in Modern Biology,BIO 301E,3,Lower Division
Conference Course,"BIO 102C, 202C, 302C, 402C","1, 2, 3, 4",Lower Division
Science Literacy and Numeracy: Ecology and Evolution,BIO 302D (TCCN: BIOL 1309),3,Lower Division
Science Literacy and Numeracy: Genetics and Genomics,BIO 302E (TCCN: BIOL 1308),3,Lower Division
Science Literacy and Numeracy: Human Health and Disease,BIO 302F,3,Lower Division
Science Literacy and Numeracy: Biotechnology and the Future,BIO 302G,3,Lower Division
Introductory Laboratory Experiments in Biology,BIO 206L,2,Lower Division
Introduction to Lab Experiments in Biology,BIO 106M (TCCN: BIOL 1106),1,Lower Division
Introduction to Lab Experiments in Biology II,BIO 106N (TCCN: BIOL 1107),1,Lower Division
Introductory Biology I,BIO 311C (TCCN: BIOL 1306),3,Lower Division
Introductory Biology II,BIO 311D (TCCN: BIOL 1307),3,Lower Division
Advanced Introduction to Genetics: Honors,BIO 315H,3,Lower Division
Topics in Biology,"BIO 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Genetics,BIO 325,3,Upper Division
Genetics: Honors,BIO 325H,3,Upper Division
Laboratory Experience in Genetics,BIO 325L,3,Upper Division
Selected Topics in Biology,"BIO 137, 237, 337, 437","1, 2, 3, 4",Upper Division
Computational Biology Laboratory,BIO 337J,3,Upper Division
Limnology and Oceanography,BIO 456L,4,Upper Division
Peer Assistant,BIO 068,0,Upper Division
Topics in Conference Course,"BIO 170C, 270C, 370C, 470C","1, 2, 3, 4",Upper Division
Biology Peer Mentors in Research/Teaching,BIO 372C,3,Upper Division
Undergraduate Research,"BIO 177, 277, 377","1, 2, 3",Upper Division
Honors Tutorial Course,"BIO 379H, 679H","3, 6",Upper Division
Topics in Biology (Cooperative Programs),BIO 380M,3,Graduate
Advanced Plant Physiology,BIO 381,3,Graduate
"Topics in Ecology, Evolution, and Behavior: Physiology and Biophysics",BIO 381K,3,Graduate
Basic Processes of Nerve Cells,BIO 381N,3,Graduate
"Topics in Ecology, Evolution, and Behavior: Development and Reproduction",BIO 383K,3,Graduate
"Topics in Ecology, Evolution, and Behavior",BIO 384K,3,Graduate
Topics in Plant Science: Ecology and Evolution,BIO 386,3,Graduate
Taxonomic Plant Anatomy,BIO 487G,4,Graduate
Chemistry and Biology of Membranes,BIO 389C,3,Graduate
Advanced Cell Biology,BIO 389K,3,Graduate
Topics in Microbiology,"BIO 190, 290","1, 2",Graduate
Applied Public Health and Medical Microbiology,BIO 890G,8,Graduate
"Scanning Electron Microscopy, Theory and Practice",BIO 290K,2,Graduate
Electron Microscopy I: Theory and Practice,BIO 490M,4,Graduate
Techniques in Molecular Genetics,BIO 390P,3,Graduate
Cellular Immunology,BIO 391K,3,Graduate
Advanced Metabolism and Biochemistry of Microorganisms,BIO 391R,3,Graduate
Microbial Genetics,BIO 391S,3,Graduate
Topics in Problems in Host-Parasite Biology,BIO 392,3,Graduate
DNA Repair,BIO 392D,3,Graduate
Topics in Problems in Molecular Genetics,BIO 393,3,Graduate
Topics in Problems in Microbial Physiology,BIO 394,3,Graduate
Tumor Biology,BIO 394T,3,Graduate
Genetics,BIO 395F,3,Graduate
Advanced Biochemistry,BIO 395I,3,Graduate
Membranes and Walls of Bacteria,BIO 396,3,Graduate
Microbiology Research Seminar,BIO 396R,3,Graduate
Seminar in Microbiology,BIO 197,1,Graduate
Advanced Genetics,BIO 397J,3,Graduate
Supervised Teaching in Biological Sciences,BIO 398T,3,Graduate
,,Total Hours: 162
DegreeView
