Coursename,Coursecode,Hours,Classification
Introduction to Computing,BME 303,3,Lower Division
Introduction to Biomedical Engineering Design,BME 303L,3,Lower Division
Fundamentals of Computing,BME 306,3,Lower Division
Network Analysis in Biomedical Engineering,BME 311,3,Lower Division
Introduction to Numerical Methods in Biomedical Engineering,BME 313L,3,Lower Division
Computational Fundamentals of Biomedical Engineering Design,BME 214L,2,Lower Division
International Perspectives on Biomedical Engineering Design,BME 320,3,Upper Division
Health Equity in Engineering Design,BME 322,3,Upper Division
Topics in Biomedical Engineering,"BME 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Engineering Communication,BME 333T,3,Upper Division
Engineering Probability and Statistics,BME 335,3,Upper Division
Cancer Bioengineering,BME 336,3,Upper Division
Nanomedicine,BME 337,3,Upper Division
Thin Film Mechanics,BME 338,3,Upper Division
Biochemical Engineering,BME 339,3,Upper Division
Soft Tissue Biomechanics,BME 340,3,Upper Division
Biomechanics of Human Movement,BME 342,3,Upper Division
Biomedical Engineering Signal and Systems Analysis,BME 343,3,Upper Division
Biomechanics,BME 344,3,Upper Division
Introduction to Therapeutics,BME 344C,3,Upper Division
Graphics and Visualization Laboratory,BME 345,3,Upper Division
Experimental Principles of Biomedical Engineering Design,BME 245L,2,Upper Division
Computational Biomolecular Engineering,BME 346,3,Upper Division
Fundamentals of Biomedical Optics,BME 347,3,Upper Division
Modeling of Biomedical Engineering Systems,BME 348,3,Upper Division
Introduction to Computational and Systems Biology,BME 348P,3,Upper Division
Biomedical Instrumentation,BME 349,3,Upper Division
Computational Methods for Biomedical Engineers,BME 350,3,Upper Division
Engineering Biomaterials,BME 352,3,Upper Division
Transport Phenomena in Living Systems,BME 353,3,Upper Division
Molecular Sensors and Nanodevices for Biomedical Engineering Applications,BME 354,3,Upper Division
Molecular Engineering,BME 355,3,Upper Division
Polymer and Bioconjugate Chemistry,BME 356,3,Upper Division
Biomedical Imaging Modalities,BME 357,3,Upper Division
Medical Decision Making,BME 358,3,Upper Division
Imaging Clinical Immersion,BME 358M,3,Upper Division
Cellular and Molecular Biomechanics,BME 359,3,Upper Division
Development and Analysis in Biomedical Engineering Design,BME 261L,2,Upper Division
Introduction to Nonlinear Dynamics in Biological Systems,BME 362,3,Upper Division
Advanced Engineering Biomaterials,BME 362C,3,Upper Division
Medical Device Innovation,BME 362E,3,Upper Division
Bioelectronics and Biointerfaces,BME 363,3,Upper Division
Medical Device Design and Manufacturing,BME 363E,3,Upper Division
Biological Responses to Medical Devices,BME 364,3,Upper Division
Tissue Microenvironments,BME 365,3,Upper Division
Quantitative Engineering Physiology I,BME 365R,3,Upper Division
Quantitative Engineering Physiology II,BME 365S,3,Upper Division
Immune Engineering,BME 366,3,Upper Division
Design of Artificial Organs,BME 367,3,Upper Division
Introduction to Mathematical and Physical Biology,BME 368,3,Upper Division
Biomimetic Design and Engineering,BME 369,3,Upper Division
"Matrices, Organoids, and Microphysiological Systems",BME 369C,3,Upper Division
Biomedical Engineering Capstone Design I,BME 370,3,Upper Division
Biomedical Engineering Capstone Design II,BME 371,3,Upper Division
Computational Modeling of the Cardiovascular System,BME 372,3,Upper Division
Mathematical Physiology,BME 372P,3,Upper Division
"Tissue, Scaffold, and Cell Biomechanics Applications",BME 373,3,Upper Division
Optical Design,BME 374,3,Upper Division
Biomedical Engineering Microscopy Foundations Laboratory,BME 374D,3,Upper Division
Biomedical Instrument Design,BME 374K,3,Upper Division
Applications of Biomedical Instrumentation Lab,BME 374L,3,Upper Division
Stem Cells in Cell and Tissue Engineering,BME 375,3,Upper Division
Cell Engineering,BME 376,3,Upper Division
Undergraduate Research Project,"BME 177, 277, 377","1, 2, 3",Upper Division
Medical Internship,BME 377M,3,Upper Division
Off-Campus Research,BME 377R,3,Upper Division
Industrial Internship,BME 377S,3,Upper Division
Topics in Biomedical Engineering,BME 385J,3,Graduate
Undergraduate Thesis in Biomedical Engineering,BME 678,6,Upper Division
Tissue Engineering,BME 379,3,Upper Division
Undergraduate Honors Thesis,BME 679H,6,Upper Division
Topics in the Fundamentals of Biomedical Engineering,"BME 180J, 380J","1, 3",Graduate
Dual MD/PhD Program with UT Medical Branch,BME 080M,0,Graduate
Topics in Cell and Molecular Imaging,BME 381J,3,Graduate
Normal Body Structure and Function,BME 681M,6,Graduate
Topics in Cellular and Biomolecular Engineering,BME 382J,3,Graduate
Biodesign: Needs Identification,BME 682M,6,Graduate
Topics in Computational Biomedical Engineering and Bioinformatics,BME 383J,3,Graduate
Biodesign: Entrepreneurship,BME 683M,6,Graduate
Topics in Instrumentation,BME 384J,3,Graduate
Topics in Biomechanics,BME 384T,3,Graduate
Mechanisms of Disease,BME 685M,6,Graduate
Biomedical Engineering Microscopy Foundations Laboratory,BME 386J,3,Graduate
Research Internship,BME 396,3,Graduate
Research Problems,"BME 197, 297, 397, 597, 697","1, 2, 3, 5, 6",Graduate
Deep Reading in Science and Engineering,BME 197D,1,Graduate
Professional Responsibilities in Imaging,BME 197E,1,Graduate
Mentoring Undergraduates in Research,BME 197M,1,Graduate
Integrated Biomedical Engineering Seminar,BME 197N,1,Graduate
Graduate Professional Development Seminar,"BME 197P, 297P, 397P","1, 2, 3",Graduate
Graduate Seminar in Biomedical Engineering,BME 197S,1,Graduate
Thesis,BME 698,6,Graduate
Master's Report,BME 398R,3,Graduate
Dissertation,"BME 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 287
DegreeView
