Coursename,Coursecode,Hours,Classification
Introduction to Ancient Greece,C C 301,3,Lower Division
Introduction to Ancient Rome,C C 302,3,Lower Division
Introduction to Classical Mythology,C C 303,3,Lower Division
Topics in the Ancient World,C C 304C,3,Lower Division
Classical Mythology and the Occult,C C 304D,3,Lower Division
Introduction to the New Testament,C C 304E,3,Lower Division
Introduction to Classical Literature,C C 304F,3,Lower Division
"Jews, Pagans, and Christians",C C 304G,3,Lower Division
Introduction to the Latin and Greek Element in English,C C 306,3,Lower Division
Introduction to Medical and Scientific Terminology,C C 306M,3,Lower Division
Introduction to Greek Archaeology,C C 307C,3,Lower Division
Introduction to Roman Archaeology,C C 307D,3,Lower Division
Greek Tragedy,C C 308D,3,Lower Division
The Rise of Christianity,C C 318,3,Lower Division
The Ancient Mediterranean World,C C 319D,3,Lower Division
Topics in Classical Civilization,"C C 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Classical Archaeology: Practice and Ethics,C C 320P,3,Upper Division
Ancient Epic,C C 322C,3,Upper Division
The Ancient Historians,C C 322D,3,Upper Division
Latin Scientific Terminology,C C 326M,3,Upper Division
Parageography,C C 327,3,Upper Division
Topics in Classical Civilization,C C 383,3,Graduate
Advanced Topics in Classical Archaeology,C C 340,3,Upper Division
Topics in Ancient Civilization,C C 348,3,Upper Division
"Hermits, Monks, and Saints in Early Christianity",C C 348C,3,Upper Division
Interpretation of Jesus' Death and Resurrection,C C 348D,3,Upper Division
Plato and His Philosophy,C C 348E,3,Upper Division
Beyond the New Testament,C C 348F,3,Upper Division
Death and the Afterlife in Graeco-Roman Antiquity,C C 348G,3,Upper Division
Revelation and Apocalyptic Literature,C C 348I,3,Upper Division
Paul and His Social World,C C 348J,3,Upper Division
Archaic Greece: Society and Culture,C C 348K,3,Upper Division
Horror in Classics and Film,C C 348L,3,Upper Division
Ritual and Belief in Ancient Greece,C C 348M,3,Upper Division
Myths and Legends of the Ancient Near East,C C 348N,3,Upper Division
Aristotle,C C 348O,3,Upper Division
Africa and Rome,C C 348P,3,Upper Division
Slavery and the New Testament,C C 348Q,3,Upper Division
Ancient Mediterranean Religion and Astrology,C C 348R,3,Upper Division
Archaeology of Jesus's World,C C 348T,3,Upper Division
Conference Course in Classical Civilization,C C 363,3,Upper Division
Quantitative Criticism,C C 370,3,Upper Division
Topics in Seminar in Classical Studies,C C 375,3,Upper Division
Honors Tutorial Course,C C 679H,6,Upper Division
Topics in Seminar in Classical Archaeology,C C 380,3,Graduate
Proseminar in Classical Literature,C C 380J,3,Graduate
Conference Course in Classical Civilization,C C 381,3,Graduate
Topics in Field Archaeology,C C 382,3,Graduate
Current Concepts and Research in Classics,C C 383K,3,Graduate
Conference Course in Classical Literature,"C C 186K, 386K","1, 3",Graduate
Writing in Research Contexts,C C 387,3,Graduate
Dissertation Prospectus Workshop,C C 397,3,Graduate
,,Total Hours: 159
DegreeView
