Coursename,Coursecode,Hours,Classification
Civil Engineering Systems,C E 301,3,Lower Division
Introduction to Computer Methods,C E 311K,3,Lower Division
Probability and Statistics for Civil Engineers,C E 311S,3,Lower Division
Elementary Mechanics of Fluids,C E 319F,3,Lower Division
Topics in Civil Engineering,"C E 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Transportation Systems,C E 321,3,Upper Division
Properties and Behavior of Engineering Materials,C E 324P,3,Upper Division
Structural Analysis,C E 329,3,Upper Division
Topics in Civil Engineering,"C E 177K, 277K, 377K","1, 2, 3",Upper Division
Reinforced Concrete Design,C E 331,3,Upper Division
Engineering Communication,C E 333T,3,Upper Division
Elements of Steel Design,C E 335,3,Upper Division
Introduction to Environmental Engineering,C E 341,3,Upper Division
Water and Wastewater Treatment Engineering,C E 342,3,Upper Division
Solid Waste Engineering and Management,C E 346,3,Upper Division
Concrete Materials,C E 351,3,Upper Division
Elements of Hydraulic Engineering,C E 356,3,Upper Division
Geotechnical Engineering,C E 357,3,Upper Division
Introductory Ocean Engineering,C E 358,3,Upper Division
Foundation Engineering,C E 360K,3,Upper Division
Advanced Reinforced Concrete Design,C E 362M,3,Upper Division
Advanced Steel Design,C E 362N,3,Upper Division
Advanced Structural Analysis,C E 363,3,Upper Division
Design of Wastewater and Water Treatment Facilities,C E 364,3,Upper Division
Design of Bituminous Mixtures,C E 366K,3,Upper Division
Design and Evaluation of Ground-Based Transportation Systems,C E 367G,3,Upper Division
Pavement Design and Performance,C E 367P,3,Upper Division
Optimization Techniques for Transportation Engineers,C E 367R,3,Upper Division
Traffic Engineering,C E 367T,3,Upper Division
Air Pollution Engineering,C E 369L,3,Upper Division
Indoor Air Quality,C E 369R,3,Upper Division
Environmental Sampling and Analysis,C E 370K,3,Upper Division
Climate Change Mitigation,C E 370L,3,Upper Division
Engineering Professionalism,C E 370P,3,Upper Division
Engineering Professionalism,C E 171P,1,Upper Division
Hydrology,C E 374K,3,Upper Division
Topics in Natural Water Systems Engineering,C E 374N,3,Upper Division
Topics in Urban Water Systems Engineering,C E 374U,3,Upper Division
Earth Slopes and Retaining Structures,C E 375,3,Upper Division
Internship,C E 177R,1,Upper Division
Undergraduate Honors Thesis,C E 679H,6,Upper Division
Experimental Methods in Fluid Dynamics,C E 380D,3,Graduate
Topics in Ocean Engineering Principles: Theory and Applications,C E 380P,3,Graduate
Environmental Fluid Mechanics,C E 380S,3,Graduate
Computational Environmental Fluid Mechanics,C E 380T,3,Graduate
Water Resources Engineering Research Seminar,C E 380W,3,Graduate
Linear Regression and Discrete Choice Methods,C E 381D,3,Graduate
Design of Energy Efficient and Healthy Buildings,C E 381E,3,Graduate
Computer Methods in Structural Analysis,C E 381P,3,Graduate
The Finite Element Method,C E 381R,3,Graduate
Numerical Modeling of Physical Systems,C E 381T,3,Graduate
Introduction to Wave Physics,C E 381W,3,Graduate
Structural Health Monitoring and Nondestructive Evaluation,C E 382H,3,Graduate
Plastic Design in Metals,C E 382L,3,Graduate
Structural Systems,C E 382N,3,Graduate
Experimental Methods in Structural Engineering,C E 383C,3,Graduate
Steel Bridge Design,C E 383D,3,Graduate
Structural Fire Engineering,C E 383F,3,Graduate
Advanced Reinforced Concrete Members,C E 383L,3,Graduate
Advanced Reinforced Concrete Structures,C E 383N,3,Graduate
Prestressed Concrete,C E 383P,3,Graduate
Repair and Strengthening of Reinforced Concrete Structures,C E 383R,3,Graduate
Structural Concrete Bridges,C E 383S,3,Graduate
Plasticity in Structural Concrete,C E 383T,3,Graduate
Dynamic Response of Structures,C E 384P,3,Graduate
Earthquake Engineering,C E 384R,3,Graduate
Structural Reliability,C E 384S,3,Graduate
Blast-Resistant Structural Design,C E 384T,3,Graduate
Water Resources Planning and Management,C E 385D,3,Graduate
Transboundary Water Resources,C E 385G,3,Graduate
Hazardous Waste Management,C E 385J,3,Graduate
Topics in Water Quality,C E 385K,3,Graduate
Topics in Water and Wastewater Treatment,C E 385L,3,Graduate
Unit Operations in Water and Wastewater Treatment,C E 385M,3,Graduate
Industrial Wastewater Treatment,C E 385N,3,Graduate
Land Treatment of Wastes,C E 385R,3,Graduate
Stochastic Hydrology,C E 385S,3,Graduate
Drinking Water: Treatment and Public Health Issues,C E 385W,3,Graduate
Water Treatment and Wastewater Treatment Plant Design,C E 386M,3,Graduate
Engineering Fracture Mechanics,C E 386P,3,Graduate
Inelastic Behavior of Materials,C E 386R,3,Graduate
Geoenvironmental Engineering,C E 387C,3,Graduate
Engineering Geology,C E 387G,3,Graduate
Topics in Soil Mechanics I,C E 387L,3,Graduate
Topics in Soil Mechanics II,C E 387M,3,Graduate
Topics in Soil Mechanics III,C E 387R,3,Graduate
"Decision, Risk, and Reliability",C E 387T,3,Graduate
Climate Change Mitigation,C E 388H,3,Graduate
Engineering and Management of Municipal and Industrial Residuals,C E 388N,3,Graduate
Novel Air Quality Measurement Techniques,C E 388R,3,Graduate
Advanced Technical Communication for Engineers,C E 389C,3,Graduate
Sustainable Building Design,C E 389D,3,Graduate
HVAC Design,C E 389H,3,Graduate
Smart Buildings and Cities,C E 389S,3,Graduate
Indoor Air Quality: Transport and Control,C E 389T,3,Graduate
Modeling of Air and Pollutant Flows in Buildings,C E 389V,3,Graduate
Engineering Microbiology,C E 390J,3,Graduate
Environmental Analysis,C E 390L,3,Graduate
Water Pollution Chemistry,C E 390N,3,Graduate
Environmental Organic Chemistry,C E 390P,3,Graduate
Chemical Dynamics in the Environment,C E 390Q,3,Graduate
Engineering Microbiology Applications,C E 390R,3,Graduate
Analysis and Design of Transportation Systems I,C E 391C,3,Graduate
Analysis and Design of Transportation Systems II,C E 391D,3,Graduate
Advances in Transportation Demand Analysis,C E 391E,3,Graduate
Advanced Theory of Traffic Flow,C E 391F,3,Graduate
Transportation Planning: Methodology and Techniques,C E 391J,3,Graduate
Advanced Traffic Engineering,C E 391L,3,Graduate
Advanced Geometric Design,C E 391M,3,Graduate
Engineering System Evaluation and Decision Making,C E 391N,3,Graduate
Topics in Highway and Airport Pavement Systems,C E 391P,3,Graduate
Bituminous Materials,C E 391Q,3,Graduate
Airport Design and Operation,C E 391R,3,Graduate
Topics in Contemporary Transportation Issues,C E 391T,3,Graduate
Transportation Systems Operations and Control,C E 391W,3,Graduate
Transportation Network Analysis,C E 392C,3,Graduate
Dynamic Traffic Assignment,C E 392D,3,Graduate
Acquisition and Analysis of Transportation Data,C E 392E,3,Graduate
Sensors and Signal Interpretation,C E 392F,3,Graduate
Regional Transportation Planning: Applications and Tools,C E 392H,3,Graduate
Experimental Measurements of Soil Properties,C E 392L,3,Graduate
Public Transportation Engineering,C E 392M,3,Graduate
Topics in Infrastructure Systems,C E 392N,3,Graduate
Sustainable Pavement Engineering,C E 392P,3,Graduate
Discrete Choice Theory and Modeling,C E 392R,3,Graduate
Intermodal Transportation Systems,C E 392S,3,Graduate
Transport Economics,C E 392T,3,Graduate
Transportation Systems Management,C E 392U,3,Graduate
Methods to Characterize Bituminous Materials,C E 392V,3,Graduate
Characterization of Viscoelastic Materials,C E 392W,3,Graduate
Advanced Concrete Materials,C E 393,3,Graduate
Experimental Methods in Cement Chemistry,C E 393C,3,Graduate
Concrete Durability,C E 393D,3,Graduate
Topics in Environmental Engineering Research Seminar,C E 393M,3,Graduate
Novel Structural Materials,C E 393N,3,Graduate
Structural Engineering Research Seminar,C E 393S,3,Graduate
Topics in Interaction of Soils and Structures,C E 394,3,Graduate
Topics in Engineering Hydrology,C E 394K,3,Graduate
Advanced Analyses in Geotechnical Engineering,C E 394M,3,Graduate
Topics in Project Automation,C E 395P,3,Graduate
Topics in Project Controls,C E 395Q,3,Graduate
Topics in Project Information Systems,C E 395R,3,Graduate
Topics in Project Organization,C E 395S,3,Graduate
Topics in Project Technology,C E 395T,3,Graduate
General Topics in Construction Engineering and Project Management,C E 395U,3,Graduate
Topics in Construction Engineering and Projects: Seminar/Conference,C E 395V,3,Graduate
Topics in Air Resources Engineering,C E 396L,3,Graduate
Advanced Topics in Atmospheric Science,C E 396M,3,Graduate
Special Topics in Civil Engineering,"C E 197, 297, 397","1, 2, 3",Graduate
Master's Research,"C E 197C, 297C, 397C, 697C","1, 2, 3, 6",Graduate
Dissertation Research,"C E 197D, 297D, 397D, 697D","1, 2, 3, 6",Graduate
Forensic Engineering: Materials and Structures,C E 397F,3,Graduate
Stability of Structures,C E 397K,3,Graduate
Advanced Structural Metals,C E 397L,3,Graduate
Nondestructive Testing Techniques,C E 397N,3,Graduate
Special Independent Studies in Civil Engineering,"C E 197Q, 297Q, 397Q, 697Q","1, 2, 3, 6",Graduate
Thesis,C E 698,6,Graduate
Departmental Report,C E 398D,3,Graduate
Master's Report,C E 398R,3,Graduate
Supervised Teaching in Civil Engineering,C E 398T,3,Graduate
Dissertation,"C E 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 485
DegreeView
