Coursename,Coursecode,Hours,Classification
Introduction to Comparative Literature,C L 301,3,Lower Division
Topics in Comparative Literature,C L 305,3,Lower Division
Dissent in Twentieth-Century Ukraine,C L 305C,3,Lower Division
Afro-Brazilian Diaspora,C L 305D,3,Lower Division
Gods and Goddesses of India,C L 305E,3,Lower Division
The Soviet Hero in Literature and Culture,C L 305S,3,Lower Division
World Literature,C L 315,3,Lower Division
Supervised Research,C L 318Q,3,Lower Division
Conference Course in Comparative Literature,C L 320,3,Upper Division
Topics in Comparative Literature,C L 382,3,Graduate
Soviet Romance in Film,C L 323C,3,Upper Division
Representing Disaster in Japan,C L 323D,3,Upper Division
The Environment and East Asia,C L 323E,3,Upper Division
Animals in Asia,C L 323F,3,Upper Division
History and Memory in Japan and Korea,C L 323G,3,Upper Division
Translating Asia,C L 323I,3,Upper Division
"Germanic Novels: History, Culture, and Interpretation",C L 323J,3,Upper Division
"Literature, Culture, and Ecology in Northern and Central Europe",C L 323K,3,Upper Division
Nordic Noir,C L 323L,3,Upper Division
Silent Film in Germany and Scandinavia,C L 323M,3,Upper Division
"Germanic and Scandinavian Modernisms, 1870-1925",C L 323N,3,Upper Division
The Bhagavad Gita: Interpretation and Ethics,C L 323O,3,Upper Division
Korean Cinema,C L 323P,3,Upper Division
Elena Ferrante: Politics and Passion,C L 323Q,3,Upper Division
Supervised Research,C L 358Q,3,Upper Division
Foundations of Literary Theory and Criticism,C L 380F,3,Graduate
Introduction to Comparative Literature,C L 180K,1,Graduate
Topics in Problems in Translation,C L 380M,3,Graduate
Literary and Cultural Theory since 1900,C L 380P,3,Graduate
Topics in The Comparative Study of Literary Periods and Movements,C L 381,3,Graduate
Topics in Literature in a Comparative Context,C L 386,3,Graduate
Conference Course in Comparative Literature,C L 391L,3,Graduate
Thesis,C L 698,6,Graduate
Master's Report,C L 398R,3,Graduate
Dissertation,"C L 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 106
DegreeView
