Coursename,Coursecode,Hours,Classification
Principles of Chemistry I,"CH 301, 401 (TCCN: CHEM 1309, CHEM 1311)","3, 4",Lower Division
Foundations of Chemistry I,"CH 301C, 401C","3, 4",Lower Division
Chemistry in Our World I,CH 301N,3,Lower Division
Principles of Chemistry II,"CH 302, 402 (TCCN: CHEM 1312)","3, 4",Lower Division
Foundations of Chemistry II,"CH 302C, 402C","3, 4",Lower Division
Chemistry in Our World II,CH 302N,3,Lower Division
Mathematical Introduction to Theories of Matter,CH 303,3,Lower Division
Introduction to Chemical Practice,CH 204,2,Lower Division
Introduction to Chemical Practice I,"CH 104M (TCCN: CHEM 1109, CHEM 1111)",1,Lower Division
Introduction to Chemical Practice II,CH 104N (TCCN: CHEM 1112),1,Lower Division
Undergraduate Research,CH 206K,2,Lower Division
Topics in Conference Course,"CH 107, 207","1, 2",Lower Division
Introduction to Science Outreach in Elementary Schools,CH 207K,2,Lower Division
Peer Teaching,CH 207L,2,Lower Division
Topics in Chemistry,"CH 108, 208, 308, 408","1, 2, 3, 4",Lower Division
Organic Chemistry Laboratory,CH 110K (TCCN: CHEM 2123),1,Lower Division
Organic Chemistry Laboratory,CH 128L,1,Upper Division
Descriptive Inorganic Chemistry,CH 317,3,Lower Division
Professional Development for Chemists,CH 119C,1,Lower Division
Topics in Chemistry,"CH 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Health Professions Organic Chemistry Laboratory,CH 120K,1,Upper Division
Organic Chemistry I,CH 320M (TCCN: CHEM 2323),3,Upper Division
Organic Chemistry II,CH 320N (TCCN: CHEM 2325),3,Upper Division
Structure and Reactivity of Organic Molecules I,CH 328C,3,Upper Division
Organic Chemistry I,CH 328M,3,Upper Division
Organic Chemistry II,CH 328N,3,Upper Division
Structure and Reactivity of Organic Molecules II,CH 329C,3,Upper Division
Cooperative Chemistry/Biochemistry,CH 329W,3,Upper Division
Inorganic Chemistry,CH 431,4,Upper Division
Special Topics in Laboratory Chemistry,CH 341,3,Upper Division
Chemical Education: Secondary School,CH 644,6,Upper Division
Chemical Education Laboratory I,CH 144K,1,Upper Division
Chemical Education Laboratory II,CH 144L,1,Upper Division
Chemical Data Analysis,CH 352D,3,Upper Division
Physical Chemistry I,CH 353,3,Upper Division
Physical Chemistry Laboratory,CH 153K,1,Upper Division
Physical Chemistry I for Life Sciences,CH 353M,3,Upper Division
Quantum Chemistry and Spectroscopy,CH 354,3,Upper Division
Statistical Mechanics,CH 354C,3,Upper Division
Physical Chemistry Laboratory,CH 154K,1,Upper Division
Physical Chemistry II,CH 354L,3,Upper Division
Introduction to Computational Methods in Chemistry,CH 354M,3,Upper Division
Elements of Spectroscopy,CH 354S,3,Upper Division
Fundamentals of Analytical Chemistry,CH 455,4,Upper Division
Analytical Chemistry,CH 456,4,Upper Division
Advanced Inorganic Chemistry: Organometallics & Catalysis,CH 366C,3,Upper Division
Bio-inorganic Chemistry and Spectroscopy,CH 366D,3,Upper Division
"Chemistry of the s-, p-, d-, and f-Block Elements",CH 366E,3,Upper Division
Materials Chemistry,CH 367C,3,Upper Division
Macromolecular Chemistry,CH 367L,3,Upper Division
Introduction to Polymer Science,CH 367P,3,Upper Division
Advanced Topics in Chemistry,CH 368,3,Upper Division
Peer Teaching,CH 368L,3,Upper Division
Advanced Topics in Chemistry,CH 397S,3,Graduate
Techniques of Research,CH 369K,3,Upper Division
Science Outreach in Elementary Schools,CH 371K,3,Upper Division
Chemistry Peer Mentors in Research and Teaching,CH 372C,3,Upper Division
Study and Research Abroad: Austin International Framework,CH 372S,3,Upper Division
Individual Study in Chemistry,"CH 375K, 475K","3, 4",Upper Division
Advanced Topics in Polymer Science,CH 375P,3,Upper Division
Advanced Analytical Chemistry,CH 376K,3,Upper Division
Capstone Research and Thesis,CH 378L,3,Upper Division
Chemistry Honors Tutorial Course,CH 379H,3,Upper Division
Inorganic Reactions and Structures,CH 380L,3,Graduate
Topics in Advanced Chemistry,CH 380M,3,Graduate
Advanced Inorganic Chemistry: Spectroscopy and Structure,CH 380N,3,Graduate
Dual MD/PhD Program with UT Medical Branch,CH 080R,0,Graduate
Current Concepts in Chemistry and Biochemistry: UTeach,CH 380T,3,Graduate
Advanced Analytical Chemistry,CH 381M,3,Graduate
Survey of Physical Chemistry,CH 382J,3,Graduate
Advanced Physical Chemistry: Introduction to Quantum Mechanics,CH 382K,3,Graduate
Advanced Physical Chemistry: Statistical Mechanics,CH 382L,3,Graduate
Advanced Physical Chemistry,CH 382M,3,Graduate
Advanced Study and Research: UTeach,"CH 182T, 282T, 382T, 682T","1, 2, 3, 6",Graduate
Advanced Organic Chemistry,CH 386J,3,Graduate
Advanced Organic Chemistry,CH 386K,3,Graduate
Biochemical Techniques,CH 387K,3,Graduate
Topics in Chemistry: Seminar,CH 190,1,Graduate
Advanced Topics in Inorganic Chemistry,CH 390K,3,Graduate
Advanced Topics in Analytical Chemistry,CH 390L,3,Graduate
Advanced Topics in Organic Chemistry,CH 391,3,Graduate
Introduction to Polymer Science,CH 391P,3,Graduate
Biomolecular Structure by Nuclear Magnetic Resonance Spectroscopy,CH 392H,3,Graduate
Molecular Biology of the Yeast Saccharomyces,CH 392J,3,Graduate
Physical Chemistry of Macromolecular Systems,CH 392N,3,Graduate
Biotransformations of Drugs and Other Nonnutritive Compounds,CH 392T,3,Graduate
Comparative Biochemistry,CH 392U,3,Graduate
Analytical Student Seminar,CH 192W,1,Graduate
Advanced Topics in Physical Chemistry,CH 393L,3,Graduate
Advanced Topics in Polymer Science,CH 393P,3,Graduate
Genetics,CH 395F,3,Graduate
Cell Biology,CH 395H,3,Graduate
Topics in Advanced Individual Study in Chemistry,"CH 395K, 695K","3, 6",Graduate
Problems in Chemistry,"CH 197C, 297C, 397C, 597C, 697C","1, 2, 3, 5, 6",Graduate
Problems in Chemistry,"CH 197P, 297P, 397P, 597P, 697P","1, 2, 3, 5, 6",Graduate
Thesis,CH 698,6,Graduate
Professional Development for Graduate Students in Chemistry,CH 398T,3,Graduate
Dissertation,"CH 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 272
