Coursename,Coursecode,Hours,Classification
Introduction to Chemical Engineering,CHE 102,1,Lower Division
Introduction to Undergraduate Research,CHE 103,1,Lower Division
Introduction to Computing,CHE 210,2,Lower Division
Engineering Sustainable Technologies,CHE 311,3,Lower Division
Introduction to Chemical Engineering Analysis,CHE 317,3,Lower Division
Peer Mentorship,CHE 018C,0,Lower Division
Transport Phenomena,CHE 319,3,Lower Division
Topics in Chemical Engineering,"CHE 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Thermodynamics,CHE 322,3,Upper Division
Molecular Thermodynamics,CHE 322M,3,Upper Division
Chemical Engineering for Micro- and Nanofabrication,CHE 323,3,Upper Division
Topics in Chemical Engineering,CHE 384T,3,Graduate
Engineering Communication,CHE 333T,3,Upper Division
Quantitative Analysis of Cellular and Molecular Biology,CHE 337,3,Upper Division
Biochemical Engineering,CHE 338,3,Upper Division
Introduction to Biochemical Engineering,CHE 339,3,Upper Division
Introduction to Biological Physics,CHE 339P,3,Upper Division
Cell and Tissue Engineering,CHE 339T,3,Upper Division
Design for Environment,CHE 341,3,Upper Division
Chemical Engineering Economics and Business Analysis,CHE 342,3,Upper Division
Molecular Simulation of Materials,CHE 343,3,Upper Division
Introduction to Therapeutics,CHE 344,3,Upper Division
Atmospheric Chemistry and Physics,CHE 346F,3,Upper Division
Numerical Methods in Chemical Engineering and Problem Solving,CHE 348,3,Upper Division
Dynamics in Ecology and the Environment,CHE 349D,3,Upper Division
Chemical Engineering Materials,CHE 350,3,Upper Division
Applied Statistics,CHE 253K,2,Upper Division
"Measurement, Control, and Data Analysis Laboratory",CHE 253M,2,Upper Division
Transport Processes,CHE 354,3,Upper Division
Introduction to Polymers,CHE 355,3,Upper Division
Optimization: Theory and Practice,CHE 356,3,Upper Division
Technology and Its Impact on the Environment,CHE 357,3,Upper Division
Energy Technology and Policy,CHE 359,3,Upper Division
Process Control,CHE 360,3,Upper Division
Separation Processes and Mass Transfer,CHE 363,3,Upper Division
Chemical Engineering Process and Projects Laboratory,CHE 264,2,Upper Division
Chemical Process Safety,CHE 364S,3,Upper Division
Chemical Reactor Analysis and Design,CHE 372,3,Upper Division
Process Design and Operations,CHE 473K,4,Upper Division
Process Evaluation and Quality Control,CHE 376K,3,Upper Division
Undergraduate Research Practicum,CHE 077C,0,Upper Division
Undergraduate Research Practicum,CHE 077D,0,Upper Division
Undergraduate Research Project,"CHE 177K, 277K, 377K","1, 2, 3",Upper Division
Undergraduate Research Project,"CHE 177L, 277L, 377L","1, 2, 3",Upper Division
Undergraduate Honors Thesis,CHE 679H,6,Upper Division
Undergraduate Research Internship,CHE 079I,0,Upper Division
Laboratory Safety,CHE 180C,1,Graduate
Research and Achievements Seminar,CHE 080D,0,Graduate
Fluid Flow and Heat Transfer,CHE 381N,3,Graduate
Advanced Analysis for Chemical Engineers,CHE 381P,3,Graduate
Quantitative Analysis of Cellular and Molecular Biology,CHE 381Q,3,Graduate
Electrochemistry and Electrochemical Engineering,CHE 384E,3,Graduate
Chemical Kinetics and Surface Chemistry,CHE 384K,3,Graduate
Current and Emerging Trends in Chemical Engineering Research,CHE 384S,3,Graduate
Research,"CHE 185, 285, 385, 685, 985","1, 2, 3, 6, 9",Graduate
Research,CHE 085C,0,Graduate
Surface Phenomena,CHE 385M,3,Graduate
Optimization: Theory and Practice,CHE 385P,3,Graduate
Theory of X-Ray Diffraction,CHE 386K,3,Graduate
Laboratory Experiments in X-Ray Diffraction,CHE 386L,3,Graduate
Advanced Thermodynamics,CHE 387K,3,Graduate
Mass Transfer,CHE 387M,3,Graduate
Separations Processes,CHE 388K,3,Graduate
Elements of Modern Control Theory,CHE 391,3,Graduate
Reaction Kinetics,CHE 391J,3,Graduate
Mathematical Modeling of Engineered Systems,CHE 391M,3,Graduate
Molecular Simulation of Materials,CHE 391S,3,Graduate
Polymer Science,CHE 392,3,Graduate
Introduction to Polymer Materials Science,CHE 392P,3,Graduate
Chemical Processes for Microelectronics,CHE 395C,3,Graduate
Polymer Science and Engineering Laboratory,CHE 395E,3,Graduate
Chemical Engineering Economics and Business Analysis,CHE 395G,3,Graduate
Product and Process Development,CHE 395J,3,Graduate
Design for Environment,CHE 395K,3,Graduate
Graduate Research Internship,CHE 397M,3,Graduate
Thesis,CHE 698,6,Graduate
Master's Report,CHE 398R,3,Graduate
Supervised Teaching in Chemical Engineering,CHE 398T,3,Graduate
Dissertation,"CHE 399W, 499W, 599W, 699W, 999W","3, 4, 5, 6, 9",Graduate
,,Total Hours: 216
DegreeView
