Coursename,Coursecode,Hours,Classification
Accelerated First-Year Chinese,CHI 604,6,Lower Division
First-Year Chinese I,"CHI 506, 606","5, 6",Lower Division
First-Year Chinese II,"CHI 507, 607","5, 6",Lower Division
Accelerated Second-Year Chinese,CHI 612,6,Lower Division
Second-Year Chinese I,"CHI 312K, 412K (TCCN: CHIN 2311)","3, 4",Lower Division
Second-Year Chinese II,"CHI 312L, 412L (TCCN: CHIN 2312)","3, 4",Lower Division
Topics in Chinese,"CHI 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Readings in Modern Chinese I,CHI 320K,3,Upper Division
Readings in Modern Chinese II,CHI 320L,3,Upper Division
Introduction to Classical Chinese,CHI 322,3,Upper Division
Advanced Conversation I,CHI 325K,3,Upper Division
Advanced Conversation II,CHI 325L,3,Upper Division
Business Chinese,CHI 326,3,Upper Division
Topics in Chinese,"CHI 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Topics in Advanced Chinese,CHI 330,3,Upper Division
Chinese across Disciplines,CHI 130D,1,Upper Division
Topics in Chinese Literature,CHI 340,3,Upper Division
Classical Chinese Poetry,CHI 341,3,Upper Division
Conference Course in Chinese Language and Literature,CHI 360,3,Upper Division
Conference Course in Chinese Language and Culture,CHI 381,3,Graduate
Topics in Chinese Language and Culture,CHI 384,3,Graduate
,,Total Hours: 67
DegreeView
