Coursename,Coursecode,Hours,Classification
Perennial Problems in Civic Thought,CIV 301,3,Lower Division
Being Human,CIV 301C,3,Lower Division
Pursuing Happiness,CIV 301D,3,Lower Division
American Political Economy,CIV 301F,3,Lower Division
Truth and Persuasion,CIV 302,3,Lower Division
Classics of Social and Political Thought,CIV 302C,3,Lower Division
Introduction to American Civics,CIV 303,3,Lower Division
Origins of American Institutions,CIV 303J,3,Lower Division
Democracy and Capitalism,CIV 303K,3,Lower Division
Foundations of Research Methods for Civics,CIV 304,3,Lower Division
Excellence of Character: The Virtues,CIV 305,3,Lower Division
Topics in Civics,"CIV 109, 209, 309","1, 2, 3",Lower Division
Ethics and Leadership in Ancient Greek Drama,CIV 310K,3,Lower Division
Ethics and Leadership in Shakespeare's Drama,CIV 310L,3,Lower Division
Constitutional Principles: Core Texts,CIV 312P,3,Lower Division
Civic Leadership: Global Perspectives,CIV 313,3,Lower Division
Topics in Civics,"CIV 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Constitutionalism: Ancient and Modern,CIV 320,3,Upper Division
Topics in Constitutional History and Principles Research,CIV 121,1,Upper Division
Economics and Constitutionalism,CIV 321J,3,Upper Division
Topics in Western Civilization Research,CIV 122,1,Upper Division
The Quest for Community,CIV 322J,3,Upper Division
Politics and the Transcendent,CIV 322K,3,Upper Division
Topics in Ethics and Leadership Research,CIV 123,1,Upper Division
Ethical Analysis for Civic Leaders,CIV 323J,3,Upper Division
"Topics in Rights, Freedoms, and the Rule of Law Research",CIV 124,1,Upper Division
Topics in Civic Thought and Culture Research,CIV 125,1,Upper Division
Economic Analysis for Civic Leaders,CIV 325K,3,Upper Division
Topics in Strategy and Statecraft Research,CIV 126,1,Upper Division
Policy Research Lab,CIV 337,3,Upper Division
Advanced Topics in Constitutional History and Principles,CIV 360,3,Upper Division
Advanced Topics in Western Civilization,CIV 361,3,Upper Division
Advanced Topics in Ethics and Leadership,CIV 362,3,Upper Division
"Advanced Topics in Rights, Freedoms, and the Rule of Law",CIV 363,3,Upper Division
Advanced Topics in Civic Thought and Culture,CIV 364,3,Upper Division
Advanced Topics in Strategy and Statecraft,CIV 365,3,Upper Division
Advanced Topics in Civics,"CIV 166, 266, 366","1, 2, 3",Upper Division
Advanced Topics in Readings in Civic Thought,CIV 367,3,Upper Division
Topics in Independent Research in Constitutionalism,CIV 372,3,Upper Division
Topics in Independent Research in Western Civilization,CIV 373,3,Upper Division
Topics in Independent Research in Civic Leadership,CIV 374,3,Upper Division
Internship,CIV 375,3,Upper Division
Internship: Career Planning,CIV 175J,1,Upper Division
Internship: Leadership Development,CIV 175K,1,Upper Division
Internship: Reflection and Analysis,CIV 175L,1,Upper Division
Internship in Civic Leadership,CIV 379,3,Upper Division
Leadership Development,CIV 179C,1,Upper Division
Career Planning and Preparation,CIV 179D,1,Upper Division
Thesis I,CIV 379J,3,Upper Division
Thesis II,CIV 379K,3,Upper Division
,,Total Hours: 128
DegreeView
