Coursename,Coursecode,Hours,Classification
Introduction to Communication and Leadership,CLD 301,3,Lower Division
Topics in Communication and Leadership,"CLD 102, 202, 302","1, 2, 3",Lower Division
Introduction to Philanthropy,CLD 304,3,Lower Division
Fundamentals of Philanthropy,CLD 314,3,Lower Division
Topics in Communication and Leadership,"CLD 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Seminar on Communication and Leadership,CLD 321,3,Upper Division
Independent Study,"CLD 122, 222, 322","1, 2, 3",Upper Division
Communication and Leadership in Higher Education,CLD 324,3,Upper Division
Philanthropy Capstone,CLD 330,3,Upper Division
Facilitative Leadership,CLD 332,3,Upper Division
Communication for Civic Engagement,CLD 340,3,Upper Division
Topics in Fundamentals and Skills,"CLD 145, 245, 345","1, 2, 3",Upper Division
Internship in Communication and Leadership,"CLD 351, 651","3, 6",Upper Division
Communication for Executive Leadership,CLD 360,3,Upper Division
Topics in Social Issues,"CLD 165, 265, 365","1, 2, 3",Upper Division
Capstone Course in Communication and Leadership,CLD 371,3,Upper Division
Undergraduate Thesis,CLD 679,6,Upper Division
,,Total Hours: 54
DegreeView
