Coursename,Coursecode,Hours,Classification
Topics in Communication Studies,CMS 301,3,Lower Division
Professional Communication Skills,CMS 306M (TCCN: SPCH 1321),3,Lower Division
Internship,CMS 307K,3,Lower Division
Forensics Workshop,CMS 210,2,Lower Division
Team-Based Communication,CMS 310K (TCCN: SPCH 2333),3,Lower Division
Organizational Communication,CMS 313M,3,Lower Division
"Language, Communication, and Culture",CMS 314L,3,Lower Division
Interpersonal Communication Theory,CMS 315M (TCCN: SPCH 1318),3,Lower Division
Interviewing Principles and Practices,CMS 316L,3,Lower Division
Speech in American Culture,CMS 317C,3,Lower Division
Strategic and Risk Communication,CMS 318L,3,Lower Division
Topics in Communication Studies,CMS 367,3,Upper Division
Advanced Presentation Skills,CMS 320,3,Upper Division
Communicating for Development and Philanthropy,CMS 321D,3,Upper Division
Communication Ethics,CMS 322E,3,Upper Division
Rhetoric: East and West,CMS 323R,3,Upper Division
Urban Communication,CMS 327,3,Upper Division
Interpersonal Health Communication,CMS 330,3,Upper Division
Health Decision Making,CMS 330D,3,Upper Division
Communicating with Patients,CMS 330P,3,Upper Division
Speech Writing and Criticism,CMS 331K,3,Upper Division
Argumentation and Advocacy,CMS 332,3,Upper Division
Digital Ethics,CMS 332D,3,Upper Division
Theories of Persuasion,CMS 332K,3,Upper Division
Case Studies in Argumentation,CMS 333,3,Upper Division
Fake News,CMS 334F,3,Upper Division
Nonverbal Communication,CMS 334K,3,Upper Division
Strategic Sales and Event Planning,CMS 335,3,Upper Division
Building Sales Relationships,CMS 337,3,Upper Division
Selling in Healthcare Industries,CMS 137C,1,Upper Division
Leadership Stories,CMS 338,3,Upper Division
Leadership and Public Memory,CMS 338L,3,Upper Division
Working Virtually,CMS 339K,3,Upper Division
Social Interaction in Virtual Environments,CMS 339L,3,Upper Division
Expertise and Power in the Digital Commons,CMS 340D,3,Upper Division
Communication and Social Change,CMS 340K,3,Upper Division
Social Media and Social Movement: Then and Now,CMS 340M,3,Upper Division
Digital Communications,CMS 341,3,Upper Division
Communication and Civic Participation,CMS 342C,3,Upper Division
Political Communication,CMS 342K,3,Upper Division
Lying and Deception,CMS 344K,3,Upper Division
Media Effects and Politics,CMS 345,3,Upper Division
Communicating to Government,CMS 345G,3,Upper Division
Perspectives on Rhetoric,CMS 345K,3,Upper Division
Political Narratives,CMS 345N,3,Upper Division
Communication and Public Opinion,CMS 345P,3,Upper Division
American Voices,CMS 345V,3,Upper Division
Using Communication Technology at Work,CMS 346,3,Upper Division
The Cutural Impact of Innovation,CMS 346C,3,Upper Division
Arguing the End of the World,CMS 347E,3,Upper Division
Rhetoric of Popular Culture,CMS 347K,3,Upper Division
Communicating with Stuff,CMS 347S,3,Upper Division
Communication Research Methods,CMS 348,3,Upper Division
Visual Media and Interaction,CMS 348K,3,Upper Division
Advanced Analysis of Popular Culture,CMS 349M,3,Upper Division
"Crowds, Clouds, and Community",CMS 350C,3,Upper Division
Field Study in Organizational Communication,CMS 350M,3,Upper Division
Communication for Cooperation and Competition,CMS 351,3,Upper Division
Organizational Leadership,CMS 352,3,Upper Division
