Coursename,Coursecode,Hours,Classification
Introduction to Computer Programming,COE 301,3,Lower Division
Engineering Computation,COE 311K,3,Lower Division
Topics in Computational Engineering,"COE 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Computational Methods for Structural Analysis,COE 321K,3,Upper Division
Scientific Computation,COE 322,3,Upper Division
Topics in Computational Engineering,"COE 179L, 279L, 379L, 479L","1, 2, 3, 4",Upper Division
Software Engineering and Design,COE 332,3,Upper Division
Introduction to Computational Fluid Dynamics,COE 347,3,Upper Division
Topics in Advanced Scientific Computation,COE 352,3,Upper Division
Engineering Probability and Statistics,COE 362,3,Upper Division
Applied Mathematics I,COE 371,3,Upper Division
Applied Mathematics II,COE 372,3,Upper Division
Senior Design Project,COE 374,3,Upper Division
Computational Systems Senior Design I,COE 374D,3,Upper Division
Computational Systems Senior Design II,COE 374E,3,Upper Division
Undergraduate Honors Thesis,COE 679H,6,Upper Division
Research in Computational Engineering,"COE 179K, 279K, 379K","1, 2, 3",Upper Division
,,Total Hours: 54
DegreeView
