Coursename,Coursecode,Hours,Classification
Freshman Seminar,COM 301C,3,Lower Division
Introduction to Communication Foundations,COM 301E,3,Lower Division
Introduction to Communication and Leadership,COM 301L,3,Lower Division
Introduction to Health Communication,COM 102,1,Lower Division
Connecting Internship Experience,"COM 102D, 202D, 302D","1, 2, 3",Lower Division
Interdisciplinary Communication Foundations,COM 302E,3,Lower Division
Introduction to Contemporary Media Literacy,COM 303,3,Lower Division
Global Communication,COM 304,3,Lower Division
Beyond the Bridge,COM 105,1,Lower Division
Introduction to Communication Research Methods,COM 306,3,Lower Division
Overview of Social Justice and Media,COM 307,3,Lower Division
Life of the Mind: Honors,COM 307H,3,Lower Division
Creative Communication of Scientific Research,COM 308,3,Lower Division
Life of Community: Honors,COM 308H,3,Lower Division
Topics in Texas Sports and Media,COM 310,3,Lower Division
Honors Pathway,COM 010H,0,Lower Division
First-year Seminar,COM 012,0,Lower Division
Success Scholars Seminar,COM 013,0,Lower Division
Special Topics in Communication,"COM 114, 214, 314","1, 2, 3",Lower Division
Topics in Leadership and Communication,"COM 115, 215, 315","1, 2, 3",Lower Division
Photographic Communication,COM 316 (TCCN: COMM 1316),3,Lower Division
Special Topics in Communication,"COM 136, 236, 336","1, 2, 3",Upper Division
Topics in Forum Seminar Series,"COM 118C, 218C, 318C","1, 2, 3",Lower Division
Topics in International Learning Seminars,"COM 119, 219, 319","1, 2, 3",Lower Division
Topics in Communication,"COM 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Advanced Topics in Texas Sports and Media,COM 320,3,Upper Division
Seminar on Communication and Leadership,COM 320L,3,Upper Division
Communicating Social Justice Capstone,COM 321,3,Upper Division
Topics in Communication Internship,COM 323,3,Upper Division
Topics and Skills in Communication,COM 324,3,Upper Division
Fundamentals of Business Communication,COM 324C,3,Upper Division
Introduction to Business Communication: Honors,COM 324H,3,Upper Division
Introduction to Business Communication,COM 324M,3,Upper Division
Topics in Leadership and Communication,"COM 125, 225, 325","1, 2, 3",Upper Division
Topics in Sports Media,COM 325S,3,Upper Division
Independent Study,"COM 126, 226, 326","1, 2, 3",Upper Division
Independent Study in Social Justice,"COM 127, 227, 327","1, 2, 3",Upper Division
Topics in International Learning Seminars,"COM 129, 229, 329, 429, 529, 629","1, 2, 3, 4, 5, 6",Upper Division
Topics in Communication,"COM 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Research in Texas Sports and Media,COM 330,3,Upper Division
Honors Capstone,COM 330H,3,Upper Division
Communication and Engineering Careers,COM 333T,3,Upper Division
Leadership and Urban Engagement,COM 340,3,Upper Division
Honors Reflection,COM 040H,0,Upper Division
Communication Internship,"COM 350, 650","3, 6",Upper Division
Semester in Los Angeles Internship,"COM 350L, 650L","3, 6",Upper Division
Internship in Communication and Leadership,COM 351L,3,Upper Division
Independent Study: Honors,"COM 160H, 260H, 360H","1, 2, 3",Upper Division
Advanced Communication Research Design,COM 361,3,Upper Division
Advanced Topics in Communication,COM 370,3,Upper Division
Topics in Advanced Communication Studies: Honors,COM 370H,3,Upper Division
Capstone Course in Communication and Leadership,COM 370L,3,Upper Division
Advanced Communication Internship,COM 179,1,Upper Division
Undergraduate Thesis,COM 679C,6,Upper Division
Honors Thesis,COM 679H,6,Upper Division
Topics in Seminar in Communication,"COM 281, 381","2, 3",Graduate
Topics and Skills in Communication,COM 385,3,Graduate
Science Communications Seminar,COM 088C,0,Graduate
Science Communications Practicum,COM 088D,0,Graduate
Supervised Teaching in Communication,COM 398T,3,Graduate
,,Total Hours: 162
DegreeView
