Coursename,Coursecode,Hours,Classification
Topics in Community and Regional Planning,"CRP 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Community and Regional Planning,"CRP 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Principles of Physical Planning,CRP 369K,3,Upper Division
Topics in Foundations of Planning,CRP 380F,3,Graduate
Topics in Disaster Recovery,"CRP 180W, 380W","1, 3",Graduate
Topics in Foundational Methods in Planning,CRP 381M,3,Graduate
Quantitative Methods,CRP 381Q,3,Graduate
Topics in Physical Planning and Design,CRP 382C,3,Graduate
Topics in Environment and Natural Resources,CRP 383,3,Graduate
Topics in Transportation,CRP 384,3,Graduate
Topics in Economic and Community Development,CRP 385C,3,Graduate
Planning Studio,CRP 685D,6,Graduate
Topics in Applied Planning Techniques,CRP 386,3,Graduate
Introduction to Visual Communications and Geographic Information Systems for Planners,CRP 386K,3,Graduate
Topics in Infrastructure Planning,CRP 387C,3,Graduate
Topics in Housing,CRP 388,3,Graduate
Topics in Land Use and Land Development,CRP 389C,3,Graduate
Topics in Conference Course in Community and Regional Planning,CRP 390,3,Graduate
Topics in Doctoral Seminar,CRP 391D,3,Graduate
Topics in Historic Preservation,CRP 392C,3,Graduate
Planning Studio,CRP 395D,3,Graduate
Independent Research in Community and Regional Planning,"CRP 196, 396","1, 3",Graduate
Planning Internship,"CRP 197, 297, 397","1, 2, 3",Graduate
Thesis,CRP 698,6,Graduate
Master's Professional Report,CRP 398R,3,Graduate
Dissertation,"CRP 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 84
DegreeView
