Coursename,Coursecode,Hours,Classification
Playwriting I,CRW 315D,3,Lower Division
Introducton to Writing Fiction,CRW 315F,3,Lower Division
Introduction to Writing Poetry,CRW 315P,3,Lower Division
Topics in Creative Writing,"CRW 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Creative Writing,"CRW 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Writing Climate Fiction,CRW 325C,3,Upper Division
Personal Essay,CRW 325E,3,Upper Division
Fiction Writing,CRW 325F,3,Upper Division
Green Poetry,CRW 325G,3,Upper Division
Creative Writing,CRW 325M,3,Upper Division
Poetry Writing,CRW 325P,3,Upper Division
Screenwriting,CRW 325S,3,Upper Division
Writing for Black Performance,CRW 325T,3,Upper Division
Literature for Writers,CRW 330,3,Upper Division
Business of Writing,CRW 335,3,Upper Division
Playwriting II,CRW 340D,3,Upper Division
Short Story Workshop,CRW 340F,3,Upper Division
Poetry Workshop,CRW 340P,3,Upper Division
Playwriting III,CRW 355D,3,Upper Division
Advanced Fiction Workshop,CRW 355F,3,Upper Division
Advanced Poetry Workshop,CRW 355P,3,Upper Division
Intensive Creative Writing,CRW 660,6,Upper Division
Honors Creative Writing Project,CRW 370H,3,Upper Division
Conference Course in Creative Writing,CRW 375,3,Upper Division
,,Total Hours: 75
DegreeView
