Coursename,Coursecode,Hours,Classification
Introduction to Ancient Greece,CTI 301G,3,Lower Division
Classics of Social and Political Thought,CTI 302,3,Lower Division
Competing Visions of the Good Life,CTI 303,3,Lower Division
Topics in World Religions: Traditions and Texts,CTI 304,3,Lower Division
Introduction to the Old Testament,CTI 305G,3,Lower Division
Introduction to the New Testament,CTI 305N,3,Lower Division
History of the Religions of Asia,CTI 306D,3,Lower Division
Western Civilization in Medieval Times,CTI 307E,3,Lower Division
Western Civilization in Modern Times,CTI 307M,3,Lower Division
Topics in Core Texts and Ideas,CTI 310,3,Lower Division
Topics in Core Texts and Ideas,CTI 375,3,Upper Division
The Classical Quest for Justice,CTI 320,3,Upper Division
The Theoretical Foundations of Modern Politics,CTI 321,3,Upper Division
Spinoza and Modernity,CTI 321F,3,Upper Division
Critics of Modern Liberalism,CTI 322,3,Upper Division
Might and Right among Nations,CTI 323,3,Upper Division
Politics and Literature,CTI 324,3,Upper Division
Morality and Politics,CTI 325,3,Upper Division
Citizenship and Patriotism,CTI 325C,3,Upper Division
Chinese Ethics and Political Philosophy,CTI 325D,3,Upper Division
Liberty and Empire: Machiavelli,CTI 325M,3,Upper Division
"Thomas Paine, Liberalism, and the Enlightenment",CTI 325P,3,Upper Division
Constitutional Interpretation,CTI 326C,3,Upper Division
African American Social and Political Thought,CTI 326J,3,Upper Division
Civil Liberties,CTI 326L,3,Upper Division
Regime Perspectives on American Politics,CTI 326R,3,Upper Division
Structure of Individual Liberties,CTI 326S,3,Upper Division
The Tragicomedy of American Democracy,CTI 326T,3,Upper Division
Archaic Greece: Society and Culture,CTI 327C,3,Upper Division
The History of Rome: The Republic,CTI 327D,3,Upper Division
Roots of Democracy,CTI 327E,3,Upper Division
Death and the Afterlife in Graeco-Roman Antiquity,CTI 328D,3,Upper Division
The Ancient Historians,CTI 329,3,Upper Division
Jerusalem and Athens,CTI 330J,3,Upper Division
Machiavelli: Politics and Culture,CTI 330M,3,Upper Division
The Political Thought of the Reformation,CTI 330R,3,Upper Division
Origins of Liberalism,CTI 331,3,Upper Division
The Sacred and the Secular in Modern European Thought,CTI 332,3,Upper Division
Rousseau and His Legacy,CTI 333,3,Upper Division
History of Christian Philosophy,CTI 335C,3,Upper Division
Hegel and the Formation of Modern European Identity,CTI 335E,3,Upper Division
Marx and Marxist Theory,CTI 335M,3,Upper Division
Women in the History of Political Thought,CTI 335W,3,Upper Division
The Question of Relativism,CTI 338,3,Upper Division
The Pursuit of Happiness,CTI 339,3,Upper Division
The Meaning of Life,CTI 339M,3,Upper Division
Ancient Epic,CTI 340,3,Upper Division
Moral Agency In Greek Tragedy,CTI 341,3,Upper Division
Satan and the Idea of Evil,CTI 342,3,Upper Division
Love in the East and West,CTI 343,3,Upper Division
Epics and Heroes of India,CTI 344,3,Upper Division
Dante,CTI 344D,3,Upper Division
War and Epic Literature,CTI 344E,3,Upper Division
Italian Masterpieces,CTI 344M,3,Upper Division
Leadership: King Arthur to Queen Elizabeth,CTI 345L,3,Upper Division
The Major Works of Dostoevsky,CTI 346,3,Upper Division
The Russian Novel,CTI 347,3,Upper Division
War and Revolution in Russian Literature and Culture,CTI 348,3,Upper Division
Masterworks of World Drama,CTI 350,3,Upper Division
The Idea of the Beautiful,CTI 351,3,Upper Division
Early Italian Renaissance Art to 1470,CTI 352D,3,Upper Division
Abraham and Abrahamic Religions,CTI 354,3,Upper Division
The Five Books of Moses,CTI 354F,3,Upper Division
The Book of Job,CTI 354J,3,Upper Division
Law and Justice in the Bible,CTI 354L,3,Upper Division
Biblical Prophecy,CTI 354P,3,Upper Division
The Bible in the Colonial Americas,CTI 355,3,Upper Division
"Law, Liberty, and Faith",CTI 355C,3,Upper Division
The Age of Reformation,CTI 355R,3,Upper Division
Origin of the Idea of Religious Liberty,CTI 355S,3,Upper Division
Debating the Bible in the Twenty-First Century,CTI 355T,3,Upper Division
Islamic Theology,CTI 357,3,Upper Division
The French Revolution and Napoleon,CTI 363,3,Upper Division
Classics of Social Scientific Thought,CTI 365,3,Upper Division
Einstein in the Age of Conflict,CTI 371,3,Upper Division
Darwin on Origin of Species,CTI 371D,3,Upper Division
History of Mathematics,CTI 371M,3,Upper Division
Newton's Principia,CTI 371N,3,Upper Division
Science and Religion to Newton,CTI 371S,3,Upper Division
Science and Religion from Newton to the Present,CTI 371T,3,Upper Division
Darwin and the Politics of Evolution,CTI 372,3,Upper Division
Great Works In Medicine,CTI 373,3,Upper Division
"Biology, Behavior, and Injustice",CTI 374,3,Upper Division
Conference Course,CTI 379,3,Upper Division
,,Total Hours: 252
DegreeView
