Coursename,Coursecode,Hours,Classification
Intensive Czech I,CZ 601C,6,Lower Division
First-Year Czech I,"CZ 406, 506","4, 5",Lower Division
First-Year Czech II,"CZ 407, 507","4, 5",Lower Division
Intensive Czech II,CZ 611C,6,Lower Division
Second-Year Czech I,"CZ 312K, 412K","3, 4",Lower Division
Second-Year Czech II,"CZ 312L, 412L","3, 4",Lower Division
Topics in Czech,"CZ 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Third-Year Czech I,CZ 325,3,Upper Division
Third-Year Czech II,CZ 326,3,Upper Division
Topics in Advanced Czech,CZ 328,3,Upper Division
Topics in Czech,"CZ 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Conference Course in Czech Language or Literature,CZ 379,3,Upper Division
Honors Tutorial Course,CZ 679H,6,Upper Division
Topics in Czech Language,CZ 392,3,Graduate
Conference Course,CZ 395,3,Graduate
,,Total Hours: 54
DegreeView
