Coursename,Coursecode,Hours,Classification
Accelerated First-Year Danish,DAN 604,6,Lower Division
Accelerated Second-Year Danish,DAN 612,6,Lower Division
Topics in Danish,"DAN 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Advanced Danish I,DAN 327,3,Upper Division
Advanced Danish II,DAN 328,3,Upper Division
Topics in Danish,"DAN 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Danish across Disciplines,DAN 130D,1,Upper Division
Conference Course in Danish Language or Literature,DAN 379,3,Upper Division
,,Total Hours: 28
DegreeView
