Coursename,Coursecode,Hours,Classification
Accelerated First-Year Dutch,DCH 604,6,Lower Division
Accelerated Second-Year Dutch,DCH 612,6,Lower Division
Topics in Dutch,"DCH 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Advanced Dutch I,DCH 327,3,Upper Division
Advanced Dutch II,DCH 328,3,Upper Division
Topics in Dutch,"DCH 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Dutch across Disciplines,DCH 130D,1,Upper Division
Studies in Dutch Literature,DCH 375,3,Upper Division
Conference Course in Dutch Language or Literature,DCH 379,3,Upper Division
,,Total Hours: 31
DegreeView
