Coursename,Coursecode,Hours,Classification
Introduction to Design Thinking,DES 301,3,Lower Division
Topics in Technologies in Design Practice,DES 102,1,Lower Division
Introduction to 2D Design,DES 102C,1,Lower Division
Introduction to 3D Design,DES 102D,1,Lower Division
Introduction to Interaction Design,DES 102E,1,Lower Division
Introduction to Graphic Design,DES 303,3,Lower Division
Design Studio I,DES 304,3,Lower Division
Design Studio II,DES 305,3,Lower Division
Design Studio III,DES 306,3,Lower Division
Design and Culture,DES 307,3,Lower Division
Introduction to Design Theory and Criticism,DES 308,3,Lower Division
Introduction to Design,DES 309,3,Lower Division
Introduction to Design Research,DES 110C,1,Lower Division
Topics in Innovative Design,"DES 110T, 310T","1, 3",Lower Division
Portfolio Critique,DES 111C,1,Lower Division
Design Technologies I,DES 311J,3,Lower Division
Design Technologies II,DES 311K,3,Lower Division
Visual Syntax in Communication,DES 312,3,Lower Division
Typography in Communication,DES 312G,3,Lower Division
Introduction to Design History,"DES 113, 313","1, 3",Lower Division
Introduction to Industrial Design,DES 314,3,Lower Division
Sketching,DES 115C,1,Lower Division
Topics in Design,"DES 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Design Theories and Methods,DES 320,3,Upper Division
Images in Communication,DES 321,3,Upper Division
Portfolio Critique,DES 121C,1,Upper Division
Design and the Social Environment,DES 322,3,Upper Division
Color in Theory and Practice,DES 323,3,Upper Division
Design Research and Methods,DES 324,3,Upper Division
Typography I,DES 325,3,Upper Division
Objects and Spaces,DES 326,3,Upper Division
Prototyping Physical Space,DES 327,3,Upper Division
Print and Packaging,DES 328,3,Upper Division
Topics in Design,"DES 138, 338","1, 3",Upper Division
Topics in Innovative Design,"DES 130T, 330T","1, 3",Upper Division
Portfolio and Performance Review,DES 131,1,Upper Division
Introduction to Interaction Design,DES 334,3,Upper Division
Interaction Design I,DES 334C,3,Upper Division
Typography II,DES 335,3,Upper Division
History of Design,DES 336,3,Upper Division
Topics in Design History,DES 337,3,Upper Division
Topics In Design Theory,DES 339T,3,Upper Division
Design Systems,DES 340,3,Upper Division
Identity Systems,DES 340C,3,Upper Division
Brand Storytelling,DES 340D,3,Upper Division
Branding and Visual Identity Systems,DES 340G,3,Upper Division
Advanced Issues in Visual Syntax,DES 341,3,Upper Division
Typography III,DES 341G,3,Upper Division
Design and Persuasion,DES 342,3,Upper Division
Information and Persuasion,DES 342G,3,Upper Division
Design Research and Methods II,DES 343,3,Upper Division
Objects and Spaces II,DES 344,3,Upper Division
Design Writing,DES 345,3,Upper Division
Project Studio,DES 346,3,Upper Division
Publication Studio,DES 347,3,Upper Division
Information Visualization,DES 348,3,Upper Division
Interaction Design II,DES 349,3,Upper Division
Special Topics in Design,DES 350,3,Upper Division
Design Perspectives,DES 351,3,Upper Division
Service and Systems Design,DES 352,3,Upper Division
Advanced Topics in Interaction Design,DES 353,3,Upper Division
Design Issues,DES 354,3,Upper Division
Interaction Design III,DES 355,3,Upper Division
Topics in Graphic Design,DES 356,3,Upper Division
Interaction Design III: Experiential and Spaces,DES 357C,3,Upper Division
Interaction Design IV: Objects and Media,DES 357D,3,Upper Division
Industrial Design I,DES 358C,3,Upper Division
Industrial Design II,DES 358D,3,Upper Division
Industrial Design III,DES 358E,3,Upper Division
Advanced Topics in Industrial Design,DES 358G,3,Upper Division
Professional Practices in Design,DES 359,3,Upper Division
Design Internship,"DES 260, 360","2, 3",Upper Division
Internship in Design,"DES 160I, 260I, 360I","1, 2, 3",Upper Division
Senior Project in Design,DES 370,3,Upper Division
Individual Projects in Design,DES 370C,3,Upper Division
Design Practicum Internship,DES 371,3,Upper Division
Capstone Design Project,DES 374,3,Upper Division
Senior Portfolio,DES 374P,3,Upper Division
Capstone Design Exhibition,DES 375,3,Upper Division
Senior Showcase,DES 375S,3,Upper Division
Independent Study: Design,DES 376,3,Upper Division
Topics in Core Course in Design,DES 380,3,Graduate
Core Laboratory 1,DES 381,3,Graduate
Critique Studio,"DES 182, 382, 482, 582, 682","1, 3, 4, 5, 6",Graduate
Graduate Projects,DES 383,3,Graduate
Design Documentation and Storytelling,"DES 184, 384, 684","1, 3, 6",Graduate
Design Criticism,DES 384C,3,Graduate
Design Perspectives,"DES 184D, 284D, 384D","1, 2, 3",Graduate
The Art of Critique,"DES 184E, 384E","1, 3",Graduate
Materials Exploration,"DES 184F, 384F","1, 3",Graduate
User Research,"DES 184G, 384G","1, 3",Graduate
Design Theory and Method,DES 384H,3,Graduate
Design in Context,DES 384J,3,Graduate
Introduction to Campus Resources for Designers,DES 184K,1,Graduate
Studio I,"DES 385C, 685C","3, 6",Graduate
Studio II,"DES 385D, 685D","3, 6",Graduate
Studio III,"DES 385E, 685E","3, 6",Graduate
Studio IV,"DES 385F, 685F","3, 6",Graduate
Foundation Studio I,"DES 385G, 685G","3, 6",Graduate
Foundation Studio II,"DES 385H, 685H","3, 6",Graduate
Foundation Studio III,"DES 385J, 685J","3, 6",Graduate
Topics in Visual Design Studio,"DES 385K, 685K","3, 6",Graduate
Topics in Interaction Design Studio,"DES 185L, 385L, 685L","1, 3, 6",Graduate
Topics in Industrial Design Studio,"DES 185M, 385M, 685M","1, 3, 6",Graduate
Topics in Service Design Studio,"DES 385N, 685N","3, 6",Graduate
Topics in Design Studio,"DES 385T, 685T","3, 6",Graduate
Topics in Visiting Designer Studio,"DES 385V, 685V","3, 6",Graduate
Design History,DES 386,3,Graduate
Graduate Internship in Design,"DES 387, 487, 587, 687","3, 4, 5, 6",Graduate
Internship in Healthcare Design,"DES 387H, 487H, 587H, 687H","3, 4, 5, 6",Graduate
Introduction to Design Thinking,DES 388,3,Graduate
Topics in Design Seminar,DES 388C,3,Graduate
Topics in Service Design Seminar,DES 388D,3,Graduate
Topics in Industrial Design Seminar,DES 388E,3,Graduate
Topics in Interaction Design Seminar,DES 388F,3,Graduate
Topics in Visual Design Seminar,DES 388G,3,Graduate
Topics in Advanced Design Skills,"DES 190, 290, 390, 490, 590, 690","1, 2, 3, 4, 5, 6",Graduate
Core Laboratory 2,DES 391,3,Graduate
Professional Communication of Research,DES 392,3,Graduate
Topics in Design Theory and Research,DES 393,3,Graduate
Topics in Advanced Design,"DES 194, 294, 394, 494, 594, 694","1, 2, 3, 4, 5, 6",Graduate
Topics in Fieldwork in Design,DES 395,3,Graduate
Business of Design,DES 396,3,Graduate
Service Design,DES 397,3,Graduate
Design Pedagogy and Instruction,DES 397C,3,Graduate
Teaching Practicum,"DES 197P, 297P, 397P, 497P, 597P, 697P","1, 2, 3, 4, 5, 6",Graduate
Capstone Project,DES 398P,3,Graduate
Master's Report,"DES 398R, 698R","3, 6",Graduate
Master's Exhibition,DES 398S,3,Graduate
Supervised Teaching in Design,DES 398T,3,Graduate
,,Total Hours: 370
DegreeView
