Coursename,Coursecode,Hours,Classification
Probability and Simulation-Based Inference for Data Science,DSC 381,3,Graduate
Foundations of Regression and Predictive Modeling,DSC 382,3,Graduate
Advanced Predictive Models for Complex Data,DSC 383,3,Graduate
Design Principles and Causal Inference,DSC 384,3,Graduate
"Data Exploration, Visualization, and Foundations of Unsupervised Learning",DSC 385,3,Graduate
Topics in Statistics for Data Sciences,DSC 387,3,Graduate
Natural Language Processing,DSC 388,3,Graduate
Algorithms: Techniques and Theory,DSC 388G,3,Graduate
Optimization,DSC 388J,3,Graduate
Data Structures,DSC 389,3,Graduate
Principles of Machine Learning,DSC 391L,3,Graduate
Deep Learning,DSC 394D,3,Graduate
Reinforcement Learning,DSC 394R,3,Graduate
Topics in Computer Science for Data Sciences,DSC 395T,3,Graduate
,,Total Hours: 42
DegreeView
