Coursename,Coursecode,Hours,Classification
Plan II World Literature Part I,E 303C,3,Lower Division
Plan II World Literature Part II,E 303D,3,Lower Division
Literature and Community Engagement,E 310C,3,Lower Division
Introduction to Digital Studies,E 310D,3,Lower Division
"Literature, Film, and Other Arts",E 310F,3,Lower Division
Introduction to Comics Studies,E 310G,3,Lower Division
The Films of Alfred Hitchcock,E 310S,3,Lower Division
The Taylor Swift Songbook,E 310T,3,Lower Division
Topics in Literature Across the Curriculum,E 314J,3,Lower Division
Topics in Introduction to Literary Studies,E 314L (TCCN: ENGL 2341),3,Lower Division
Advanced Placement Credit in English,E 314T,3,Lower Division
Topics in Introduction to Literature and Culture,E 314V,3,Lower Division
British Literature,"E 316L (TCCN: ENGL 2321, ENGL 2322, ENGL 2323)",3,Lower Division
American Literature,"E 316M (TCCN: ENGL 2326, ENGL 2327, ENGL 2328)",3,Lower Division
World Literature,"E 316N (TCCN: ENGL 2331, ENGL 2332, ENGL 2333)",3,Lower Division
Masterworks of Literature,E 316P,3,Lower Division
Introduction to the English Language,E 318M,3,Lower Division
Supervised Research,E 318Q,3,Lower Division
Blackness and Comics,E 319D,3,Lower Division
Latinx Digital Worlds,E 319L,3,Lower Division
Topics in English,"E 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Major Writers of the Restoration and Eighteenth Century,E 320L,3,Upper Division
Shakespeare,E 321,3,Upper Division
Introduction to Criticism,E 321K,3,Upper Division
American English,E 321L,3,Upper Division
Shakespeare through Performance,E 321P,3,Upper Division
Topics in Diverse Perspectives,E 323D,3,Upper Division
Writing Slavery,E 323E,3,Upper Division
African American Writers in France,E 323F,3,Upper Division
American Literary Masculinities,E 323G,3,Upper Division
Jewish Stereotypes in American Literature and Culture,E 323J,3,Upper Division
English as a World Language,E 323L,3,Upper Division
Critical Race Theory and the Novel,E 323N,3,Upper Division
Physicians and Their Fictions,E 323P,3,Upper Division
Queer of Color Critique,E 323Q,3,Upper Division
Migration Literature,E 323R,3,Upper Division
The Global Short Story,E 323S,3,Upper Division
Envisioning Muslims: The Middle Ages and Today,E 323T,3,Upper Division
"Race, Gender, and Political Economy in United States Literature",E 323U,3,Upper Division
Multiethnic Popular Culture,E 323V,3,Upper Division
Women's Autobiographical Writing,E 323W,3,Upper Division
The Graphic Novel,E 324C,3,Upper Division
"The Faustus Legend in Theatre, Fiction, and Film",E 324F,3,Upper Division
"Literature, Health, and Medicine",E 324L,3,Upper Division
Troubled Literary Marriages,E 324M,3,Upper Division
Fiction and Medievalism,E 324O,3,Upper Division
Film Adaptations and Complexity,E 324R,3,Upper Division
Folklore and Literature,E 324S,3,Upper Division
Perversity and Self-interest,E 325S,3,Upper Division
Media Theory and Literary Criticism,E 325T,3,Upper Division
The Literature of the Middle Ages in Translation,E 326K,3,Upper Division
Survey of Middle English Language and Literature,E 326L,3,Upper Division
The British Novel in the Eighteenth Century,E 327,3,Upper Division
The British Novel in the Nineteenth Century,E 328,3,Upper Division
The Romantic Period,E 329R,3,Upper Division
Topics in English,"E 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Contemporary African Writing in English,E 333P,3,Upper Division
Business of Writing,E 335P,3,Upper Division
British Literature: Beginnings through the Renaissance,E 336E,3,Upper Division
American Literature: From the Beginnings to 1865,E 337,3,Upper Division
British Literature: The Restoration through the Romantic Era,E 337E,3,Upper Division
American Literature: From 1865 to the Present,E 338,3,Upper Division
British Literature: The Victorian Era through World War II,E 338E,3,Upper Division
The American Novel before 1920,E 340,3,Upper Division
Contemporary Gothic,E 340G,3,Upper Division
Literature and Culture of the 1960s,E 340S,3,Upper Division
Poets and Punks: British Culture Since 1945,E 341G,3,Upper Division
Irish Literature and Politics in the 20th Century,E 341I,3,Upper Division
Digital Theatres,E 341T,3,Upper Division
Black Cops in African American Popular Culture,E 342C,3,Upper Division
21st Century Latinx Literature,E 342D,3,Upper Division
Life and Literature of the Southwest,E 342F,3,Upper Division
Latinx Young Adult Literatures,E 342J,3,Upper Division
Latinx Legend Tripping,E 342L,3,Upper Division
Life and Literature of the US-Mexico Borderlands,E 342M,3,Upper Division
Black Horror and Psychoanalysis,E 342P,3,Upper Division
Southern Literature,E 342S,3,Upper Division
Life and Literature of Texas,E 342T,3,Upper Division
Caribbean Literature,E 343C,3,Upper Division
"Disability, Race, and Sexuality in Literature and Culture",E 343D,3,Upper Division
Latinx Short Story,E 343E,3,Upper Division
Black Film at the Oscars,E 343F,3,Upper Division
Global Environmental Literature and Film,E 343G,3,Upper Division
Immigration Literature,E 343I,3,Upper Division
Literature and Social Justice,E 343J,3,Upper Division
Modernism and Literature,E 343L,3,Upper Division
Black Queer Literature and Film,E 343M,3,Upper Division
The Nobel Prize,E 343N,3,Upper Division
Contemporary United States Latina/o Literature and Culture,E 343O,3,Upper Division
Postmodern Literature,E 343P,3,Upper Division
"Lesbian, Gay, Bisexual, Transgender, and Queer Literature and Culture",E 343Q,3,Upper Division
Contemporary Native American Literature,E 343R,3,Upper Division
Sustainability and Representation,E 343S,3,Upper Division
Contemporary Asian American Novels,E 343T,3,Upper Division
"Literature, Health, and Disease",E 343U,3,Upper Division
Literature of AIDS in Africa,E 343V,3,Upper Division
Contemporary African American Women's Fiction,E 343W,3,Upper Division
Young Adult: Fiction and Film,E 344C,3,Upper Division
Australian Literature and Film,E 344D,3,Upper Division
New York School Poets and Artists,E 344E,3,Upper Division
Film Theory,E 344F,3,Upper Division
Gossip and Poetry,E 344G,3,Upper Division
Twenty-First Century Poetry,E 344I,3,Upper Division
Binge-Watching: A Cultural History,E 344J,3,Upper Division
Major Film Movements,E 344M,3,Upper Division
Film Noir,E 344N,3,Upper Division
Popular Music and Youth Subcultures,E 344O,3,Upper Division
Hollywood Babylon,E 344P,3,Upper Division
Crime and Capitalism in African American Popular Culture,E 344Q,3,Upper Division
Childhood and Adolescence in Literature and Film,E 344R,3,Upper Division
Film Auteurs,E 344S,3,Upper Division
The Animated Film as Text,E 344T,3,Upper Division
Writer-Directors: European Literary Cinema,E 344U,3,Upper Division
Music Videos: History and Theory,E 344V,3,Upper Division
Citizen Kane and Company: The Essential Films,E 344W,3,Upper Division
Drugs in African American Popular Culture,E 345D,3,Upper Division
"Food Writing, Culture, and Environment",E 345F,3,Upper Division
Gender and Speculative Fiction,E 345S,3,Upper Division
The Theater in Austin,E 345T,3,Upper Division
English Syntax for Writing,E 345W,3,Upper Division
Contemporary Poetry (1945 to the present),E 346C,3,Upper Division
Hitchcock's Vertigo in Context,E 346V,3,Upper Division
The Short Story,E 348,3,Upper Division
Julia Alvarez and Sandra Cisneros,E 348C,3,Upper Division
J. M. Coetzee,E 348J,3,Upper Division
Cormac McCarthy,E 348M,3,Upper Division
Plath and Sexton,E 348P,3,Upper Division
Zadie Smith,E 348S,3,Upper Division
J.R.R. Tolkien,E 348T,3,Upper Division
Bruce Springsteen,E 348U,3,Upper Division
Wes Anderson,E 348W,3,Upper Division
Danticat and Diaz,E 349D,3,Upper Division
Topics on Major Authors,E 349S,3,Upper Division
Bob Dylan,E 349W,3,Upper Division
Topics in Language and Literature: Beginnings to 1630,E 350E,3,Upper Division
Topics in Language and Literature: 1630 to 1830,E 350M,3,Upper Division
Topics in Language and Literature: 1830 to 1940,E 350R,3,Upper Division
Topics in Language and Literature: 1940-Present,E 350V,3,Upper Division
