Coursename,Coursecode,Hours,Classification
Statics,E M 306 (TCCN: ENGR 2301),3,Lower Division
Dynamics,E M 311M (TCCN: ENGR 2302),3,Lower Division
Mechanics of Solids,E M 319 (TCCN: ENGR 2332),3,Lower Division
Topics in Engineering Mechanics,"E M 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Advanced Strength of Materials,E M 339,3,Upper Division
Topics in Engineering Mechanics,"E M 179S, 279S, 379S, 479S, 579S, 679S, 779S, 879S, 979S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Theory of Plasticity,E M 380,3,Graduate
Advanced Dynamics,E M 381,3,Graduate
Nonlinear Analysis,E M 382,3,Graduate
Continuum Mechanics,E M 384K,3,Graduate
Structural Dynamics,E M 384L,3,Graduate
Analytical Methods I,E M 386K,3,Graduate
Analytical Methods II,E M 386L,3,Graduate
Functional Analysis in Theoretical Mechanics,E M 386M,3,Graduate
Qualitative Methods in Nonlinear Mechanics,E M 386N,3,Graduate
Foundations of Fluid Mechanics,E M 387,3,Graduate
Solid Mechanics I,E M 388,3,Graduate
Fracture Mechanics,E M 388F,3,Graduate
Solid Mechanics II,E M 388L,3,Graduate
Micromechanics,E M 388M,3,Graduate
Mechanics of Soft Materials,E M 388N,3,Graduate
Soft Tissue Biomechanics,E M 388S,3,Graduate
Thin Film Mechanics,E M 388T,3,Graduate
Theory of Viscoelasticity,E M 388V,3,Graduate
Experimental Mechanics,E M 389J,3,Graduate
Behavior and Mechanics of Active/Smart Materials,E M 391,3,Graduate
Random Vibrations,E M 392R,3,Graduate
Numerical Methods for Flow and Transport Problems,E M 393N,3,Graduate
Structural Stability,E M 394,3,Graduate
Finite Element Methods,E M 394F,3,Graduate
Computational Techniques in Finite Elements,E M 394G,3,Graduate
Advanced Theory of Finite Element Methods,E M 394H,3,Graduate
Wave Propagation I,E M 394V,3,Graduate
Topics in Advanced Engineering Mechanics,"E M 397, 697, 997","3, 6, 9",Graduate
Individual Research,"E M 397R, 697R, 997R","3, 6, 9",Graduate
Mechanics Seminar,E M 397S,3,Graduate
Computational Mechanics Seminar,E M 397T,3,Graduate
Thesis,E M 698,6,Graduate
Master's Report,E M 398R,3,Graduate
Supervised Teaching in Engineering Mechanics,E M 398T,3,Graduate
Dissertation,"E M 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 126
DegreeView
