Coursename,Coursecode,Hours,Classification
Engineering Design and Problem Solving,E S 301,3,Lower Division
Spatial Visualization,E S 102,1,Lower Division
Topics in Engineering,"E S 119, 219, 319","1, 2, 3",Lower Division
Topics in Engineering Studies,"E S 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
GLUE Undergraduate Research,E S 321G,3,Upper Division
Topics in Professional Development,"E S 122, 222, 322","1, 2, 3",Upper Division
Humanitarian Product Design,E S 225C,2,Upper Division
Humanitarian Product Prototyping,E S 225D,2,Upper Division
Cooperative Engineering,E S 225K,2,Upper Division
Cooperative Engineering,E S 125N,1,Upper Division
Topics in Engineering Studies,"E S 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Engineering Communication,E S 333T,3,Upper Division
Industrial Design I,E S 358C,3,Upper Division
Service Learning for Engineers,"E S 160, 260, 360","1, 2, 3",Upper Division
Experiments in Materials Science and Engineering,E S 360M,3,Upper Division
Sustainability Issues in Energy,E S 369N,3,Upper Division
Engineering Entrepreneurship,E S 370H,3,Upper Division
Nanofabrication and Nanomaterials,E S 370L,3,Upper Division
Nanodevices,E S 370M,3,Upper Division
Nanotechnology Innovation,E S 370N,3,Upper Division
Nanometrology and Big Data,E S 370O,3,Upper Division
Topics in Engineering,"E S 177, 277, 377","1, 2, 3",Upper Division
Interdisciplinary Entrepreneurship: Elective,E S 377E,3,Upper Division
Project Development with Underserved Communities,E S 277K,2,Upper Division
Project Design with Underserved Communities,E S 277L,2,Upper Division
Project Implementation with Underserved Communities,E S 177M,1,Upper Division
Undergraduate Research Experience,E S 279K,2,Upper Division
Women in Engineering Leadership Seminar,E S 279L,2,Upper Division
Undergraduate Research Experience,E S 079M,0,Upper Division
Nanofabrication and Nanomaterials,E S 380L,3,Graduate
Nanodevices,E S 380M,3,Graduate
Nanotechnology Innovation,E S 380N,3,Graduate
Nanometrology and Big Data,E S 380O,3,Graduate
Special Subjects in Engineering,"E S 197, 297, 397","1, 2, 3",Graduate
,,Total Hours: 86
DegreeView
