Coursename,Coursecode,Hours,Classification
Introduction to Electrical Engineering,ECE 302 (TCCN: ENGR 2305),3,Lower Division
Introduction to Electrical Engineering: Honors,ECE 302H,3,Lower Division
Introduction to Computing,ECE 306,3,Lower Division
Introduction to Computing: Honors,ECE 306H,3,Lower Division
Elements of Electrical and Computer Engineering,ECE 307E,3,Lower Division
Engineering Leadership: Honors,ECE 107H,1,Lower Division
Topics in Technical Skills,ECE 108S,1,Lower Division
Topics in Electrical Engineering,"ECE 109K, 209K, 309K, 409K","1, 2, 3, 4",Lower Division
Introduction to Professional Engineering,ECE 209P,2,Lower Division
Development of a Solar-Powered Vehicle,ECE 309S,3,Lower Division
Circuit Theory,ECE 411,4,Lower Division
Circuit Theory:  Honors,ECE 411H,4,Lower Division
Tools to Enhance Academic Success,ECE 111S,1,Lower Division
Software Design and Implementation I,ECE 312,3,Lower Division
Software Design and Implementation I: Honors,ECE 312H,3,Lower Division
Linear Systems and Signals,ECE 313,3,Lower Division
Linear Systems and Signals:  Honors,ECE 313H,3,Lower Division
Digital Logic Design,ECE 316,3,Lower Division
Introduction to Embedded Systems: Honors,ECE 319H,3,Lower Division
Introduction to Embedded Systems,ECE 319K,3,Lower Division
Topics in Electrical and Computer Engineering,"ECE 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Mixed Signal and Circuits Laboratory,ECE 321K,3,Upper Division
Software Design and Implementation II,ECE 422C,4,Upper Division
Electromagnetic Engineering,ECE 325,3,Upper Division
Antennas and Wireless Propagation,ECE 325K,3,Upper Division
Internship in Electrical and Computer Engineering,ECE 125S,1,Upper Division
Topics in Electrical and Computer Engineering,"ECE 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
"Electrical Circuits, Electronics, and Machinery",ECE 331,3,Upper Division
Engineering Communication,ECE 333T,3,Upper Division
Quantum Theory of Electronic Materials,ECE 334K,3,Upper Division
Fundamentals of Electronic Circuits I Laboratory,ECE 438,4,Upper Division
Analog Electronics,ECE 438K,4,Upper Division
Analog Integrated Circuit Design,ECE 338L,3,Upper Division
Solid-State Electronic Devices,ECE 339,3,Upper Division
Solar Energy Conversion Devices,ECE 339S,3,Upper Division
Integrated Circuit Nanomanufacturing Techniques,ECE 440,4,Upper Division
High-Throughput Nanopatterning,ECE 340P,3,Upper Division
Electric Drives and Machines,ECE 341,3,Upper Division
Embedded Systems Design Laboratory,ECE 445L,4,Upper Division
Embedded and Real-Time Systems Laboratory,ECE 445M,4,Upper Division
Real-Time Digital Signal Processing Laboratory,ECE 445S,4,Upper Division
Modern Optics,ECE 347,3,Upper Division
Laser and Optical Engineering,ECE 348,3,Upper Division
Probability and Random Processes:  Honors,ECE 351H,3,Upper Division
Probability and Random Processes,ECE 351K,3,Upper Division
Digital Signal Processing,ECE 351M,3,Upper Division
Electrical and Computer Engineering Seminar,ECE 155,1,Upper Division
Engineering Leadership Seminar,ECE 155L,1,Upper Division
Undergraduate Research Seminar,ECE 155R,1,Upper Division
Special Problems in Electrical and Computer Engineering,"ECE 160, 260, 360, 460","1, 2, 3, 4",Upper Division
Algorithms,ECE 360C,3,Upper Division
Introduction to Software Engineering,ECE 360F,3,Upper Division
Programming Paradigms,ECE 360G,3,Upper Division
Data Science Laboratory,ECE 460J,4,Upper Division
Introduction to Digital Communications,ECE 360K,3,Upper Division
Digital Systems Design Using Hardware Description Languages,ECE 460M,4,Upper Division
Computer Architecture,ECE 460N,4,Upper Division
Concurrent and Distributed Systems,ECE 360P,3,Upper Division
Introduction to VLSI Design,ECE 460R,4,Upper Division
Digital Integrated Circuit Design,ECE 360S,3,Upper Division
Software Testing,ECE 360T,3,Upper Division
Multicore Computing,ECE 361C,3,Upper Division
System Design Metrics,ECE 361D,3,Upper Division
Machine Learning and Data Analytics for Edge Artificial Intelligence,ECE 361E,3,Upper Division
Engineering Program Analysis,ECE 361G,3,Upper Division
Software Engineering and Design Laboratory,ECE 461L,4,Upper Division
