Coursename,Coursecode,Hours,Classification
Introduction to Economics,ECO 301,3,Lower Division
Professional Development and Career Planning,ECO 101S,1,Lower Division
Introduction to Microeconomics,ECO 304K (TCCN: ECON 2302),3,Lower Division
Introduction to Macroeconomics,ECO 304L (TCCN: ECON 2301),3,Lower Division
Introductory Topics in Economics,"ECO 105, 205, 305","1, 2, 3",Lower Division
Supervised Research,ECO 318Q,3,Lower Division
Topics in Economics,"ECO 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Microeconomic Theory,ECO 420K,4,Upper Division
Macroeconomic Theory,ECO 320L,3,Upper Division
Mathematical Microeconomic Theory with Advanced Applications,ECO 420S,4,Upper Division
Public Economics,ECO 321,3,Upper Division
Microeconomic Theory For Business,ECO 421K,4,Upper Division
Money and Banking,ECO 322,3,Upper Division
Economics of Money: from the Past to Bitcoin,ECO 322N,3,Upper Division
Political Economy,ECO 323L,3,Upper Division
Introduction to Labor Economics,ECO 324,3,Upper Division
Health Economics,ECO 325K,3,Upper Division
Economics of Health,ECO 325L,3,Upper Division
Economics of Education,ECO 326L,3,Upper Division
Comparative Economic Systems,ECO 327,3,Upper Division
Industrial Organization,ECO 328,3,Upper Division
Economic Statistics,ECO 329,3,Upper Division
Topics in Economics,ECO 330T,3,Upper Division
Development Economics,ECO 333K,3,Upper Division
Development and Population,ECO 333L,3,Upper Division
Urban Economics,ECO 334K,3,Upper Division
Regional Economics,ECO 334L,3,Upper Division
Migration Economics and Policy,ECO 334M,3,Upper Division
Energy Economics,ECO 335K,3,Upper Division
Economics of Auctions,ECO 336M,3,Upper Division
International Trade and Investment,ECO 339K,3,Upper Division
International Finance,ECO 339L,3,Upper Division
Introduction to Econometrics,"ECO 341K, 441K","3, 4",Upper Division
Advanced Econometrics,ECO 342L,3,Upper Division
Applied Econometrics and Data Analysis,ECO 342M,3,Upper Division
Causal Inference,ECO 343K,3,Upper Division
Advanced Topics in Econometrics,ECO 348K,3,Upper Division
Advanced Topics in Economics,ECO 350K,3,Upper Division
