Coursename,Coursecode,Hours,Classification
Orientation to Teaching in the Elementary School,EDC 101E,1,Lower Division
Orientation to Teaching in the Secondary School,EDC 101S,1,Lower Division
Foundations of United States Schooling,EDC 312,3,Lower Division
Children's Movement,EDC 314,3,Lower Division
Topics in First-Generation Scholars,EDC 118C,1,Lower Division
Qualitative Inquiry and Education for Social Change,EDC 319,3,Lower Division
Topics in Curriculum and Instruction,"EDC 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Foundations of Language and Literacy Education,EDC 324,3,Upper Division
Topics in Curriculum and Instruction,"EDC 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
School Organization and Classroom Management in Secondary Schools,EDC 331S,3,Upper Division
Designs for Instruction,EDC 332S,3,Upper Division
Introduction to Teaching,EDC 333W,3,Upper Division
Community Literacy,EDC 339C,3,Upper Division
Reading Assessment and Development,EDC 339D,3,Upper Division
Secondary School Literacy across the Disciplines,EDC 339E,3,Upper Division
Adolescent Literacy,EDC 339F,3,Upper Division
Literacy Seminar,EDC 339G,3,Upper Division
Foundations of Social Studies,EDC 339J,3,Upper Division
Designing a Classroom Community with Equity and Justice,EDC 339K,3,Upper Division
Young Children As Learners,EDC 339L,3,Upper Division
Communities and Families as Assets in Education,EDC 339M,3,Upper Division
Spanish Language Methods for the Bilingual Classroom Teacher I,EDC 340C,3,Upper Division
Spanish Language Methods for the Bilingual Classroom Teacher II,EDC 340D,3,Upper Division
Latino Children's Literature for Bilingual Teachers,EDC 340E,3,Upper Division
Foundations of Bilingual Education,EDC 340F,3,Upper Division
Early Childhood Education,EDC 341C,3,Upper Division
Early Childhood Program Development,EDC 341D,3,Upper Division
Informal Science Education,EDC 343,3,Upper Division
Digital Literacy for Teaching and Learning,EDC 344,3,Upper Division
Curriculum Issues in Physical Education,EDC 345,3,Upper Division
Topics in Educational Studies,"EDC 150, 250, 350","1, 2, 3",Upper Division
Elementary Grade Teaching Practicum,"EDC 150E, 250E, 350E, 650E, 950E","1, 2, 3, 6, 9",Upper Division
Topics in Secondary School Teaching Practicum,"EDC 351S, 651S, 951S","3, 6, 9",Upper Division
Topics in All Level Teaching Practicum,"EDC 351W, 651W, 951W","3, 6, 9",Upper Division
Topics in Secondary Student Teaching Methods,"EDC 352S, 652S, 952S","3, 6, 9",Upper Division
