Coursename,Coursecode,Hours,Classification
Strategic Learning for the Twenty-First Century,"EDP 304 (TCCN: EDUC 1300, PSYC 1300)",3,Lower Division
Statistical Reasoning and Literacy,EDP 308,3,Lower Division
Intergroup Dialogue,"EDP 216, 316, 416","2, 3, 4",Lower Division
Selected Topics in Educational Psychology,"EDP 118T, 218T, 318T, 418T","1, 2, 3, 4",Lower Division
Topics in Educational Psychology,"EDP 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
"Cognition, Human Learning, and Motivation",EDP 320,3,Upper Division
Topics in Educational Psychology,"EDP 187T, 287T, 387T, 487T, 587T, 687T","1, 2, 3, 4, 5, 6",Graduate
Introduction to Life Span Development,EDP 350E,3,Upper Division
Adolescent Development,EDP 350G,3,Upper Division
Human Sexuality,EDP 350L,3,Upper Division
Introduction to Individual Counseling and Psychotherapy,EDP 352D,3,Upper Division
Multicultural Approach to Counseling and Psychotherapy,EDP 352G,3,Upper Division
"Mindfulness, Compassion, and the Self",EDP 352K,3,Upper Division
Addiction Counseling and Theories,EDP 352N,3,Upper Division
Psychology of Women,EDP 354E,3,Upper Division
Psychology of the African American Experience,EDP 354G,3,Upper Division
Psychology of Race and Racism,EDP 354J,3,Upper Division
Emotional and Behavioral Disorders,EDP 358D,3,Upper Division
Introduction to Statistics,EDP 371,3,Upper Division
Research in Educational Psychology,EDP 379L,3,Upper Division
Topics in Quantitative Methods,"EDP 380C, 480C","3, 4",Graduate
Topics in Psychometrics,EDP 380D,3,Graduate
Practicum in Psychometrics,EDP 380Q,3,Graduate
Topics in Research Methodology,EDP 381C,3,Graduate
Advanced Statistical Modeling,EDP 381D,3,Graduate
Advanced Item Response Theory,EDP 381E,3,Graduate
Practicum in Program Evaluation,EDP 381S,3,Graduate
Topics in Social Psychology and Behavioral Sciences in Education,EDP 382C,3,Graduate
Topics in Learning and Motivation,EDP 382D,3,Graduate
Topics in Biological Basis of Behavior and Learning,EDP 382E,3,Graduate
Topics in Human Development,EDP 382F,3,Graduate
Topics in Cultural Diversity and Individual Differences,EDP 382G,3,Graduate
"Research Practicum in Human Development, Culture, and Learning Sciences",EDP 382Q,3,Graduate
Topics in Assessment and Diagnosis,"EDP 383C, 483C","3, 4",Graduate
Practicum: Level One,EDP 383D,3,Graduate
Practicum: Level Two,EDP 383E,3,Graduate
Practicum: Level Three,EDP 383F,3,Graduate
Topics in Prevention and Intervention,EDP 384C,3,Graduate
Group Counseling and Interventions,EDP 384D,3,Graduate
Practicum in Counseling,"EDP 184Q, 384Q","1, 3",Graduate
Practicum in Spanish for the Helping Professions,EDP 384S,3,Graduate
Advanced Practicum,"EDP 184V, 384V","1, 3",Graduate
"Topics in Professional Issues, Leadership, and Development",EDP 385C,3,Graduate
Practicum in Post-Secondary Teaching,EDP 386Q,3,Graduate
School Psychology Specialist Internship,"EDP 193E, 393E","1, 3",Graduate
Internship in School Psychology,"EDP 193N, 393N","1, 3",Graduate
Topics in Colloquium in Educational Psychology,EDP 194,1,Graduate
Internship in Counseling,"EDP 194E, 394E","1, 3",Graduate
Internship in Counseling,"EDP 194L, 394L","1, 3",Graduate
Internship in Counseling Psychology,"EDP 194N, 394N","1, 3",Graduate
Research,"EDP 194R, 294R, 394R","1, 2, 3",Graduate
Qualifying Process Research,EDP 395R,3,Graduate
Thesis,EDP 698,6,Graduate
Master's Report,EDP 398R,3,Graduate
College Teaching Methodology,EDP 398T,3,Graduate
Dissertation,"EDP 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 169
DegreeView
