Coursename,Coursecode,Hours,Classification
Connecting Research Experience,EDU 301C,3,Lower Division
Topics in Student Success,"EDU 118C, 218C, 318C","1, 2, 3",Lower Division
Topics in International Learning Seminars,"EDU 119, 219, 319, 419, 519, 619","1, 2, 3, 4, 5, 6",Lower Division
Topics in Education,"EDU 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Connecting Research Experience,EDU 320C,3,Upper Division
Play in Early Childhood Development,EDU 321,3,Upper Division
Second Language Acquisition,EDU 325,3,Upper Division
Sociocultural Influences on Learning,EDU 327,3,Upper Division
"Education, Culture and Diversity",EDU 327G,3,Upper Division
Applied Human Learning,EDU 328,3,Upper Division
Acquisition of Language and Literacies,EDU 329,3,Upper Division
Acquisition of Language and Literacies in the United States and Latin America,EDU 329G,3,Upper Division
Topics in Education,"EDU 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Language in Education,EDU 330,3,Upper Division
Restorative Practices,EDU 331,3,Upper Division
Children's Literature,EDU 333,3,Upper Division
Conference Course in Curriculum and Instruction,EDU 377,3,Upper Division
Topics in International Learning Seminars,"EDU 179, 279, 379, 479, 579, 679","1, 2, 3, 4, 5, 6",Upper Division
,,Total Hours: 54
DegreeView
