Coursename,Coursecode,Hours,Classification
Advanced Conservation Biology,EEB 380C,3,Graduate
Advanced Microbial Ecology,EEB 380E,3,Graduate
Biology of Birds,EEB 380F,3,Graduate
Methods in Ecological Genomics,EEB 380G,3,Graduate
Advanced Systematics,EEB 380L,3,Graduate
Population Genetics,EEB 380P,3,Graduate
Advanced Readings in the Biological Sciences,"EEB 180R, 280R, 380R","1, 2, 3",Graduate
Topics in Current Biology Concepts,EEB 380T,3,Graduate
Ecology Seminar,EEB 381E,3,Graduate
Advanced Study and Research,"EEB 182, 282, 382, 682, 982","1, 2, 3, 6, 9",Graduate
Topics in Computational and Statistical Biology,EEB 382K,3,Graduate
"Topics in Ecology, Evolution, and Behavior",EEB 384K,3,Graduate
Issues in Population Biology,EEB 384L,3,Graduate
"Subjects and Skills for Graduate Students in Ecology, Evolution and Behavior",EEB 389D,3,Graduate
Fundamentals of Evolution,EEB 390C,3,Graduate
Fundamentals of Integrative Animal Behavior,EEB 390D,3,Graduate
Fundamentals of Ecology,EEB 390E,3,Graduate
Thesis,EEB 698,6,Graduate
Master's Report,EEB 398R,3,Graduate
Dissertation,"EEB 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 63
DegreeView
