Coursename,Coursecode,Hours,Classification
Topics in Educational Leadership and Policy,"ELP 111S, 311S, 611S","1, 3, 6",Lower Division
First-Year Connection Seminar: University Leadership Network,ELP 017,0,Lower Division
Topics in Educational Leadership and Policy,"ELP 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
First-Year Seminar: University Leadership Network Mentors,ELP 327M,3,Upper Division
Academic Success Seminar,"ELP 127S, 227S, 327S","1, 2, 3",Upper Division
Leadership for New Student Transition,ELP 351L,3,Upper Division
Sorority and Fraternity Leadership Issues,ELP 351N,3,Upper Division
Internship,"ELP 153N, 353N, 653N, 953N","1, 3, 6, 9",Upper Division
How Colleges Work,ELP 354C,3,Upper Division
Equity and Diversity Issues in Education,ELP 354D,3,Upper Division
College Students and Their Environments,ELP 354E,3,Upper Division
Foundations of Educational Policy,ELP 354F,3,Upper Division
Special Topics in Higher Education,ELP 354K,3,Upper Division
Introduction to Educational Leadership Studies,ELP 354L,3,Upper Division
Introduction to Educational Policy,ELP 354P,3,Upper Division
Introduction to Research in Higher Education,ELP 354R,3,Upper Division
Social Awareness and Critical Consciousness in Student Affairs,ELP 354S,3,Upper Division
Introduction to Student Affairs in Higher Education,ELP 354T,3,Upper Division
Education Research I,ELP 381C,3,Graduate
Education Research II,ELP 381D,3,Graduate
Graduate Internship,"ELP 183N, 383N, 683N, 983N","1, 3, 6, 9",Graduate
Individual Projects,"ELP 183P, 383P, 683P, 983P","1, 3, 6, 9",Graduate
Administration of the Individual School,ELP 384D,3,Graduate
Public School Leadership,"ELP 384E, 684E","3, 6",Graduate
Foundations of Educational Policy,ELP 384F,3,Graduate
"General, Elementary, and Secondary Programs","ELP 184G, 384G, 684G","1, 3, 6",Graduate
Policy Implementation,ELP 384H,3,Graduate
Policy Analysis in Education,ELP 384J,3,Graduate
Legal Issues in Schools,ELP 384L,3,Graduate
School Business Management,"ELP 184N, 384N, 684N","1, 3, 6",Graduate
Principalship,"ELP 384P, 684P","3, 6",Graduate
Leading for Equity and Justice in K-12 Schools,ELP 384Q,3,Graduate
"School, Family and Community Engagement","ELP 384R, 684R","3, 6",Graduate
School Leadership: Micropolitics and Change,ELP 384S,3,Graduate
School Improvement: Instructional Leadership and Development,ELP 384T,3,Graduate
Poverty and Education Policy,ELP 384V,3,Graduate
Systems for Observing and Analyzing Instruction,ELP 384W,3,Graduate
Contemporary Issues In Higher Education Management,ELP 385C,3,Graduate
The College Student,ELP 385E,3,Graduate
Organization and Administration of Higher Education,ELP 385R,3,Graduate
Student Affairs in Higher Education,ELP 385T,3,Graduate
Proseminar: Introduction to P20 Research and Careers,"ELP 190C, 290C, 390C","1, 2, 3",Graduate
Pro-Seminar and Systems of Higher Education,ELP 390D,3,Graduate
Economics and Finance,ELP 390E,3,Graduate
School Finance and Ethics,ELP 390F,3,Graduate
Economics of Education,ELP 390G,3,Graduate
Educational Politics and Policy,ELP 390P,3,Graduate
Organizational Design and Behavior,ELP 390R,3,Graduate
Social and Cultural Contexts of Education,ELP 390S,3,Graduate
Ethics and Values in Educational Leadership,ELP 390V,3,Graduate
Systems of Human Inquiry,ELP 391D,3,Graduate
Epistemologies of Educational Research,ELP 391E,3,Graduate
Quantitative Research Design and Analysis,ELP 391P,3,Graduate
Qualitative Research Design and Analysis,ELP 391Q,3,Graduate
Program Evaluation Methods,"ELP 392E, 692E","3, 6",Graduate
Advanced Quantitative Design and Analysis,ELP 392P,3,Graduate
Advanced Qualitative Research Design and Analysis,ELP 392Q,3,Graduate
Survey Research Methods in Educational Research,ELP 392S,3,Graduate
Law and Disabilities,ELP 393D,3,Graduate
Graduate Internship,"ELP 193N, 393N, 693N, 993N","1, 3, 6, 9",Graduate
Individual Projects,"ELP 193P, 393P, 693P, 993P","1, 3, 6, 9",Graduate
Research Apprenticeship,"ELP 193R, 393R, 693R, 993R","1, 3, 6, 9",Graduate
Superintendent Practicum,"ELP 193S, 393S","1, 3",Graduate
Directed Research in Educational Leadership and Policy,"ELP 193T, 393T, 693T, 993T","1, 3, 6, 9",Graduate
School District Administrative Functions I,"ELP 394C, 694C","3, 6",Graduate
School District Administrative Functions II,"ELP 394D, 694D","3, 6",Graduate
Capstone: Policy Research Problems,ELP 394E,3,Graduate
Special Education Leadership and Policy,ELP 394F,3,Graduate
Participatory Action Research,ELP 394G,3,Graduate
Topics in K-12 in Educational Leadership and Policy,ELP 394K,3,Graduate
School Law,ELP 394L,3,Graduate
School District Instructional Leadership,ELP 394N,3,Graduate
Personnel Administration: Managing Instructional Resources,ELP 394P,3,Graduate
Superintendent Seminar,ELP 394S,3,Graduate
Administrative Theory,"ELP 394T, 694T","3, 6",Graduate
Capstone: Advanced Issues in Higher Education,ELP 395C,3,Graduate
Data Informed Leadership,ELP 395D,3,Graduate
Research on College Students,ELP 395E,3,Graduate
History of Higher Education,ELP 395H,3,Graduate
Topics in Higher Education in Educational Leadership and Policy,ELP 395K,3,Graduate
Higher Education Law,ELP 395L,3,Graduate
Systems of Higher Education,ELP 395S,3,Graduate
Topics in P20 Education,ELP 396,3,Graduate
Educational Policy and Planning Seminar,"ELP 197, 297, 397","1, 2, 3",Graduate
Treatise,"ELP 399K, 699K, 999K","3, 6, 9",Graduate
Treatise,"ELP 399L, 699L, 999L","3, 6, 9",Graduate
Dissertation,"ELP 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 258
DegreeView
