Coursename,Coursecode,Hours,Classification
Seminar in Energy Management,"EMA 180, 280","1, 2",Graduate
Topics in Economics,"EMA 182, 282, 382","1, 2, 3",Graduate
Topics in Finance,"EMA 184, 284, 384","1, 2, 3",Graduate
Topics in Accounting,"EMA 186, 286, 386","1, 2, 3",Graduate
Topics in Management,"EMA 188, 288, 388","1, 2, 3",Graduate
Topics in Quantitative Analysis,"EMA 190, 290, 390","1, 2, 3",Graduate
Topics in Marketing,"EMA 192, 292, 392","1, 2, 3",Graduate
Topics in Law,"EMA 194, 294, 394","1, 2, 3",Graduate
Topics in Engineering and Science,"EMA 196, 296, 396","1, 2, 3",Graduate
Advanced Energy Management,"EMA 197, 297, 397","1, 2, 3",Graduate
,,Total Hours: 30
DegreeView
