Coursename,Coursecode,Hours,Classification
"Topics in Management of People, Processes, Projects, and Organizations",ENM 380E,3,Graduate
Topics in Business Foundations,ENM 381E,3,Graduate
Topics in Decision Making,ENM 382E,3,Graduate
Projects in Engineering Management I,ENM 385C,3,Graduate
Projects in Engineering Management II,ENM 385D,3,Graduate
Special Topics in Engineering Management,"ENM 185K, 285K, 385K","1, 2, 3",Graduate
Marketing in an Engineering Environment,ENM 286,2,Graduate
Art and Science of Negotiations,ENM 187,1,Graduate
Legal Issues for Engineering Managers,ENM 188,1,Graduate
Management of Technology,ENM 289,2,Graduate
Systems Engineering,ENM 390,3,Graduate
Lean Systems and Processes,ENM 391,3,Graduate
Engineering Management Seminar,ENM 397K,3,Graduate
Projects in Engineering Management,ENM 397P,3,Graduate
,,Total Hours: 36
DegreeView
