Coursename,Coursecode,Hours,Classification
Longhorn Singers,ENS 101L,1,Lower Division
University Chorus: Sopranos and Altos,ENS 101S,1,Lower Division
University Chorus: Tenors and Basses,ENS 101T,1,Lower Division
University Chorus,ENS 101U,1,Lower Division
Symphony Orchestra,ENS 102S,1,Lower Division
University Orchestra,ENS 102U,1,Lower Division
Symphony Band,ENS 103C,1,Lower Division
Butler Opera Center Ensemble,ENS 103P,1,Lower Division
Wind Symphony,ENS 103S,1,Lower Division
Wind Ensemble,ENS 103W,1,Lower Division
Sight-Reading,ENS 105,1,Lower Division
Jazz Combos,ENS 105C,1,Lower Division
Jazz Ensemble,ENS 105E,1,Lower Division
Alternate Improvisation Music Ensemble,ENS 105M,1,Lower Division
Conjunto Ensemble,ENS 106C,1,Lower Division
Early Music Ensemble,ENS 106E,1,Lower Division
African American Vocal Ensemble,ENS 106F,1,Lower Division
Javanese Gamelan Ensemble,ENS 106J,1,Lower Division
Hispanic Caribbean Ensemble,ENS 106K,1,Lower Division
Mariachi Laboratory Ensemble,ENS 106L,1,Lower Division
Mariachi Ensemble,ENS 106M,1,Lower Division
North Indian Music Ensemble,ENS 106N,1,Lower Division
Middle Eastern Ensemble,ENS 106T,1,Lower Division
Accompanying: Instrumental,ENS 106U,1,Lower Division
Beginning Accompanying: Vocal,ENS 106V,1,Lower Division
Advanced Accompanying: Vocal,ENS 106W,1,Lower Division
Topics in Undergraduate Instrumental or Vocal Ensemble,ENS 107E,1,Lower Division
Jazz Orchestra,ENS 107J,1,Lower Division
Large Instrumental Ensemble,ENS 107K,1,Lower Division
Longhorn Band,"ENS 107L, 207L","1, 2",Lower Division
New Music Ensemble,ENS 107N,1,Lower Division
Small Instrumental Ensemble,ENS 107S,1,Lower Division
Texas Concert Band,ENS 108C,1,Lower Division
Tower Concert Band,ENS 108D,1,Lower Division
Longhorn Concert Band,ENS 108E,1,Lower Division
Orange Concert Band,ENS 108F,1,Lower Division
Longhorn Band Jazz Ensemble,ENS 108J,1,Lower Division
Longhorn Band Percussion Ensemble,ENS 108K,1,Lower Division
Longhorn Band Color Guard Ensemble,ENS 108M,1,Lower Division
Longhorn Pep Band,ENS 108P,1,Lower Division
University Saxophone Ensemble,ENS 108S,1,Lower Division
Percussion Ensemble,ENS 109D,1,Lower Division
Harp Ensemble,ENS 109F,1,Lower Division
Guitar Ensemble,ENS 109G,1,Lower Division
Chamber Singers,ENS 109K,1,Lower Division
Concert Chorale,ENS 109L,1,Lower Division
Saxophone Choir,ENS 109N,1,Lower Division
Non-Jazz Organ Improvisation,ENS 109Q,1,Lower Division
Popular Choral Ensemble: Recording Arts,ENS 109R,1,Lower Division
Trombone Choir,ENS 109T,1,Lower Division
University of Texas Steel Pan Ensemble,ENS 109U,1,Lower Division
Topics in Graduate Instrumental or Vocal Ensemble,ENS 180E,1,Graduate
University Chorus: Sopranos and Altos,ENS 180S,1,Graduate
University Chorus: Tenors and Basses,ENS 180T,1,Graduate
University Chorus,ENS 180U,1,Graduate
Concert Chorale,ENS 181C,1,Graduate
Chamber Singers,ENS 181S,1,Graduate
Symphony Orchestra,ENS 182S,1,Graduate
University Orchestra,ENS 182U,1,Graduate
Symphony Band,ENS 183C,1,Graduate
Wind Symphony,ENS 183S,1,Graduate
Wind Ensemble,ENS 183W,1,Graduate
Longhorn Concert Band,ENS 184C,1,Graduate
Color Guard Ensemble,ENS 184G,1,Graduate
Longhorn Band Jazz Ensemble,ENS 184J,1,Graduate
Longhorn Band,ENS 184L,1,Graduate
Longhorn Band Percussion Ensemble,ENS 184P,1,Graduate
Orange Concert Band,ENS 184R,1,Graduate
Texas Concert Band,ENS 184T,1,Graduate
Tower Concert Band,ENS 184W,1,Graduate
Jazz Combos,ENS 185C,1,Graduate
Jazz Ensemble,ENS 185E,1,Graduate
Jazz Orchestra,ENS 185J,1,Graduate
Alternate Improvisation Music Ensemble,ENS 185M,1,Graduate
Recording Arts Ensemble,ENS 185R,1,Graduate
Conjunto Ensemble,ENS 096C,0,Graduate
Early Music Ensemble,ENS 096E,0,Graduate
Java Gamelan Ensemble,ENS 186J,1,Graduate
Hispanic Caribbean Ensemble,ENS 096K,0,Graduate
Mariachi Laboratory Ensemble,ENS 096L,0,Graduate
Mariachi Ensemble,ENS 096M,0,Graduate
North Indian Music Ensemble,ENS 096N,0,Graduate
Middle Eastern Ensemble,ENS 096T,0,Graduate
African American Vocal Ensemble,ENS 096V,0,Graduate
New Music Ensemble,ENS 187N,1,Graduate
Butler Opera Productions,ENS 188P,1,Graduate
Opera Studio,ENS 188S,1,Graduate
Guitar Ensemble,ENS 189G,1,Graduate
Harp Ensemble,ENS 189H,1,Graduate
Saxophone Choir,ENS 189N,1,Graduate
Percussion Ensemble,ENS 189P,1,Graduate
Trombone Choir,ENS 189T,1,Graduate
Java Gamelan Ensemble,ENS 096J,0,Graduate
,,Total Hours: 86
DegreeView
