Coursename,Coursecode,Hours,Classification
English Language Grammar,ESL 501G,5,Lower Division
English Language Reading,ESL 501R,5,Lower Division
English Language Speaking,ESL 501S,5,Lower Division
English Language Writing,ESL 501W,5,Lower Division
Academic Listening and Speaking,ESL 302S,3,Lower Division
Academic Reading and Writing,ESL 302W,3,Lower Division
Topics in English as a Second Language,"ESL 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in English as a Second Language,"ESL 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Oral Communication,ESL 388S,3,Graduate
Basic Speaking Skills,ESL 388T,3,Graduate
Academic Writing,ESL 388W,3,Graduate
Advanced Oral Communication,ESL 389S,3,Graduate
Communication and Teaching Culture,ESL 389T,3,Graduate
Advanced Academic Writing,ESL 389W,3,Graduate
,,Total Hours: 50
DegreeView
