Coursename,Coursecode,Hours,Classification
Introductory Interdisciplinary Topics in European Studies,EUS 302,3,Lower Division
Introduction to European Studies,EUS 305,3,Lower Division
"Introductory Topics in European Anthropology, Geography, History, and Sociology",EUS 306,3,Lower Division
"Introductory Topics in European Culture, Literature, Art, Music, and Media",EUS 307,3,Lower Division
An Introduction to Western Music,EUS 307M,3,Lower Division
"Introductory Topics in European Economics, Government, Business, and Policy",EUS 308,3,Lower Division
Preparation for Study Abroad in Europe,EUS 113,1,Lower Division
Supervised Research,EUS 318Q,3,Lower Division
Topics in European Studies,"EUS 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in European Studies,"EUS 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Continuity and Change in Modern France,EUS 340M,3,Upper Division
"Topics in European Anthropology, Geography, History, and Sociology",EUS 346,3,Upper Division
"Topics in European Culture, Literature, Art, Music, and Media",EUS 347,3,Upper Division
"Topics in European Economics, Government, Business, and Policy",EUS 348,3,Upper Division
Governments and Politics of Western Europe,EUS 350,3,Upper Division
Germany and Europe since 1945,EUS 356,3,Upper Division
Supervised Research,EUS 358Q,3,Upper Division
Independent Research in European Studies,EUS 362,3,Upper Division
Interdisciplinary Topics in European Studies,EUS 363,3,Upper Division
Capstone Research in European Studies,EUS 375,3,Upper Division
Advanced Topics in European Studies,EUS 381,3,Graduate
,,Total Hours: 61
DegreeView
