Coursename,Coursecode,Hours,Classification
Foundations of Environmental Engineering,EVE 302,3,Lower Division
First-Year Seminar,EVE 103,1,Lower Division
Sustainable Systems Engineering,EVE 310,3,Lower Division
Environmental Engineering and Science,EVE 312,3,Lower Division
Topics in Environmental Engineering,"EVE 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Environmental Engineering,"EVE 177K, 277K, 377K","1, 2, 3",Upper Division
Environmental Chemistry for a Sustainable World,EVE 350,3,Upper Division
Design for Air Quality Improvement,EVE 360,3,Upper Division
Design for Environmental Community Improvement,EVE 370,3,Upper Division
Internship,EVE 177R,1,Upper Division
,,Total Hours: 26
DegreeView
