Coursename,Coursecode,Hours,Classification
Introduction to Environmental Science,EVS 301,3,Lower Division
Field Seminar in Sustainability,EVS 311,3,Lower Division
Topics in Environmental Science,"EVS 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Research Methods,EVS 121,1,Upper Division
Topics in Environmental Science,"EVS 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Research Methods for the Environmental Sciences,EVS 331,3,Upper Division
Environmental Science Professionalism I,EVS 141,1,Upper Division
Environmental Science Professionalism II,EVS 151,1,Upper Division
Topics in Research Experience,"EVS 171, 271, 371, 471","1, 2, 3, 4",Upper Division
Senior Research Proposal in Environmental Science,"EVS 172C, 272C, 372C, 472C","1, 2, 3, 4",Upper Division
Senior Research in Environmental Science,"EVS 172D, 272D, 372D, 472D","1, 2, 3, 4",Upper Division
,,Total Hours: 27
DegreeView
