Coursename,Coursecode,Hours,Classification
Introduction to Teaching Fine Arts,F A 103,1,Lower Division
Fine Arts Success Seminar,"F A 105, 205, 305","1, 2, 3",Lower Division
Success Seminar,F A 005C,0,Lower Division
Career Development in the Arts,F A 306,3,Lower Division
Creative Leaders Seminar I,F A 107,1,Lower Division
Arts Integrations for Multidisciplinary Connections,F A 308,3,Lower Division
Creative Leaders Seminar II,F A 109,1,Lower Division
Topics in the Fine Arts,"F A 110, 210, 310 (TCCN: HUMA 1315)","1, 2, 3",Lower Division
Engaging with the Arts from the Audience,F A 313C,3,Lower Division
Creative Entrepreneurship,F A 115,1,Lower Division
Topics in International Learning Seminars,"F A 119, 219, 319, 419, 519, 619","1, 2, 3, 4, 5, 6",Lower Division
Topics in Fine Arts,"F A 119Q, 219Q, 319Q, 419Q, 519Q, 619Q, 719Q, 819Q, 919Q","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Fine Arts,"F A 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Exploring the Fine Arts,F A 320,3,Upper Division
Career Development in the Arts,F A 325,3,Upper Division
Topics in International Learning Seminars,"F A 129, 229, 329, 429, 529, 629","1, 2, 3, 4, 5, 6",Upper Division
Fine Arts Internship,"F A 140, 240, 340, 640, 940","1, 2, 3, 6, 9",Upper Division
Leadership and Urban Engagement,F A 345,3,Upper Division
Inside the Arts of New York City,F A 346,3,Upper Division
Special Topics in the Fine Arts,"F A 150, 250, 350","1, 2, 3",Upper Division
Women in Entrepreneurship,F A 355,3,Upper Division
Advanced Topics in the Fine Arts,"F A 160, 260, 360","1, 2, 3",Upper Division
Foundations of Arts Management,F A 362,3,Upper Division
Arts Entrepreneurship and New Venture Creation,F A 363,3,Upper Division
Developing and Reaching Audiences,F A 364,3,Upper Division
Fundraising in the Arts,F A 365,3,Upper Division
Managing Arts Organizations,F A 366,3,Upper Division
Philanthropy and Arts Organizations,F A 367,3,Upper Division
Cultural Policy and Participation,F A 368,3,Upper Division
Longhorn Startup Seminar,"F A 170, 270, 370","1, 2, 3",Upper Division
Special Topics in Arts Management and Administration,"F A 171, 271, 371","1, 2, 3",Upper Division
"Independent Studies: Art, Drama, or Music","F A 175, 375, 675","1, 3, 6",Upper Division
Topics in The Arts,F A 381,3,Graduate
"Independent Studies: Art, Drama, or Music",F A 382,3,Graduate
Foundations of Arts Management,F A 383,3,Graduate
Graduate Fine Arts Internship,"F A 184, 284, 384","1, 2, 3",Graduate
Fundraising in the Arts,F A 385,3,Graduate
Managing Arts Organizations,F A 386,3,Graduate
Philanthropy and Arts Organizations,F A 387,3,Graduate
Cultural Policy and Participation,F A 388,3,Graduate
,,Total Hours: 109
DegreeView
